frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.5818079701670401,0.2975560923764757,0.0,0.9999970197677612,0.5918720418756659,0.28881956793211566,0.0,0.9999958276748657,0.5983389599339949,0.29049547548060656,0.0,0.9999938011169434,0.6038785756051123,0.2918619059182549,0.0,0.9999966621398926,0.5695304528816598,0.28345283730463566,0.0,0.9999954700469971,0.5601020576236964,0.2810924634650037,0.0,0.9999946355819702,0.5499956799553823,0.27901179828010264,0.0,0.999995231628418,0.5891592631806859,0.29642701315713116,0.0786120010526863,0.9999960660934448,0.5222984160576667,0.2786511608979087,0.0,0.9999788999557495,0.5782397210181176,0.31121755000594625,0.0,0.9999856948852539,0.5557207915332766,0.30579002628793245,0.0,0.9999803304672241,0.5545999145174361,0.37651988217880683,0.23051436526792032,0.9999779462814331,0.4355770478715432,0.3274178304872315,0.0,0.9999812841415405,0.5965383348765074,0.44818599740942044,0.21727603475947482,0.4420571029186249,0.33314322112323524,0.3062847865211381,0.0,0.9957635402679443,0.6510865150631723,0.4957908412793301,0.0,0.839408278465271,0.3560291832977242,0.2323514702436809,0.0,0.9981666803359985,0.6682260199026627,0.5105948915014737,0.0,0.8382177352905273,0.372205655057947,0.21062544352941584,0.0,0.9969565868377686,0.6709783960889274,0.5088276558822685,0.0,0.8564673066139221,0.3984490245372267,0.21140334749972095,0.0,0.9969979524612427,0.6591204696601924,0.5038143137951832,0.0,0.8280590176582336,0.39903137942294126,0.22242855640141307,0.0,0.9945369362831116,0.5072532164883781,0.5433537414023925,0.1296996982781203,0.9999356269836426,0.4268636709743447,0.5412759926769287,0.0,0.9999454021453857,0.4470724761486052,0.712604939937592,0.3492344915866854,0.6,0.48571304883156624,0.6851031396772477,0.0,0.7680493593215942,0.410005360841751,0.8161109089851376,0.3258494138717653,0.6,0.3921512023552315,0.7990928400646553,0.0,0.7534172534942627,0.38056123256683344,0.806638062000275,0.3512333035469055,0.6,0.464651703834534,0.7737563848495486,0.0,0.6,0.5166595867880577,0.8310463320125235,0.17720798871942328,0.6923920512199402,0.43612075810665824,0.8674994498699701,0.0,0.8113101720809937,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
1,0.03333333333333333,0.5779246504490194,0.30441378244570105,0.0,0.9999964833259583,0.5878829076573565,0.29366365283519247,0.0,0.9999950528144836,0.5934024136383218,0.2951889622669954,0.0,0.9999926686286926,0.5984792004932055,0.2969860736723548,0.0,0.9999961256980896,0.5678208749611062,0.28855372944495083,0.0,0.9999947547912598,0.5584419432219924,0.28608878446625663,0.0,0.9999936819076538,0.5497639158388951,0.2838380741072704,0.0,0.9999945163726807,0.584669258627858,0.3008529396949117,0.07122020136851522,0.999995231628418,0.5234343834690283,0.2837439252363221,0.0,0.9999754428863525,0.5741367819425944,0.3171056726804148,0.0,0.9999827146530151,0.5533263679150934,0.31257480101568713,0.0,0.9999766945838928,0.5531962097107948,0.3867014050483705,0.22092838449911634,0.9999762177467346,0.43663801263262364,0.3342204554514453,0.0,0.9999797344207764,0.5938407007630889,0.4642475472463596,0.22479710503891634,0.4270005524158478,0.3330535002938518,0.3102038332840781,0.0,0.9956907629966736,0.6567993226584854,0.5071169344278482,0.008113207412766492,0.8281088471412659,0.38371945386166345,0.2340095333911324,0.0,0.9980353116989136,0.6763375080548799,0.5203687936275991,0.0,0.8290820717811584,0.40743287418272106,0.2139723466618078,0.0,0.9966354966163635,0.6837920254760692,0.514908734109852,0.0,0.8480029106140137,0.4273244515582399,0.21564359921258672,0.0,0.9966647028923035,0.6722264114793365,0.5103880446273964,0.0,0.8194001317024231,0.42590976553363386,0.22634622616159356,0.0,0.9940881729125977,0.5060255404535707,0.5486911030916066,0.12212627547812624,0.9999301433563232,0.428989565872646,0.545545537988623,0.0,0.9999404549598694,0.4470724761486053,0.7126049399375919,0.3492344915866854,0.6,0.5070141337134622,0.6833457354899053,0.0,0.7437845468521118,0.41000536084175093,0.8161109089851378,0.32584941387176525,0.6,0.39267830665294945,0.7899041976128423,0.0,0.7205901741981506,0.38056123256683344,0.806638062000275,0.3512333035469055,0.6,0.46465170383453386,0.7737563848495485,0.0,0.6,0.5100242485116414,0.8385776335542854,0.09365301262717557,0.6682002544403076,0.4179500708213219,0.8569498345568468,0.0,0.7833734154701233,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
2,0.06666666666666667,0.5790973597473201,0.29838824098482575,0.0,0.9999957084655762,0.5884793025630337,0.28638815775617865,0.0,0.999994158744812,0.5934558770595453,0.2878139728988524,0.0,0.9999913573265076,0.5983348370709896,0.28969098870709803,0.0,0.9999955892562866,0.5697889533632009,0.28138413851633515,0.0,0.9999937415122986,0.560396950700622,0.2789157420257866,0.0,0.9999921917915344,0.5522028491213604,0.2765547103815148,0.0,0.9999933242797852,0.5830454306724742,0.29260847410122026,0.07661669805541729,0.9999944567680359,0.5250282708581514,0.27619238753557784,0.0,0.9999701976776123,0.5742809044453371,0.311389333301491,0.0,0.9999785423278809,0.5543995870576871,0.30669396903826085,0.0,0.9999709725379944,0.5523282342301661,0.38402808518398635,0.22528177301783653,0.9999730587005615,0.43526692427955327,0.32890751499396115,0.0,0.9999743700027466,0.5921998564457838,0.46827709598419015,0.2403006104183642,0.4013308584690094,0.3344427030403298,0.3011340882394699,0.0,0.9952141642570496,0.662217144643788,0.5122962562771111,0.05378061326303137,0.8036473989486694,0.41167798124271127,0.22355063287389323,0.0,0.997363805770874,0.6847675043941933,0.5242168962399723,0.03375829886731925,0.8089292645454407,0.44157038292129003,0.20449160730644267,0.0,0.9953321218490601,0.6950156487229268,0.5167448565815438,0.0,0.8291232585906982,0.4567845109459404,0.2065208073366775,0.0,0.9953076839447021,0.6833600949296307,0.5127646547236364,0.0258677373955023,0.7996768951416016,0.4535109322248915,0.21701130385582287,0.0,0.9920216798782349,0.5023836446253015,0.5495258672531945,0.12004076647800162,0.9999216198921204,0.42635084685190033,0.5462768780879488,0.0,0.9999315142631531,0.44707247614860535,0.7126049399375919,0.3492344915866854,0.6,0.5244037809071842,0.6832258905564155,0.0,0.7199345827102661,0.41000536084175093,0.8161109089851379,0.3258494138717652,0.6,0.3981440989843338,0.7924234365527723,0.0,0.6938273310661316,0.38056123256683344,0.8066380620002749,0.3512333035469055,0.6,0.46465170383453375,0.7737563848495483,0.0,0.6,0.5040281197546804,0.8529418201157543,0.04109076970628081,0.6526078581809998,0.4159269827507038,0.859913634531426,0.0,0.7604780197143555,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high
3,0.1,0.5839779868131476,0.28316759814818726,0.0,0.9999956488609314,0.5924808853989715,0.27047445711903373,0.0,0.999994158744812,0.5972068726599633,0.27183013668149236,0.0,0.9999914765357971,0.6020579266520367,0.27354839874870035,0.0,0.9999956488609314,0.5744362908365568,0.26547407534294776,0.0,0.9999936819076538,0.5649698616324604,0.2630610628908887,0.0,0.9999920725822449,0.5565254013716201,0.2606196052509868,0.0,0.9999931454658508,0.5835783523279469,0.27544384190947335,0.09066236508892957,0.9999946355819702,0.5269009646696925,0.25969047701997944,0.0,0.9999703168869019,0.5775550610118814,0.2973108501075867,0.0,0.9999777674674988,0.5580183371102615,0.2917695494590106,0.0,0.9999692440032959,0.5517402842189327,0.372037729600093,0.2391158879185333,0.9999718070030212,0.4321262953859389,0.31494903052117174,0.0,0.9999715089797974,0.5912361657702839,0.4632684482491658,0.2612521413948153,0.3808097243309021,0.33789738967563177,0.2829025640458496,0.0,0.9951891899108887,0.6672017068573923,0.5126115379980951,0.09146723397822937,0.784996747970581,0.4398926219323299,0.20465754074997577,0.0,0.9970698952674866,0.6930594205995262,0.5234463168677197,0.07537390472310974,0.794756293296814,0.47470595474009747,0.18602003321260013,0.0,0.9948233366012573,0.7045848152854228,0.515265523901075,0.017870208754319467,0.815917432308197,0.48663948524943046,0.18799747180167642,0.0,0.9947695136070251,0.6925562556945917,0.5118306094394142,0.06337415843785238,0.7865732312202454,0.48169027446033225,0.19835516044518353,0.0,0.9912373423576355,0.4969766994456312,0.5469800809741298,0.12225748626363302,0.999920129776001,0.4202637638037023,0.544287051076378,0.0,0.9999285936355591,0.4470724761486054,0.7126049399375918,0.3492344915866854,0.6,0.5381758346424237,0.6843467281137036,0.0,0.7289295196533203,0.410005360841751,0.816110908985138,0.3258494138717652,0.6,0.4070972539397665,0.8035188905703715,0.0,0.7005661129951477,0.38056123256683344,0.8066380620002749,0.3512333035469056,0.6,0.46465170383453375,0.7737563848495485,0.0,0.6,0.49896305702227295,0.8718011469552014,0.013805949817344176,0.6656560301780701,0.4262096618577874,0.8728192063756203,0.0,0.768991231918335,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
4,0.13333333333333333,0.5912184203977077,0.2624399840901229,0.0,0.9999956488609314,0.5987073149714437,0.24940392534771733,0.0,0.9999942779541016,0.6033629229018739,0.2506970829202302,0.0,0.9999916553497314,0.6082609105499195,0.2521300515233778,0.0,0.9999958276748657,0.5807644901297867,0.2443535507489476,0.0,0.9999937415122986,0.5711634575903832,0.2420124738088578,0.0,0.9999920129776001,0.5619444941585158,0.23949065686383753,0.0,0.999993085861206,0.5855585966076883,0.2531092686530874,0.10921807644458906,0.9999949336051941,0.5288733513483082,0.23793212291382995,0.0,0.9999704360961914,0.5828422241277629,0.27811254133711355,0.0,0.9999776482582092,0.5632605062220202,0.2714235613812934,0.0,0.9999682307243347,0.5511766558204776,0.35426814531112916,0.25797208629565904,0.9999725222587585,0.42787863852538727,0.29581502343946975,0.0,0.9999679327011108,0.5905699925822812,0.45221540866754023,0.28511728846526646,0.3589308261871338,0.34400412051272017,0.2593362733617532,0.0,0.9947953224182129,0.6716147351376105,0.5093455107617769,0.12292339354275905,0.7542368769645691,0.4683512324219818,0.1810130290773923,0.0,0.9959419965744019,0.7007566683498018,0.5193641730399678,0.10849428410904545,0.7670016288757324,0.5069273631055872,0.16239443212955992,0.0,0.9930411577224731,0.7124350746194802,0.5114002366721773,0.048712895562251585,0.7889305949211121,0.5166996570178124,0.1640360925372667,0.0,0.9929080605506897,0.6998496294577361,0.5084723741302403,0.09388946588118605,0.7594953775405884,0.5103031872035739,0.17430916689075815,0.0,0.9883953332901001,0.49045387535662094,0.5421757913413858,0.12759074982090704,0.9999212026596069,0.4120445666196465,0.5403930950553826,0.0,0.999926745891571,0.44707247614860546,0.7126049399375918,0.3492344915866854,0.6,0.5486241391488723,0.6863113713986946,0.0,0.7265356779098511,0.410005360841751,0.816110908985138,0.3258494138717652,0.6,0.41808644610962953,0.8200588933515659,0.0,0.691006600856781,0.38056123256683344,0.8066380620002749,0.35123330354690563,0.6,0.46465170383453386,0.7737563848495485,0.0,0.6,0.49512091681951725,0.8928178693308978,0.00608324282097078,0.6589767932891846,0.44495627610555627,0.8920949066713418,0.0,0.7653601169586182,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high
5,0.16666666666666666,0.5994705492522071,0.2398935289649703,0.0,0.9999955892562866,0.6059782500867259,0.2266579368661895,0.0,0.9999942779541016,0.6106315502475763,0.22787444092038134,0.0,0.9999917149543762,0.615556230078212,0.22900769475734656,0.0,0.9999958872795105,0.5877751539915052,0.22155257555849406,0.0,0.999993622303009,0.5779805201472673,0.2192577015269892,0.0,0.9999917149543762,0.5676730490508906,0.2166257633682181,0.0,0.9999927878379822,0.5882767365251125,0.22935497986547937,0.12814470609793333,0.9999951720237732,0.5307663173386559,0.21461125444143303,0.0,0.9999702572822571,0.5890253662785188,0.2570367252284837,0.0,0.9999776482582092,0.5692039825421684,0.24927802390846682,0.0,0.999967098236084,0.550381645178185,0.33425713933153395,0.27739172524366695,0.9999734163284302,0.423186466271506,0.2749755151552483,0.0,0.9999643564224243,0.5898217007274688,0.43811178186556793,0.3093616421267155,0.3464554250240326,0.35334945586455824,0.23426222884571696,0.0,0.9945750832557678,0.6753179553227564,0.5037809057391343,0.14989941594101927,0.7364786863327026,0.4970416692031304,0.15629986991415531,0.0,0.9950106143951416,0.7074026593239453,0.5132775822858446,0.13579578097640532,0.7521941661834717,0.5383223814842043,0.13745161180660198,0.0,0.9915859699249268,0.7185019761810232,0.506078495498583,0.072993069335749,0.7746887803077698,0.5467753088001897,0.13859916947313158,0.0,0.9914196729660034,0.7052749519025825,0.5035764141516266,0.1195393645558466,0.7456583976745605,0.5392050654182359,0.14880469415362935,0.0,0.9863155484199524,0.4834643428003329,0.5362350454419379,0.13485487213571068,0.9999239444732666,0.4030095051913283,0.5354120481264355,0.0,0.9999270439147949,0.44707247614860657,0.7126049399375934,0.34923449158668607,0.6,0.5560425386562229,0.6887229436483157,0.0,0.7393011450767517,0.4100053608417522,0.8161109089851402,0.325849413871766,0.6,0.4296603500843059,0.8389117785822839,0.0,0.6962583065032959,0.3805612325668345,0.8066380620002768,0.35123330354690646,0.6,0.46465170383453497,0.7737563848495503,0.0,0.6,0.4927935556515126,0.9136542425011167,0.012207338577765986,0.6641018986701965,0.46832499345699513,0.9141690920005059,0.0,0.7712605595588684,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high
6,0.2,0.6062724347159039,0.2198859261813425,0.0,0.9999940395355225,0.6126645871531451,0.20543656044906722,0.0,0.999992847442627,0.6173749004766396,0.20646272304452715,0.0,0.9999901056289673,0.6222844276672771,0.20781510391018662,0.0,0.9999953508377075,0.593493430347711,0.20041684945285512,0.0,0.999991238117218,0.58322509060373,0.19789853619112052,0.0,0.9999882578849792,0.5719242836489837,0.19485088168602216,0.0,0.9999899864196777,0.5918512409661494,0.20909760305375819,0.1395080832022057,0.9999949336051941,0.5321671475063685,0.19407134178357296,0.0,0.9999618530273438,0.5947089366145917,0.23698184936196715,0.0,0.9999749660491943,0.5741912754543471,0.22967283948734987,0.0,0.9999596476554871,0.5494276279613981,0.31789365445539475,0.28957315108853976,0.9999743700027466,0.4190125993359628,0.25758898404094793,0.0,0.9999596476554871,0.5894147667573619,0.42527185863270456,0.33316687965170855,0.3421863615512848,0.367055523715098,0.21334431923074937,0.0,0.9942576289176941,0.6795200702749505,0.4977273643711521,0.1811660439262306,0.7288514971733093,0.528846777888724,0.13495679811025313,0.0,0.9937551021575928,0.7133960905886494,0.507394210650372,0.1676625001259448,0.7428271770477295,0.572119786119685,0.11591851999570749,0.0,0.989549994468689,0.7240463235439417,0.5007287875894635,0.10132063673440142,0.7653048634529114,0.5791802142327774,0.1166889618708818,0.0,0.9892934560775757,0.7098332631004459,0.49837707062979253,0.14956279557484886,0.7359094023704529,0.5707275381871886,0.12661408697252818,0.0,0.9834114909172058,0.4767998268693212,0.5305855215846256,0.14324942333645513,0.9999247193336487,0.3942962313170766,0.5298763559414804,0.0,0.9999256134033203,0.44707247614860657,0.7126049399375934,0.34923449158668607,0.6,0.5613211291931185,0.6912068744083681,0.0,0.7333154082298279,0.4100053608417522,0.8161109089851402,0.325849413871766,0.6,0.4386006689571846,0.8547651293950226,0.0,0.6872004866600037,0.3805612325668345,0.8066380620002768,0.35123330354690646,0.6,0.46465170383453497,0.7737563848495503,0.0,0.6,0.49286563413126616,0.9325003505864646,0.024134289560131875,0.6368074417114258,0.48739234828726796,0.9342867915446966,0.0,0.7647892236709595,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high
7,0.23333333333333334,0.6124269937301865,0.20730383607335356,0.0,0.9999940395355225,0.6188607647980304,0.19198065756501068,0.0,0.9999930262565613,0.6230382663664578,0.1927594625519155,0.0,0.9999905228614807,0.6273369380644168,0.19430485777643783,0.0,0.9999955296516418,0.5993955025584008,0.18707360903838902,0.0,0.9999913573265076,0.5885722498237964,0.18431286100463204,0.0,0.9999883770942688,0.5758980890531933,0.18090538333207068,0.0,0.9999900460243225,0.5936139949829722,0.19624882571763977,0.1390450502765349,0.9999952912330627,0.5333040715097561,0.18080319106439935,0.0,0.9999626874923706,0.5988104398989749,0.22370831855944046,0.0,0.9999755024909973,0.57865561527528,0.21738047571310132,0.0,0.9999591112136841,0.54659176442451,0.30542161018698444,0.2887161343178279,0.9999748468399048,0.4160203849657999,0.2460495260281447,0.0,0.9999562501907349,0.5858052279843611,0.4150249499541073,0.3456364160790041,0.3479219675064087,0.38925789668287814,0.1984687308609352,0.0,0.9944038391113281,0.6805461320010117,0.4915474353136729,0.2047797115497939,0.7245611548423767,0.558596857847313,0.12136007998234218,0.0,0.993077278137207,0.7157973315054461,0.5013752710985984,0.19238518559675724,0.7384284138679504,0.6021525138741622,0.10159440277826007,0.0,0.9885631203651428,0.7260072546683288,0.49502530916309706,0.12338102857706046,0.7609548568725586,0.6088394405263858,0.10172930927751807,0.0,0.9882412552833557,0.711306433716578,0.4927360733628008,0.17265498374169846,0.732045590877533,0.6003666325604737,0.11186188895316142,0.0,0.9821130037307739,0.4713546678180751,0.525968907735288,0.14969856856447317,0.9999228119850159,0.3889269318197167,0.525248043187016,0.0,0.9999222159385681,0.44707247614860657,0.7126049399375934,0.34923449158668607,0.6,0.5630823786442112,0.6939224186755023,0.0,0.7510757446289062,0.4100053608417522,0.8161109089851402,0.325849413871766,0.6,0.4454309373468798,0.8681545742463977,0.0,0.7052441239356995,0.3805612325668345,0.8066380620002768,0.35123330354690646,0.6,0.46465170383453497,0.7737563848495503,0.0,0.6,0.49474531002255995,0.9449698509592024,0.03974398687082442,0.6349062323570251,0.5059185118386254,0.949097261423278,0.0,0.7787016034126282,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
8,0.26666666666666666,0.6142613519599682,0.20729313325354043,0.0,0.9999934434890747,0.620183093981311,0.19159515844636354,0.0,0.9999924898147583,0.6234774058793269,0.19213284590305474,0.0,0.999989926815033,0.6268164276520983,0.19374342881021572,0.0,0.9999953508377075,0.6015734893458722,0.18695642074921798,0.0,0.9999905824661255,0.5906579498644491,0.18404179029948275,0.0,0.9999871850013733,0.5772960461103014,0.18043805064854967,0.0,0.9999892115592957,0.5917221025709243,0.19626387703668874,0.1278528522413514,0.9999950528144836,0.5336549416844398,0.1810992833200873,0.0,0.999957799911499,0.598981074797803,0.22239971681908352,0.0,0.9999734163284302,0.5803498420126247,0.21719614015175803,0.0,0.999954342842102,0.5425051510472968,0.30290382516967745,0.2767079251976843,0.9999745488166809,0.4136139264890375,0.24508662830977515,0.0,0.9999549984931946,0.5807486609979124,0.41243390860535434,0.3488707251343147,0.349900484085083,0.4125674438504361,0.19651136392757937,0.0,0.9945060610771179,0.6797827829569943,0.48714982087795683,0.2273172205075245,0.7245157957077026,0.5850673680538914,0.12114335867491666,0.0,0.9919478893280029,0.7149093560961317,0.49689824979900055,0.2180437244874342,0.7388967275619507,0.6290460552646858,0.10173250835536546,0.0,0.9864437580108643,0.7243536931651475,0.4907719501943312,0.1476942121218416,0.7614516019821167,0.6354531862519021,0.10169096056606411,0.0,0.9860221147537231,0.7101385129359514,0.4885245612312321,0.1956667739264064,0.7326566576957703,0.6266924869486241,0.11179156375653844,0.0,0.9793234467506409,0.46751984467595453,0.5246766369381721,0.15378336625777245,0.9999198317527771,0.3876711961689539,0.5233640965326141,0.0,0.9999191761016846,0.44707247614860657,0.7126049399375934,0.34923449158668607,0.6,0.5619589006984166,0.6951139602627805,0.0,0.7359545230865479,0.4100053608417522,0.8161109089851402,0.325849413871766,0.6,0.44927155929845647,0.8724725096375816,0.0,0.6881586909294128,0.3805612325668345,0.8066380620002768,0.35123330354690646,0.6,0.46465170383453497,0.7737563848495503,0.0,0.6,0.4997365139858997,0.9457395089256204,0.05955079520047422,0.6012458205223083,0.5207918987963319,0.9537332470600447,0.0,0.7668561339378357,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high
9,0.3,0.6126602004458037,0.2167636355459001,0.0,0.9999924898147583,0.6180929248427471,0.20107401483681428,0.0,0.9999917149543762,0.6203529669410437,0.2014424713688858,0.0,0.9999889731407166,0.6225901989392206,0.20304308932422258,0.0,0.9999949932098389,0.6010574633147071,0.19674769575362488,0.0,0.9999897480010986,0.5904459487863924,0.19375025079800584,0.0,0.9999862313270569,0.5769967913349763,0.19009083471237137,0.0,0.9999884963035583,0.5874880043776733,0.20571842897327408,0.11091143744704635,0.999994695186615,0.5338272277291852,0.19101275944765403,0.0,0.9999535083770752,0.5962146433083344,0.23048169445463612,0.0,0.9999709725379944,0.5796030629209165,0.22629060914049676,0.0,0.9999499320983887,0.5378027886221751,0.3097524706856084,0.2578806760427842,0.9999738931655884,0.4139555714208218,0.25247612341995346,0.0,0.9999542832374573,0.5744484664399043,0.41789798157198554,0.3490205414784269,0.3476724922657013,0.43838306191640136,0.20434070592160045,0.0,0.9944795966148376,0.6774305448387626,0.4865281419320553,0.24956539398306798,0.7192898988723755,0.6105977172479223,0.1311645499823536,0.0,0.9916124939918518,0.7115136244636057,0.49682295315471414,0.24407348095815007,0.7328159213066101,0.6534915476134346,0.11246475131014318,0.0,0.9859402775764465,0.7206406480782535,0.49066553589625367,0.1726428263393042,0.7558197379112244,0.6596685335352721,0.11258709988185604,0.0,0.9854865074157715,0.7070767401537436,0.48837168789132346,0.2185265125233538,0.7267605662345886,0.650900390459387,0.12239800690562605,0.0,0.9783713221549988,0.46515417682541127,0.5267036997632839,0.1548252667719394,0.9999146461486816,0.3896813552418521,0.5243507356910453,0.0,0.9999138116836548,0.44707247614860657,0.7126049399375934,0.34923449158668607,0.6,0.5606964997478313,0.6951124048455353,0.0,0.7178224325180054,0.4100053608417522,0.8161109089851402,0.325849413871766,0.6,0.44887503675925544,0.8707408488213622,0.0,0.6733057498931885,0.3805612325668345,0.8066380620002768,0.35123330354690646,0.6,0.46465170383453497,0.7737563848495503,0.0,0.6,0.5065728489891368,0.9407663983064956,0.05318803470885712,0.5809910297393799,0.5295369570905526,0.9515736089164031,0.0,0.7574776411056519,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high
