frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.29944730742828,0.4408448040485382,0.0,0.9999247789382935,0.30702828256400316,0.43585892365529,0.0,0.9998644590377808,0.31251571103409465,0.43624193726719696,0.0,0.9998438358306885,0.317655256161323,0.43667261000279795,0.0,0.9998953342437744,0.2940705158076921,0.4354341103063598,0.0,0.9998935461044312,0.28989702400627665,0.4353797183587001,0.0,0.9998968839645386,0.2856817430966384,0.4353026353812718,0.0,0.9999138116836548,0.3232280845408673,0.44144871914303396,0.0,0.9998316764831543,0.28077169377487027,0.43864686005599024,0.0,0.999355137348175,0.3095530730027419,0.44759270236208737,0.0,0.9998288154602051,0.29255814610661346,0.4472842843799325,0.0,0.9998075366020203,0.35383767702362745,0.478016621374584,0.0,0.9999790191650391,0.24014849439784364,0.4742994758632635,0.0,0.9999071359634399,0.3749124457786133,0.5269907316961489,0.0,0.7632299065589905,0.2121377963494588,0.5215633761632692,0.0,0.3637218773365021,0.37707823535779167,0.55359541452848,0.0,0.765426754951477,0.2074856536163317,0.5430643904459229,0.0,0.3642018735408783,0.37887454241305835,0.5634095739651396,0.0,0.7534348964691162,0.2004414918747816,0.5494529258954775,0.0,0.3842649757862091,0.37459342358829273,0.5572756253756009,0.0,0.7751389741897583,0.20234763434716876,0.5462321597379406,0.0,0.4054618775844574,0.3716326799842864,0.5538426108293598,0.0,0.7055652141571045,0.20813773551604134,0.5439856660949601,0.0,0.34211215376853943,0.32841613263516983,0.5699922905101642,0.0,0.9999583959579468,0.26316425496048035,0.565076414104942,0.004018876393866219,0.9999344348907471,0.36013287222468754,0.6279543996690871,0.0,0.80821293592453,0.2507710031696133,0.6209275101448273,0.0,0.5550580024719238,0.3124666034758509,0.6792816319665708,0.0,0.6668096780776978,0.2812607469675424,0.6756437379163466,0.09329735795101082,0.5894702076911926,0.30985769629478477,0.6879901885986328,0.1624711602926255,0.6,0.2831448316574096,0.6843599081039434,0.2237914353609086,0.6,0.31351777890345434,0.7063640506117497,0.0,0.675500750541687,0.2672700198380265,0.6981943533137134,0.0,0.5448481440544128,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,medium,medium,medium,medium,medium,medium,medium
1,0.03333333333333333,0.3005817891000868,0.44079714659210695,0.0,0.9999310374259949,0.30750958006698775,0.4357780397355141,0.0,0.9998756647109985,0.3127984019009383,0.4361392947343682,0.0,0.9998566508293152,0.3177956855380452,0.43653712968726266,0.0,0.9999037981033325,0.29448249290039497,0.4353460479866376,0.0,0.9999024868011475,0.2901913158960274,0.4352934531398587,0.0,0.9999054670333862,0.2857801674546061,0.43523097788537296,0.0,0.9999209046363831,0.32291029925112963,0.44089056270105864,0.0,0.9998453259468079,0.2798141562021696,0.4383937720652228,0.0,0.9994087219238281,0.3097096452346215,0.447581991240695,0.0,0.9998424649238586,0.292613193080142,0.4472196389745166,0.0,0.9998226165771484,0.3537522706535312,0.47773167532640753,0.0,0.9999801516532898,0.24014278964979668,0.4741428880007951,0.0,0.9999114274978638,0.3712670257041505,0.5266565709680944,0.0,0.771477997303009,0.2132707690442359,0.5212186920892942,0.0,0.36619091033935547,0.38050330685568884,0.548434210823966,0.0,0.7696611285209656,0.19700175815528922,0.5419780849576832,0.0,0.3742108941078186,0.3887227702807716,0.5585462542680595,0.0,0.7563625574111938,0.18746035822204782,0.5483828770530808,0.0,0.3949126899242401,0.38476903517763106,0.5525136464959257,0.0,0.7779000401496887,0.1901623968269442,0.5454559180286381,0.0,0.4161854386329651,0.38019286877625497,0.5500296879481602,0.0,0.7082692980766296,0.19697259481136614,0.5433537038889799,0.0,0.35255277156829834,0.3260045159946787,0.5672148674518078,0.0,0.9999601244926453,0.2619184313954173,0.5637782920490613,0.011203173736852808,0.9999374151229858,0.3454031079382329,0.6243171862788968,0.0,0.804632306098938,0.2521231597536928,0.6195687564102921,0.0,0.539700448513031,0.3117764110748586,0.6793038807548842,0.01071067872112029,0.6697503328323364,0.2803296184206342,0.6751402483119834,0.11931473443974977,0.5841414332389832,0.30985769629478466,0.6879901885986328,0.16247116029262546,0.6,0.28314483165740967,0.6843599081039433,0.2237914353609086,0.6,0.3124583692817421,0.7061534561477342,0.0,0.6802030801773071,0.26734636755256397,0.6978845262860923,0.016128704316549447,0.5441099405288696,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,medium,medium,medium,medium,medium,medium,medium
2,0.06666666666666667,0.301217049777091,0.4407907618787184,0.0,0.9999367594718933,0.30770206284689744,0.4357211901730314,0.0,0.9998858571052551,0.3128189359789405,0.43607546121646223,0.0,0.9998683929443359,0.31765938708276464,0.4364600139203328,0.0,0.9999115467071533,0.2946961192123263,0.4352732585582424,0.0,0.9999106526374817,0.29032053786279977,0.43522374397946967,0.0,0.9999132752418518,0.2857758760591208,0.43517399640072196,0.0,0.999927282333374,0.32269394890967507,0.4405638232375637,0.0,0.9998576045036316,0.27905636421450375,0.43821354054070866,0.0,0.9994574785232544,0.3096513674531506,0.4476186763017607,0.0,0.9998540282249451,0.2925291066264219,0.44719699622589953,0.0,0.9998354911804199,0.3537468100900139,0.4775039390389459,0.0,0.9999807476997375,0.24004097748330708,0.47387067990981063,0.0,0.9999135732650757,0.36817357930547995,0.5261648803046255,0.0,0.7759528756141663,0.21495564632760342,0.520900189042925,0.0,0.3678342401981354,0.37973218607457954,0.5457516133368431,0.0,0.7751747965812683,0.19225839447308252,0.5419094448600894,0.0,0.3753189742565155,0.390557268143812,0.555995653559278,0.0,0.7625181674957275,0.1817395458896677,0.54843835605608,0.0,0.3976643681526184,0.3864102106550079,0.5499933717689869,0.0,0.7840495705604553,0.18459133317559476,0.5457190862902395,0.0,0.4189262092113495,0.3812103810566013,0.5479108892676435,0.0,0.7156346440315247,0.1918297495458509,0.5435823632842733,0.0,0.35583412647247314,0.3241498953812605,0.5650177407653738,0.0,0.999960720539093,0.26115264536895394,0.5625453282903126,0.016512857176936614,0.9999386668205261,0.3345513257669125,0.6216727472963312,0.0,0.8001652359962463,0.2539124686123331,0.6186011648956158,0.0,0.5406513214111328,0.3114100666173968,0.6796047166510895,0.03333452780511756,0.673130214214325,0.27956687250893153,0.6750835601266448,0.14556758263797467,0.5847669839859009,0.3098576962947846,0.6879901885986329,0.1624711602926254,0.6,0.28314483165740967,0.6843599081039432,0.2237914353609086,0.6,0.3117111372503089,0.7060686376267101,0.0,0.6846492290496826,0.2667351207394145,0.6977208021915324,0.04314457611256831,0.5466458201408386,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,medium,medium,medium,medium,medium,medium,medium
3,0.1,0.3014457620732435,0.4408055817261166,0.0,0.9999420046806335,0.3076558420499723,0.43567838163781564,0.0,0.9998955130577087,0.3126234730015267,0.43603645275522807,0.0,0.9998794794082642,0.31729979972878264,0.4364218133868593,0.0,0.9999189376831055,0.29474433433342656,0.43520826955775305,0.0,0.9999181032180786,0.2903133143078196,0.43516259815865194,0.0,0.9999203085899353,0.2856863604767338,0.43512347736558715,0.0,0.9999330639839172,0.3225242047807276,0.4404115946768048,0.0,0.9998692274093628,0.2784610966216157,0.4380912439320194,0.0,0.9995000958442688,0.3094262975357074,0.4476786398248519,0.0,0.9998640418052673,0.2923345155927131,0.4471931260921461,0.0,0.9998460412025452,0.3537583201776296,0.4773268835458445,0.0,0.9999813437461853,0.23986539559000308,0.47352886877276684,0.0,0.9999136328697205,0.3655937965308037,0.5255785270448609,0.0,0.7800940871238708,0.21699628544784655,0.5206164566231218,0.0,0.367662638425827,0.3758875774197926,0.5450537133883762,0.0,0.7740438580513,0.19209833474426,0.5425987829973092,0.0,0.36090517044067383,0.3864237222568697,0.5552974303702376,0.0,0.7606502771377563,0.18178745027466528,0.5493251042905111,0.0,0.38107016682624817,0.38173990858184714,0.5492833570722655,0.0,0.7825364470481873,0.18431926556886777,0.5467375334187266,0.0,0.40219053626060486,0.37666300883937853,0.5471766950922968,0.0,0.7135897278785706,0.1915096309218373,0.544434355341749,0.0,0.34259510040283203,0.32277418398634805,0.5633372620685951,0.0,0.9999624490737915,0.2607709462895537,0.5614177685378593,0.02008022417342575,0.9999414086341858,0.32699370905235936,0.619885891120195,0.0,0.8042337894439697,0.2559715017224804,0.6179803460489066,0.0,0.5515726208686829,0.3112975014395371,0.6801060036623673,0.056506258650467885,0.6944594383239746,0.2789436196669554,0.6753857800593744,0.17068126479854112,0.6090670228004456,0.3098576962947846,0.6879901885986329,0.1624711602926254,0.6,0.2831448316574097,0.6843599081039432,0.2237914353609086,0.6,0.3112368594794284,0.7060790705236243,0.0,0.7051312923431396,0.2656156468641509,0.6976813936566978,0.06604895587915037,0.5722312331199646,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,medium,medium,medium,medium,medium,high,medium
4,0.13333333333333333,0.3013605986024951,0.4408215379520453,0.0,0.9999455809593201,0.3074210288224522,0.43563962079984053,0.0,0.9999023079872131,0.3122581727021223,0.4360082853924147,0.0,0.9998873472213745,0.31677036240940054,0.4364030787716935,0.0,0.9999241232872009,0.29466007785363646,0.43514360852174855,0.0,0.9999231100082397,0.2901982696323127,0.43510202295852435,0.0,0.9999248385429382,0.2855291122739964,0.4350712072182369,0.0,0.9999367594718933,0.322346238128511,0.44037697094303757,0.0,0.9998773336410522,0.27799113223324856,0.4380119606887268,0.0,0.9995254278182983,0.3090824933596703,0.4477377640895357,0.0,0.9998700022697449,0.2920580488262757,0.4471847985313212,0.0,0.9998512268066406,0.3537238257609326,0.47719397988074874,0.0,0.9999819993972778,0.23963838166151302,0.47316347177212065,0.0,0.9999123811721802,0.3634893673283238,0.5249603785279191,0.0,0.7811084389686584,0.2191965436532504,0.5203760844288451,0.0,0.34962722659111023,0.37009218529665694,0.5458466022998301,0.0,0.766602098941803,0.1953643511433701,0.5437864122135101,0.0,0.3371450901031494,0.3783678188746351,0.5559912432323805,0.0,0.7522826194763184,0.18611246677406457,0.5507488631424095,0.0,0.35710379481315613,0.37298108751957243,0.5499521582832425,0.0,0.7748038172721863,0.1880310161825105,0.5482271283100814,0.0,0.3775670528411865,0.3685285441386397,0.5475175857266068,0.0,0.7034111022949219,0.19481267014166687,0.5456723911223156,0.0,0.3217548131942749,0.32179929500137444,0.562109782979205,0.0,0.9999631643295288,0.2606773835656803,0.5604358585008653,0.022037572185628334,0.9999421834945679,0.32214644113620683,0.6188214261492929,0.0,0.7957502007484436,0.258132831061081,0.6176619103182726,0.0,0.5372076630592346,0.3113686468773512,0.6807296057958981,0.07906875264394525,0.7003694176673889,0.2784309703292269,0.675959014809215,0.19328114317430478,0.6125821471214294,0.30985769629478466,0.687990188598633,0.1624711602926254,0.6,0.2831448316574098,0.6843599081039432,0.22379143536090862,0.6,0.3109963126393743,0.7061542303134233,0.0,0.7130149602890015,0.2641673133923459,0.6977445133082522,0.08449778146607624,0.5782890915870667,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,medium,high,medium,medium,medium,high,medium
5,0.16666666666666666,0.3010542319787974,0.44081856237424955,0.0,0.999948263168335,0.30704773431057775,0.43559491432908093,0.0,0.9999077320098877,0.31176919481415377,0.4359769751697721,0.0,0.999893844127655,0.3161245140579205,0.43638436075968734,0.0,0.9999282956123352,0.2944762893628971,0.4350718029868086,0.0,0.9999269247055054,0.2900040282375059,0.435034025660207,0.0,0.9999281167984009,0.2853216230174608,0.43500897239694064,0.0,0.9999393820762634,0.3221052202172499,0.4404030459605186,0.0,0.9998841285705566,0.2776092498591459,0.43796076926040317,0.0,0.9995434284210205,0.3086680128024183,0.4477719313753802,0.0,0.9998729825019836,0.29172833517437013,0.4471487835014907,0.0,0.999852180480957,0.3535803516844779,0.47709869907730507,0.0,0.9999821186065674,0.23938227338946572,0.47282050609032994,0.0,0.9999071955680847,0.361821981646243,0.5243733020929203,0.0,0.7859969139099121,0.22136027819210058,0.5201876620590562,0.0,0.3326171636581421,0.36346871411050213,0.5476363713924716,0.0,0.761907160282135,0.20089921584496184,0.5452126453528607,0.0,0.31424596905708313,0.3684352442517991,0.5576167506771502,0.0,0.7469142079353333,0.19322299078489014,0.552415373997812,0.0,0.3336941599845886,0.36235670602960834,0.5515683312794004,0.0,0.7699832320213318,0.19441140719227074,0.5499037398602871,0.0,0.3535802960395813,0.3587847789684385,0.5486240414750618,0.0,0.6970043182373047,0.20053929840768187,0.5470591816868831,0.0,0.30208081007003784,0.3211471416177736,0.5612716551149378,0.0,0.9999639391899109,0.26077600660579814,0.5596398438884954,0.022517198672852515,0.999943196773529,0.3194257053600889,0.618344160782431,0.0,0.7944972515106201,0.2602290286050817,0.6176014681518234,0.011342751766426963,0.5367244482040405,0.3115534342669115,0.6813973870588645,0.09986489117232403,0.7113632559776306,0.2780000349302677,0.6767153710752118,0.21199258001812188,0.6255292892456055,0.3098576962947853,0.6879901885986346,0.16247116029262584,0.6,0.28314483165741045,0.6843599081039446,0.22379143536090912,0.6,0.3109502734004209,0.7062635924710556,0.0,0.7240170836448669,0.2625694877895727,0.697888373772861,0.09814699072312669,0.5921897292137146,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,medium,low,high,high,high,medium,high,medium,medium,medium,high,medium
6,0.2,0.3006745044029128,0.44075667559405984,0.0,0.9999502897262573,0.30662954805336434,0.43552891357795454,0.0,0.999911904335022,0.31123962741353933,0.43592504750598676,0.0,0.9998986721038818,0.31545564261349845,0.43634479348754107,0.0,0.9999314546585083,0.2942487075751208,0.43497633023973503,0.0,0.9999297857284546,0.2897808236397793,0.43493658651561,0.0,0.9999303817749023,0.28509228073911586,0.4349079337014474,0.0,0.9999412298202515,0.3216793909495258,0.4404295312635838,0.0,0.999889075756073,0.2772248565872796,0.4379067793314841,0.0,0.9995555281639099,0.30823836501661794,0.4477364595953413,0.0,0.9998746514320374,0.29135312233771554,0.447031773331561,0.0,0.9998520612716675,0.35311281160041263,0.47701665502050383,0.0,0.9999821782112122,0.23911975251211215,0.4726105234422897,0.0,0.9999027252197266,0.3603455661893734,0.5238790024410609,0.0,0.7864267230033875,0.22318690963141627,0.5200776852372101,0.0,0.316556453704834,0.35884476381859953,0.5493633570648866,0.0,0.7476056814193726,0.20748223836744362,0.5463200929837364,0.0,0.291607528924942,0.36136073902214694,0.5586707359983107,0.0,0.7327840924263,0.2014267514079884,0.5535627488211888,0.0,0.3104913830757141,0.3552569714320577,0.5525274932523445,0.0,0.7563596367835999,0.2020795790951852,0.5509950656157289,0.0,0.3294234573841095,0.3522667317957321,0.5492263960115851,0.0,0.6799294948577881,0.20735386927505806,0.5479294804982109,0.0,0.2815026342868805,0.3208370192067615,0.5607116352983859,0.0,0.9999653100967407,0.2609688896677162,0.5590888710566626,0.020401943270942045,0.9999452829360962,0.3177655594193305,0.6181350160034125,0.0,0.7937803268432617,0.2620829076339044,0.6177265794127154,0.014146235932667707,0.5339213609695435,0.31179294115179984,0.6819621516274423,0.11628215068990358,0.7236468195915222,0.2775770848169756,0.6776059815933673,0.21968327419254943,0.64069002866745,0.3098576962947853,0.6879901885986346,0.16247116029262584,0.6,0.28314483165741045,0.6843599081039446,0.22379143536090912,0.6,0.31118949080680713,0.7063429483444836,0.0,0.7357377409934998,0.2610870119019273,0.6980966387928801,0.10114978945060793,0.608305037021637,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,medium,low,high,high,high,medium,high,medium,medium,medium,high,medium
7,0.23333333333333334,0.3001784197378278,0.44060796388101586,0.0,0.999952495098114,0.30608754203869826,0.43540977778690515,0.0,0.9999158382415771,0.310599712502985,0.4358058435655708,0.0,0.9999030828475952,0.3147065388711746,0.4362160549575088,0.0,0.9999344348907471,0.29394105479711774,0.43483887769125673,0.0,0.999932587146759,0.2894985620931042,0.43480228585796865,0.0,0.9999326467514038,0.28482484518787043,0.4347755836023329,0.0,0.9999431371688843,0.3210002074847419,0.4402931052626997,0.0,0.9998940825462341,0.2768876016973623,0.437848818955167,0.0,0.9995684623718262,0.3078170536142415,0.4475879887323013,0.0,0.9998776912689209,0.29099017590076015,0.44681372536923897,0.0,0.9998536109924316,0.35239624261578295,0.4769779626445072,0.0,0.9999823570251465,0.23890182771882873,0.4724981900139579,0.0,0.9998984336853027,0.35960320972062587,0.5236260703393643,0.0,0.7892149090766907,0.2245554011879551,0.5200270510220041,0.0,0.3098953366279602,0.35447781131817835,0.551938238816385,0.0,0.7269259691238403,0.21259697097720578,0.5472236848099818,0.0,0.26905936002731323,0.3548576030142111,0.5618015895912435,0.0,0.709595263004303,0.20774492124716495,0.5546317543738942,0.0,0.2860427796840668,0.3486821086673479,0.5560610812582907,0.0,0.7331352829933167,0.20839104844834755,0.5520170893702488,0.0,0.3035166561603546,0.34615109273881717,0.5521987985064114,0.0,0.6548589468002319,0.21301205126277828,0.5487665643780952,0.0,0.2595689296722412,0.32037771352521277,0.5604984374035226,0.0,0.9999669194221497,0.26104823796899235,0.5588681715907488,0.0190486103895453,0.9999476075172424,0.3170890030049508,0.6185733632885787,0.0,0.797324538230896,0.26339832774964866,0.6181432718719374,0.021798024316576733,0.5348457098007202,0.31188299654525004,0.6824521571050453,0.13061484156962355,0.7398985028266907,0.27717881060980487,0.6784402801718208,0.23335282574027907,0.6596010327339172,0.3098576962947853,0.6879901885986346,0.16247116029262584,0.6,0.28314483165741045,0.6843599081039446,0.22379143536090912,0.6,0.3113916233564043,0.7064122025505386,0.0,0.7493128180503845,0.2599142200741186,0.6983730572086966,0.1126285787402614,0.6261916160583496,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,medium,low,high,high,high,medium,high,medium,medium,medium,high,medium
8,0.26666666666666666,0.29992588493096045,0.4404023595345337,0.0,0.9999522566795349,0.30566277891605964,0.435278273823657,0.0,0.9999156594276428,0.31006505522694705,0.4356623018260336,0.0,0.9999027848243713,0.3140747298449633,0.4360481802817003,0.0,0.9999344348907471,0.2937164760969743,0.4347007207937186,0.0,0.9999316334724426,0.28929220435224845,0.43466716240614006,0.0,0.9999310970306396,0.2846195513690831,0.4346422159866309,0.0,0.999941885471344,0.32015274225415136,0.4400872997331742,0.0,0.999894917011261,0.2765807210704393,0.43779605842414826,0.0,0.9995589256286621,0.3076064095491582,0.4473576777048056,0.0,0.9998758435249329,0.290813818817095,0.44652567994900355,0.0,0.9998488426208496,0.351530232907454,0.47697894910832506,0.0,0.9999822378158569,0.23872745492102723,0.47251863475446226,0.0,0.9998923540115356,0.3592178115755815,0.523611222808457,0.0,0.793294370174408,0.22527094567433442,0.5200622147057732,0.0,0.3059539198875427,0.3541713601503626,0.5530980273838102,0.0,0.712979257106781,0.21663231560678248,0.5476016584254103,0.0,0.24929951131343842,0.35512737398381095,0.5626183200827305,0.0,0.6934779286384583,0.21246229619274104,0.5550954703128714,0.0,0.2645917534828186,0.34960329602092666,0.5572132323727478,0.0,0.717060387134552,0.2135611334533408,0.5523640882996705,0.0,0.280856728553772,0.3468842011787406,0.5531377354701931,0.0,0.6373224854469299,0.21751903209375115,0.5490196302776307,0.0,0.24046069383621216,0.3201368726216838,0.5603954992094254,0.0,0.9999688267707825,0.2610600397581272,0.5589262574980601,0.01655660183679117,0.9999504685401917,0.3179680180577418,0.6190735926994927,0.0,0.805393397808075,0.2636527542745602,0.6185000071992424,0.014524250891003232,0.5511439442634583,0.31189934266752933,0.6826705390756799,0.12953828308201648,0.7577292919158936,0.2768561779619104,0.6790867064382665,0.22095225654143058,0.6841972470283508,0.3098576962947853,0.6879901885986346,0.16247116029262584,0.6,0.28314483165741045,0.6843599081039446,0.22379143536090912,0.6,0.31158819732132575,0.7064210776682519,0.0,0.7649266123771667,0.2590834176762683,0.6986095110575377,0.10036171399630059,0.650431752204895,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,medium,low,high,low,medium,low,high,high,high,medium,high,medium,medium,medium,high,medium
9,0.3,0.2996796926001577,0.4401660947810809,0.0,0.9999487400054932,0.30523839954174004,0.43514551878809216,0.0,0.9999092221260071,0.3095469649160389,0.4355070132475644,0.0,0.9998956322669983,0.3134933113357134,0.4358574364568815,0.0,0.9999296069145203,0.2934690470045271,0.43457203589397264,0.0,0.9999256134033203,0.2890633162640755,0.4345390003322177,0.0,0.9999244809150696,0.2843769827644871,0.4345111894162952,0.0,0.9999364614486694,0.3192221862730733,0.4398422123113168,0.0,0.9998881220817566,0.27618186644740944,0.4377365340163947,0.0,0.9995229840278625,0.3074287237959872,0.4470871784192433,0.0,0.9998666048049927,0.29060011935400876,0.4462009967762841,0.0,0.9998353719711304,0.3506331824478301,0.4769718121120714,0.0,0.9999814033508301,0.23856986548517198,0.4726538811669218,0.0,0.9998829960823059,0.3589009074342288,0.5238067259043817,0.0,0.7904638051986694,0.2252358567047792,0.520123540243626,0.0,0.2986810803413391,0.3535034812830554,0.5536738076965863,0.0,0.6951232552528381,0.22027409184368124,0.5476822555759863,0.0,0.2304566651582718,0.35479111729802043,0.5629518598943338,0.0,0.6752488017082214,0.21678469762518748,0.5552080409788044,0.0,0.24427509307861328,0.349857365056908,0.5577200726195664,0.0,0.699394166469574,0.21780725017988933,0.5524011989295636,0.0,0.25942614674568176,0.3470721147555025,0.5535306052450271,0.0,0.6185385584831238,0.2211840484803657,0.5490202354940238,0.0,0.22232402861118317,0.3200712886167859,0.560581815131618,0.0,0.9999701380729675,0.2610455333213991,0.5593423629418413,0.01317660085474837,0.9999525547027588,0.3177715128674104,0.6195698957065341,0.0,0.8115114569664001,0.264226039389631,0.618926650716432,0.012853879033260098,0.567170262336731,0.3118896775451304,0.6828372999504748,0.13747602353840754,0.7728927135467529,0.276495559232219,0.6795985704257512,0.21765524725536145,0.7059890627861023,0.3098576962947853,0.6879901885986346,0.16247116029262584,0.6,0.28314483165741045,0.6843599081039446,0.22379143536090912,0.6,0.31168370410834795,0.7063898217705876,0.0,0.7779229879379272,0.2584989200105207,0.6987798326498997,0.09655650277863041,0.6714773774147034,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,medium,low,medium,low,medium,low,medium,low,high,high,high,medium,high,high,medium,medium,high,medium
