frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.48311884211493555,0.3390189375910725,0.0,0.999997615814209,0.488192006007775,0.32820789964049013,0.0,0.9999915361404419,0.49321859324728723,0.3286308143939171,0.0,0.9999920129776001,0.4971325768457429,0.3289164371423787,0.0,0.999994158744812,0.47535550031628654,0.3273418133075421,0.0,0.999994158744812,0.4701012958596635,0.32726270731512497,0.0,0.9999951124191284,0.46611183506625525,0.3273666611501386,0.0,0.999995231628418,0.5024350014599885,0.33343784875803045,0.0,0.9999979734420776,0.4567110857346676,0.3332991258247749,0.0,0.9999876022338867,0.49064182234810805,0.3515681601487674,0.0,0.999998927116394,0.47361870662315736,0.35205911422942915,0.0,0.9999986886978149,0.5410977331074801,0.4006292903339947,0.0,0.9999988079071045,0.4166004074203385,0.40251270957760066,0.0,0.9999958276748657,0.6036422085928752,0.45035964667380296,0.0,0.9971253275871277,0.36394173011079545,0.46242258306983486,0.0,0.9976961016654968,0.5681093935366279,0.5135424435138702,0.0,0.9916234612464905,0.4056331158934775,0.5280386188647131,0.0,0.9889954328536987,0.5571592175043549,0.5271556719199761,0.0,0.9806032776832581,0.4241785505018034,0.5424078657076911,0.0,0.9792683124542236,0.5472652974662248,0.5187282358016169,0.0,0.981165885925293,0.4300608297328014,0.533350096299098,0.0,0.9793465733528137,0.5498036183677354,0.5145007284371169,0.0,0.9730149507522583,0.4263695490943802,0.5272212395301232,0.0,0.9674767851829529,0.5233889051250644,0.5538318769915123,0.0,0.999991774559021,0.4573901916717316,0.5666458835968605,0.022218710606123154,0.9999902248382568,0.5237283973427089,0.628814246687856,0.0,0.9998121857643127,0.4492979802034952,0.6945270458301468,0.03554783159723684,0.9966457486152649,0.5373068160110422,0.7150389406230903,0.0,0.9901983737945557,0.46583852672076753,0.7939979829988277,0.24503472619331837,0.9983356595039368,0.5384124063111687,0.7190041433681142,0.0,0.9376230835914612,0.47556016932834283,0.8116917393424298,0.2608371820378971,0.9753122329711914,0.5390589174690783,0.7750669430185871,0.0,0.9896484017372131,0.449018399615388,0.8312050062459666,0.13971453490895017,0.9958875775337219,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
1,0.03333333333333333,0.4840242402120072,0.32854358549718254,0.0,0.9999971389770508,0.4894635762784867,0.3175341251429978,0.0,0.9999901652336121,0.4941292463482678,0.3176711678921759,0.0,0.999990701675415,0.4987817667164171,0.3179777958593168,0.0,0.9999931454658508,0.47619282094748716,0.3175343329256231,0.0,0.9999932050704956,0.4710108012586206,0.31781118107842404,0.0,0.9999943971633911,0.4668609351961764,0.31834093423990095,0.0,0.999994695186615,0.5030804847503876,0.3224188458252619,0.0,0.9999974966049194,0.4582984574608037,0.3236691118120313,0.0,0.9999858140945435,0.4918069795711892,0.3406500216130611,0.0,0.9999986290931702,0.4760120354749106,0.3415604892310564,0.0,0.9999983906745911,0.5424650082221398,0.3907204839316282,0.0,0.9999985694885254,0.4180917212596307,0.3901855651732093,0.0,0.9999958276748657,0.6063249236220247,0.4413935292017211,0.0,0.9969516396522522,0.3616832015397666,0.44929529049179784,0.0,0.9976494908332825,0.5685442702753561,0.5043675084630926,0.0,0.9911866188049316,0.40470480939725073,0.5160712793573634,0.0,0.9893368482589722,0.5568210390897901,0.5175118896511051,0.0,0.9798580408096313,0.4235668042739789,0.5317352655884271,0.0,0.9798665642738342,0.5475813200423768,0.5085505947366461,0.0,0.9805042147636414,0.42941205755813966,0.5205578362191474,0.0,0.9799851179122925,0.5500113313848322,0.5040644361422612,0.0,0.9722309112548828,0.42555218226426134,0.5145469453784969,0.0,0.9684416055679321,0.524991493125062,0.5515654291306343,0.0,0.9999918937683105,0.45832896545216745,0.5622392409331316,0.01657984528195606,0.9999906420707703,0.529229830611836,0.6413477884305943,0.0,0.9997960329055786,0.4540847704543935,0.688026362782592,0.06341053092187973,0.9967820644378662,0.5390267180396128,0.732162819875704,0.10342123791888105,0.9898520708084106,0.4661945556844033,0.7958994232691251,0.2865402962152779,0.9984227418899536,0.5387982942841271,0.7362293321769555,0.13610897572724237,0.9363224506378174,0.47644153674999323,0.8107407384819085,0.30324181737182865,0.9759164452552795,0.5401842002268441,0.7913938994174241,0.024239293918326715,0.9892289042472839,0.44970617969552956,0.834597289979041,0.16140979235353622,0.9960806369781494,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
2,0.06666666666666667,0.48578720791634444,0.3213519379670248,0.0,0.999996542930603,0.49142089402759015,0.31024032643624944,0.0,0.9999886155128479,0.49605515481153023,0.3102017108932797,0.0,0.9999889135360718,0.5011491368422699,0.3104979784894378,0.0,0.9999918341636658,0.4779324057079975,0.3107515069154592,0.0,0.9999920725822449,0.47286809935714263,0.31121465515145613,0.0,0.9999935030937195,0.46855337636454136,0.31195083267483115,0.0,0.9999939799308777,0.5049497294814993,0.3150235452018417,0.0,0.9999966025352478,0.46061695024961646,0.3170257642830446,0.0,0.9999830722808838,0.49387456257860146,0.33312552840837517,0.0,0.999998152256012,0.47870978719982515,0.33426551677130334,0.0,0.9999978542327881,0.5446358706567672,0.3839897320264982,0.0,0.999998152256012,0.42149414993944145,0.3825740055604416,0.0,0.9999955296516418,0.6086750808573548,0.43605560474184574,0.0,0.9963480234146118,0.3644355894663395,0.44089476851038734,0.0,0.9973034858703613,0.5694067266993312,0.499088062550916,0.0,0.9905393719673157,0.4056548401192352,0.5079307625621629,0.0,0.9893580079078674,0.556751655948746,0.5120395659566758,0.0,0.9790045022964478,0.4242525598108075,0.524307837575188,0.0,0.9799805879592896,0.5481120624464432,0.5024738075572015,0.0,0.9797820448875427,0.4302174004363569,0.5121597662950175,0.0,0.9801973700523376,0.5506410373674405,0.49780860439047103,0.0,0.9709690809249878,0.4263969554211988,0.5062619907594782,0.0,0.968612015247345,0.5266467771885835,0.5507896898231863,0.0,0.9999914169311523,0.45970359646079134,0.5588349262317578,0.013283234332755432,0.9999903440475464,0.5339894644863957,0.6518612208066288,0.0,0.9996826648712158,0.45420714587598426,0.6820600763623256,0.04496869007190666,0.9966292381286621,0.5406420257263806,0.7470608605093612,0.23280077210534203,0.9897497892379761,0.4658377947924023,0.7934845334444292,0.28635650768980336,0.9984145760536194,0.5396446674575894,0.7520454745470506,0.26368118016731035,0.9342781901359558,0.4767049048747217,0.8057547638188431,0.30496391559362707,0.975027859210968,0.5409911793150827,0.8039003578655095,0.1373341261889001,0.9890432357788086,0.44989117771595505,0.8353746854341948,0.15297992779311087,0.9960901737213135,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
3,0.1,0.48817693370900256,0.3169616419118602,0.0,0.9999964833259583,0.4938731066066349,0.3058239578297643,0.0,0.999988853931427,0.49870687521698875,0.30569763822016455,0.0,0.9999890327453613,0.5040071362104173,0.30595878468248944,0.0,0.9999920129776001,0.4803312541026893,0.30656266379189656,0.0,0.9999921917915344,0.4754139462828915,0.30708034920108906,0.0,0.9999935030937195,0.47094466174260174,0.30785162705224706,0.0,0.9999940395355225,0.507716491644755,0.3106915284217377,0.0,0.9999964833259583,0.4634565165687553,0.31295012375274733,0.0,0.9999827742576599,0.4965872489836388,0.328479656806359,0.0,0.9999980330467224,0.48159452380139245,0.32971096146495765,0.0,0.9999976754188538,0.5473632967416502,0.37997724015118095,0.0,0.9999980926513672,0.4263181008728512,0.3788757585770602,0.0,0.999995231628418,0.6106778859119594,0.4337739973982454,0.0,0.996209979057312,0.37096680985603026,0.43642487673909525,0.0,0.996661901473999,0.5705703715761224,0.49705852630671926,0.0,0.9908154010772705,0.4080734298432068,0.5030018107179719,0.0,0.9894271492958069,0.5569030531358612,0.5100261402296852,0.0,0.9798086285591125,0.4259584636051896,0.5196281185933761,0.0,0.9802928566932678,0.5488037538556231,0.49983234540287974,0.0,0.9805838465690613,0.4321668765275351,0.5074494683242347,0.0,0.9806094169616699,0.5515800488022934,0.49505119032654166,0.0,0.971796989440918,0.42855106957586775,0.5016512331012245,0.0,0.9692280292510986,0.5283307091339486,0.5512153616735153,0.0,0.9999910593032837,0.46142099502481215,0.5563437974119521,0.012024869910052726,0.9999899864196777,0.5380521211035048,0.660480462865674,0.0,0.9993478655815125,0.45083419586117185,0.6766339898248377,0.0,0.9966431856155396,0.5421316053344931,0.7597183064842004,0.3023676740782806,0.9903022050857544,0.46506035960081876,0.7878373946760086,0.2552629996282174,0.9984129667282104,0.5408093533315859,0.766190144843433,0.3310182723618343,0.9347703456878662,0.47662685717736103,0.7978672304631392,0.27640630730312776,0.9748453497886658,0.5415288969214427,0.8130899337066085,0.19459098613970824,0.9895519018173218,0.44971236892235583,0.8340168955859605,0.1226129801357756,0.9961816668510437,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
4,0.13333333333333333,0.49096260607103676,0.3148903442429497,0.0,0.9999954104423523,0.49662936136717034,0.3037824736330614,0.0,0.9999868273735046,0.5017949641445578,0.30363414469576655,0.0,0.9999866485595703,0.5071282138079753,0.30384201408821937,0.0,0.9999905228614807,0.4831463656364345,0.30453713206978117,0.0,0.9999905228614807,0.4783890981635293,0.3050154828941906,0.0,0.9999918937683105,0.4737902945016093,0.3056985879694664,0.0,0.9999927282333374,0.5110545272315855,0.3088623770189175,0.0,0.999995231628418,0.46660710888586965,0.3110232307360722,0.0,0.9999778866767883,0.4996877163995952,0.3261973830786619,0.0,0.9999973177909851,0.4845488072831038,0.32743358792680705,0.0,0.9999967217445374,0.550400262807077,0.37822321383825286,0.0,0.9999979138374329,0.4320739814729401,0.3782885520608277,0.0,0.9999945163726807,0.6123185443989326,0.4339768312749886,0.0,0.9961495399475098,0.3800447786743547,0.4350894747914136,0.0,0.995638906955719,0.5719088136732994,0.49763332025988133,0.0,0.9911370873451233,0.4115508003529414,0.5006691660636513,0.0,0.989624559879303,0.5572272157057742,0.51075905186313,0.0,0.9807407855987549,0.4284071621500253,0.5171986455683943,0.0,0.9809056520462036,0.549602623447116,0.49996067941327743,0.0,0.9814994931221008,0.43495050399175617,0.5057205241043254,0.0,0.9813016057014465,0.552715678176124,0.495110151095268,0.0,0.972837507724762,0.43166172573894335,0.4999995298318929,0.0,0.9703639149665833,0.5300192407794767,0.5525531472859684,0.0,0.9999904036521912,0.46338807147143873,0.5546767123929273,0.012500744165379385,0.9999892711639404,0.54146262260028,0.6673314336574441,0.0,0.9989046454429626,0.4451350098028607,0.6717539064256187,0.0,0.9967463612556458,0.5434743231270975,0.7701204017603595,0.3251344543167489,0.9908613562583923,0.4641543656657073,0.7800420881151321,0.20403941104184284,0.9983874559402466,0.5421501794061461,0.7784009174311357,0.35137060726613,0.9354202747344971,0.476483977132744,0.7882115535247022,0.22797182310016606,0.9745565056800842,0.5418463952335726,0.8194662422844863,0.20865813074828934,0.9900348782539368,0.44930872856042325,0.8310036234088711,0.07849698828963186,0.9962382912635803,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
5,0.16666666666666666,0.49391341348350315,0.31465569187155495,0.0,0.9999924302101135,0.49949880566074706,0.30361332815566067,0.0,0.9999808669090271,0.5050299781741531,0.3034864251430226,0.0,0.9999794960021973,0.5102848186220614,0.30362946635637605,0.0,0.9999860525131226,0.48613473981410604,0.3042442402639597,0.0,0.9999865293502808,0.48153431112671913,0.3046272758976293,0.0,0.9999880194664001,0.4768457778128168,0.30514698602380813,0.0,0.9999898672103882,0.5146375922334236,0.3089756725273496,0.0,0.9999907612800598,0.46985867966861006,0.3108261257479527,0.0,0.999967634677887,0.5029186424397658,0.32576368349693396,0.0,0.9999954700469971,0.4874551996484516,0.32697016077163976,0.0,0.9999945163726807,0.553499745183337,0.3782678586202911,0.0,0.9999974966049194,0.4382721991527898,0.3800101138495075,0.0,0.9999935030937195,0.6135822619313698,0.4360922304761449,0.0,0.995904266834259,0.3904374118868298,0.4360924222808352,0.0,0.9936978220939636,0.5732956617584333,0.500166864939782,0.0,0.9910171031951904,0.41567717343221566,0.5003175708380626,0.0,0.9898426532745361,0.5576761287131247,0.5135257402500086,0.0,0.9809361100196838,0.4313213019382159,0.5165219554256462,0.0,0.9815360307693481,0.5504549003981225,0.5021932807279925,0.0,0.9817193150520325,0.4382583009891033,0.5062665154328171,0.0,0.9820133447647095,0.5539352379756666,0.4973034438414464,0.0,0.9726823568344116,0.43537612492110184,0.5005917383796421,0.0,0.9714831709861755,0.5316883239434885,0.5545137492648942,0.0,0.9999889135360718,0.4655117361278813,0.5537445290938972,0.014406849250266916,0.9999877214431763,0.5442657911138393,0.6725400522316549,0.0,0.9977718591690063,0.43827867709395607,0.6674256294201599,0.0,0.9967926144599915,0.5446490453673424,0.7782523902979784,0.3141136232997996,0.9911831021308899,0.4634119285431232,0.7711826949130703,0.14346538094200215,0.9980766177177429,0.5435249731813014,0.7884153666751945,0.33798853983551286,0.9331334233283997,0.4765528482157046,0.7779211481134395,0.17006329358457728,0.9721410274505615,0.5419927164391218,0.8235328989429096,0.19218381699218112,0.9902602434158325,0.4488192318758498,0.8268145718774618,0.028819991162780632,0.9959834814071655,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
6,0.2,0.4967918872555388,0.31567871605321884,0.0,0.9999884963035583,0.5022332785707544,0.30469257688466844,0.0,0.9999733567237854,0.5079780038975904,0.3045462259462671,0.0,0.9999706745147705,0.5131804080276235,0.3046361551834995,0.0,0.9999801516532898,0.48900038267904916,0.30525023148054364,0.0,0.9999812245368958,0.4845109042865704,0.305573108382437,0.0,0.9999829530715942,0.47979782900332424,0.3059245844682066,0.0,0.9999858736991882,0.517949651727033,0.3102676590561597,0.0,0.9999849796295166,0.47299178642826606,0.3119957357436635,0.0,0.9999547004699707,0.5058984780089296,0.3264408497821487,0.0,0.9999925494194031,0.4903346712772676,0.3277325374541036,0.0,0.9999908804893494,0.5562572545938573,0.37976304009244255,0.0,0.9999968409538269,0.44431567532477234,0.3831827424483987,0.0,0.9999913573265076,0.6144571061178815,0.44015123717712745,0.0,0.995728611946106,0.4003206187889581,0.43841477839541165,0.0,0.9894816875457764,0.5745036374161031,0.5044451362186392,0.0,0.9911837577819824,0.41978976436150495,0.5009446767938178,0.0,0.9896065592765808,0.5581305992631105,0.5179263342232707,0.0,0.9817008972167969,0.43425347484075216,0.5170331237477314,0.0,0.9817420244216919,0.5513134219429724,0.5063434672522391,0.0,0.9824740290641785,0.44163160564460513,0.5083647462037908,0.0,0.9823333024978638,0.5550729004375321,0.5013695731585411,0.0,0.9734477400779724,0.43918701665940657,0.5026232565477469,0.0,0.9720979928970337,0.5333987143767756,0.5569713588083278,0.0,0.9999872446060181,0.4677374957602631,0.5535207934035025,0.01763803909135453,0.9999856948852539,0.5465014568575627,0.6759455877862073,0.0,0.9966238737106323,0.4319834645255751,0.6636243052693809,0.0,0.9968402981758118,0.545604488927447,0.7843826961961957,0.2874896165791099,0.9913855195045471,0.4632782010765355,0.7628483765330923,0.09645439269312081,0.9975110292434692,0.5445786208817467,0.7961691206707564,0.30902452475124387,0.9307237863540649,0.47734247095935123,0.7686031159265356,0.12496587855519979,0.9692956209182739,0.542077650418094,0.8265355661476708,0.1627866046238339,0.9902947545051575,0.44818231782991136,0.8219485442677321,0.0,0.9954671859741211,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
7,0.23333333333333334,0.49920948624333156,0.3181863621676171,0.0,0.999984860420227,0.5046761243632358,0.30729645483699514,0.0,0.9999663233757019,0.5103954661698344,0.3072159643912379,0.0,0.9999626278877258,0.515534573362703,0.3071891520267886,0.0,0.9999748468399048,0.4914618948678605,0.30765645459537544,0.0,0.9999760389328003,0.4870229539198766,0.30790316454180555,0.0,0.9999778866767883,0.482390799305657,0.3081583807240563,0.0,0.999981701374054,0.5208677603648273,0.31310194300049193,0.0,0.9999786019325256,0.475646429753805,0.3146586398005772,0.0,0.9999386072158813,0.5083948885783185,0.32858407580769233,0.0,0.9999896287918091,0.49265229715889836,0.33011133096990697,0.0,0.999987006187439,0.5584848563432152,0.38259923902702875,0.0,0.9999961853027344,0.44978949330347806,0.3874367690169738,0.0,0.9999878406524658,0.6145811356030993,0.44494303866422097,0.0,0.9956529140472412,0.40890753887472286,0.44167856708829056,0.0014389070035294989,0.9850025177001953,0.5754021686829625,0.5093509467331693,0.0,0.9915768504142761,0.42387600767584777,0.5029362008705018,0.0,0.9891567826271057,0.5586279652891195,0.5230666800534545,0.0,0.9827699065208435,0.4371235858310364,0.5185104932262639,0.0,0.9816399812698364,0.5520501692534063,0.5112116175653787,0.0,0.9835208654403687,0.44495322355579503,0.5114007476882236,0.0,0.9823747873306274,0.5559921778721146,0.506153475085062,0.0,0.9747881293296814,0.44296324016886823,0.5056028040972637,0.0,0.9723567366600037,0.5348189275859411,0.5596724292892968,0.0,0.9999849796295166,0.4698205886881959,0.5542490347559927,0.021791695641019463,0.9999822974205017,0.5483442939522676,0.678379958048291,0.0,0.9949990510940552,0.4264545257274932,0.6604438457455686,0.0,0.9966619610786438,0.5462462728395898,0.7871873277328529,0.25640270888527583,0.9912723302841187,0.4639704541448681,0.7558933750732815,0.05510746674625204,0.9962997436523438,0.5452899182593086,0.7999288291086427,0.2772973645261403,0.9250222444534302,0.47900188003942534,0.7612212205822393,0.08400623571553174,0.963276743888855,0.5419818925690831,0.8271801977446608,0.13372676734463074,0.9899292588233948,0.44812057547636086,0.8168912975938192,0.0,0.9942324161529541,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
8,0.26666666666666666,0.5009763414487429,0.32039746614325104,0.0,0.9999807476997375,0.5066010517118151,0.3095367784961406,0.0,0.999958336353302,0.5120854343011954,0.309494631273764,0.0,0.9999537467956543,0.5172335895902919,0.30940997044801233,0.0,0.9999688267707825,0.4933042231000677,0.30976407011072205,0.0,0.9999699592590332,0.48890875450103277,0.30997618338167054,0.0,0.9999719858169556,0.4844477722000144,0.3101797270608123,0.0,0.9999768137931824,0.5230641640149644,0.3154444751483863,0.0,0.9999712109565735,0.47773710379511725,0.3168554450526391,0.0,0.9999189972877502,0.5102926043224792,0.33047040234078984,0.0,0.999985933303833,0.49453181215933284,0.3321727266956329,0.0,0.9999820590019226,0.56019163812513,0.38489554388262,0.0,0.9999954104423523,0.4540002411339956,0.3907585000936256,0.0,0.9999828338623047,0.6144873096948475,0.44821309133287474,0.0,0.9954984188079834,0.41496548209435014,0.4445087565130854,0.015819103034790696,0.9787333607673645,0.5761154881724126,0.5128584242228319,0.0,0.9918312430381775,0.42727820286939866,0.5045367472377426,0.0,0.9881574511528015,0.559159887420549,0.5266139355850677,0.0,0.9836354851722717,0.43954258254080225,0.5196238931242416,0.0,0.9809643030166626,0.5526898182355455,0.5146545749722119,0.0,0.9843724370002747,0.4477177553382521,0.5138656344169239,0.0,0.9819011092185974,0.5567201260642308,0.5096316254222323,0.0,0.9758031368255615,0.44611089129548087,0.5079992002262671,0.0,0.9719365239143372,0.5362718153944674,0.5612541337113295,0.0,0.9999823570251465,0.4718173435934786,0.5548783779700056,0.0257595289403048,0.999978244304657,0.5496596878780922,0.6792084634443003,0.0,0.9928022623062134,0.4234254684620537,0.6571934448255543,0.0,0.996127724647522,0.5467030807530701,0.7879731995520356,0.21652182898460348,0.9906702637672424,0.4658459627822853,0.7505309276091767,0.011944286021597193,0.9939882159233093,0.5457627927506734,0.801238315922399,0.2366422908011578,0.9164789319038391,0.48158936977108724,0.7562996576993913,0.04106576467206437,0.9544129371643066,0.5418847344972051,0.8268650229716379,0.09302085846454136,0.9889209270477295,0.44843111525882495,0.8117849828202152,0.0,0.991892397403717,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
9,0.3,0.5020897278002106,0.3211741870516672,0.0,0.9999796748161316,0.5078961675539452,0.31039374288701316,0.0,0.9999567270278931,0.5130599412051128,0.3103951975043289,0.0,0.9999518990516663,0.5182016093136284,0.3103424214121909,0.0,0.9999673962593079,0.49435284615674624,0.31054456875874525,0.0,0.9999687075614929,0.4900161485710912,0.3107712040970106,0.0,0.9999707937240601,0.48576872860079456,0.3109327403954423,0.0,0.9999757409095764,0.5243386051037943,0.31636812310396734,0.0,0.9999694228172302,0.47917800905543456,0.31752938726843183,0.0,0.9999147653579712,0.5114784667264067,0.33119805341278286,0.0,0.9999846816062927,0.49576197602810135,0.3328446337393123,0.0,0.9999803304672241,0.561284869423003,0.38547817560342745,0.0,0.9999949336051941,0.45646411173549406,0.3917302928326579,0.0,0.9999797940254211,0.614372220211653,0.44930419047951536,0.0,0.9953780770301819,0.4178936986517528,0.4457690543505985,0.02228135511708954,0.9730522036552429,0.5765521827833373,0.51404637535969,0.0,0.9919586181640625,0.42997778177539336,0.5051615958586175,0.0,0.9872947335243225,0.5596672054770958,0.5277262156382043,0.0,0.9842637181282043,0.44172615847943386,0.5201344481714969,0.0,0.9804719090461731,0.5531163422655685,0.5158102877768062,0.0,0.984993577003479,0.45009140576516116,0.5150485237439487,0.0,0.9815662503242493,0.557138660154144,0.5108526783945413,0.0,0.9764508605003357,0.44866716083669,0.5091471944377708,0.0,0.971683144569397,0.5374948242049687,0.5611579006924232,0.0,0.9999803304672241,0.47348801565892895,0.5547153164734666,0.02897228081743208,0.9999754428863525,0.5504892418434585,0.6793025929333187,0.0,0.9913643002510071,0.4244408745726794,0.6547806790936539,0.0,0.995708167552948,0.547308274082372,0.788018238572254,0.20952744170641344,0.99045729637146,0.46878548303406403,0.7472205979007127,0.024714906411223807,0.9923516511917114,0.5464148240767451,0.8013313848933439,0.22886518817959467,0.9122636914253235,0.4852744173475647,0.7537998944729378,0.053516542560709784,0.9492926597595215,0.5416869943514308,0.827103457667613,0.08453785879906539,0.9884905219078064,0.4492712060471527,0.8081215376898425,0.0,0.9903801679611206,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
