frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.5310586434561058,0.35758544660948366,0.0,0.9999946355819702,0.5403805304240515,0.35314177862414087,0.0,0.9999772310256958,0.5466258940580009,0.3535745391895721,0.0,0.9999778270721436,0.5539270820734384,0.3538883982838452,0.0,0.9999799728393555,0.5204765438199879,0.3534245939104709,0.0,0.9999886751174927,0.5142989110696569,0.3541808082507208,0.0,0.9999908208847046,0.5083895955052412,0.35491958948282104,0.0,0.9999910593032837,0.5587467567904015,0.36154867489854786,0.024362137971016107,0.9999840259552002,0.49894228473409935,0.36379089513858714,0.050342640635993835,0.9999823570251465,0.5450419812769326,0.3678330472716085,0.0,0.9999858140945435,0.5199828687664513,0.3688475110314111,0.0,0.999984622001648,0.6211214273959609,0.4162994629436441,0.02910105368265739,0.9999903440475464,0.44540545240148804,0.42122439779601745,0.1351108233203421,0.9999806880950928,0.7251501404322114,0.4451156348198445,0.0,0.9909889101982117,0.35004968597338754,0.4614405986312388,0.09671990021125426,0.9876548647880554,0.856501987347236,0.4486206028011296,0.0,0.9919428825378418,0.23375816684919645,0.48489824750206745,0.0,0.9964847564697266,0.8932386203245688,0.4591991832623115,0.0,0.9839802980422974,0.2015253860842098,0.4973821489960999,0.0,0.992664098739624,0.8970198531250851,0.4557709345867585,0.0,0.9874563813209534,0.19914734019682953,0.4967903630300002,0.0,0.9937134385108948,0.8829459635527819,0.4529333043765357,0.0,0.9878295660018921,0.209656183536236,0.4933323528799978,0.0,0.9939340949058533,0.594023512376772,0.5548762929189457,0.0,0.999982476234436,0.4907870023817452,0.5581204082582383,0.0538797710690049,0.9999775886535645,0.5771263012519248,0.6784679464526948,0.0,0.9767033457756042,0.4907893821909713,0.6806805842406267,0.0,0.924171507358551,0.585425868734613,0.7919477832900897,0.0,0.9727674722671509,0.5131372409267025,0.7786085584780553,0.15849357364956496,0.92523193359375,0.5909115209446091,0.8059090084129282,0.0,0.8016017079353333,0.5322378934263351,0.7920301639950358,0.16908935940388103,0.7659170031547546,0.5585002103051939,0.8311562383925165,0.0,0.9733643531799316,0.46785935759544384,0.8168157439131835,0.028328129715592103,0.9370777010917664,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
1,0.03333333333333333,0.5326751045413786,0.3578868212399783,0.0,0.9999948740005493,0.5399713916378424,0.35311038385738014,0.0,0.9999783635139465,0.5461313570296017,0.353590531157447,0.0,0.9999789595603943,0.5525152576970054,0.35399926688287653,0.0,0.9999809265136719,0.5230084184583252,0.35325719718332904,0.0,0.9999892115592957,0.5174050314443098,0.35399634667209817,0.0,0.9999912977218628,0.5117013781637582,0.3547285015766439,0.0,0.9999914765357971,0.5589220876043495,0.3609297548557496,0.03586730928896192,0.9999848008155823,0.5014839672542121,0.36297574576798025,0.05545025176883159,0.9999831914901733,0.5448103782597122,0.36899019017086165,0.0,0.9999862909317017,0.5237457087406746,0.36967296825422286,0.0,0.9999851584434509,0.6182603352553363,0.41646746863852024,0.04028019905611352,0.9999904632568359,0.44670660283182057,0.42006906262644533,0.13440845198147783,0.9999805688858032,0.7228789679653996,0.4444087770852177,0.0,0.9909749627113342,0.3442140119475919,0.46016097881577256,0.08907618704805535,0.9875121712684631,0.857515701880822,0.44855262974759086,0.0,0.9916430115699768,0.22179293809653994,0.48138900570102544,0.0,0.9962581396102905,0.8953977135511548,0.45895987478169525,0.0,0.9834837913513184,0.18968409185226154,0.49483073883123346,0.0,0.9922086596488953,0.8991992169326835,0.45628677444024524,0.0,0.987052857875824,0.18736719418238929,0.4940803876289956,0.0,0.9933124780654907,0.884615403788907,0.4536028839908282,0.0,0.9874910116195679,0.1983855917945608,0.49016200183154807,0.0,0.9935836791992188,0.5861865223704518,0.5541167150844228,0.0,0.9999821782112122,0.48599000764893513,0.5567819121834283,0.050776224075393325,0.9999769330024719,0.5712682767347853,0.6764990795742385,0.0,0.9776841402053833,0.4914982333466725,0.679278803872062,0.0,0.9218646287918091,0.5795538246214805,0.7950208599750814,0.0,0.9742304682731628,0.5163178621055363,0.7814102968969544,0.12238565225062979,0.9237788319587708,0.5812692792265569,0.8096596244331845,0.0,0.809228241443634,0.5352235153004841,0.7946219523469884,0.1288316548717293,0.7661859393119812,0.5569123721622921,0.8341471461149363,0.0,0.9746481776237488,0.4711136126018072,0.8203614137389442,0.0,0.9360941648483276,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
2,0.06666666666666667,0.5319190982616311,0.3578434907473051,0.0,0.9999950528144836,0.5381713042726052,0.35279991785129466,0.0,0.9999793171882629,0.5441746740213367,0.3533626365494896,0.0,0.9999799132347107,0.5500080228407623,0.35387809765644573,0.0,0.9999817609786987,0.5232221869044095,0.35276544969398665,0.0,0.9999896287918091,0.5180505536375072,0.3534712996377256,0.0,0.9999915957450867,0.5126132475329448,0.35415884678736176,0.0,0.999991774559021,0.5580691297154328,0.36040017863253615,0.04825505200938467,0.99998539686203,0.5025030333540104,0.3619767041889939,0.06393984210023995,0.999983549118042,0.542714024062479,0.36954887965064503,0.0,0.9999865293502808,0.5241676812127477,0.36985812292788145,0.0,0.9999853372573853,0.6156471040976911,0.4168134773527827,0.053757571252735906,0.9999904632568359,0.4463666508664619,0.41869289724976877,0.13435684033346068,0.9999800324440002,0.7200509759929632,0.44370466783330176,0.0,0.9912704825401306,0.33968948199476684,0.45782315515693833,0.07417054442007164,0.9878533482551575,0.8563587607203668,0.4469393049920356,0.0,0.991991400718689,0.21278068836613406,0.47550702977291665,0.0,0.9961856603622437,0.8953105928180937,0.4573488259787882,0.0,0.9841456413269043,0.17981869426918484,0.4894457708149803,0.0,0.9919905662536621,0.8993519830814887,0.45519004466928253,0.0,0.9875802397727966,0.17767567644308224,0.48850082767593295,0.0,0.9931294918060303,0.8842752976017403,0.4524111519187761,0.0,0.9879956841468811,0.18955080047909753,0.4844561011502235,0.0,0.9934381246566772,0.57909048395557,0.5538173153961734,0.0,0.9999819993972778,0.4798617997925323,0.5561644094529409,0.04529170419517174,0.9999764561653137,0.5654807400592277,0.6750861157626262,0.0,0.9785423874855042,0.4905803891328666,0.6788162141691001,0.0,0.9240092635154724,0.5701285952176801,0.7983346386945055,0.0,0.9757558703422546,0.5176243857070282,0.7844004707458692,0.09481382420523161,0.9264498949050903,0.5680896060450097,0.8135636384948435,0.0,0.8169134855270386,0.5356821104502067,0.7972651211531845,0.09901595384637996,0.7705143094062805,0.5557787286373841,0.8373486307951122,0.0,0.9760224223136902,0.4738531262029858,0.8234182122426156,0.0,0.937987208366394,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
3,0.1,0.5286780441557613,0.3575608104397923,0.0,0.9999949932098389,0.5346816642717883,0.3523065577367525,0.0,0.9999790787696838,0.5404905268362357,0.35296767891009106,0.0,0.9999796748161316,0.5460707741878529,0.35358722122399133,0.0,0.9999817609786987,0.5209723178184396,0.35207197174325694,0.0,0.99998939037323,0.5161112941506308,0.35273294657955084,0.0,0.9999912977218628,0.5109723503495155,0.35334968216074675,0.0,0.9999914765357971,0.5557359403524644,0.3599497840885238,0.05936587234147083,0.9999851584434509,0.5016317705521776,0.36089441722089616,0.07378614124231955,0.999982476234436,0.5385521371742507,0.36964130693382313,0.0,0.9999859929084778,0.5213476364915468,0.36956985558802163,0.0,0.9999845027923584,0.6132177611886763,0.4171511836541006,0.06735851963447942,0.9999902248382568,0.4441349723469684,0.41719577282597703,0.13410698081473094,0.99997878074646,0.7171389884326288,0.44301108838794967,0.0,0.990824818611145,0.3358906896520051,0.4547590007245682,0.05330418264232845,0.9873665571212769,0.8538782864044878,0.44422447136093135,0.0,0.9918459057807922,0.20620928039570227,0.4679143753224045,0.0,0.9957946538925171,0.893771703009839,0.45464840378516763,0.0,0.983975350856781,0.17170681132303262,0.48190255049781106,0.0,0.9912480711936951,0.898205197774447,0.4527550175056592,0.0,0.9874588847160339,0.16979829182019052,0.4806896740253713,0.0,0.9924933314323425,0.8826670044368802,0.44975979306620073,0.0,0.9879007935523987,0.18274698053901292,0.4767878028132141,0.0,0.992859423160553,0.5729618829030256,0.5539267805072813,0.0,0.9999815225601196,0.47296322847440825,0.5561748051837887,0.03821191125460377,0.9999751448631287,0.5600590928867978,0.6743256066228961,0.0,0.9767143130302429,0.4882841755599132,0.6791878341239097,0.0,0.9132888317108154,0.5585662345369378,0.8017499638604119,0.0,0.974786639213562,0.5169649497195558,0.78761470470673,0.07315021277500836,0.91450434923172,0.5529832034122142,0.8174659798056381,0.0,0.81200110912323,0.5336781751998377,0.8001155709470067,0.07647181047443596,0.748320460319519,0.554757159073036,0.8406276043617367,0.0,0.9747841358184814,0.47572866158607696,0.8262427254712389,0.0,0.9264787435531616,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
4,0.13333333333333333,0.5228393617626672,0.35714413562576813,0.0,0.9999950528144836,0.5292038675788401,0.35172648064462186,0.0,0.9999794363975525,0.5348135972773284,0.35248248178364255,0.0,0.9999799728393555,0.5403689084214209,0.3531889682049519,0.0,0.9999822378158569,0.5161132798606146,0.35129938363195307,0.0,0.9999894499778748,0.5114630694850625,0.3519085669295216,0.0,0.999991238117218,0.5066258333501841,0.35244006474257095,0.0,0.9999913573265076,0.5514705767442576,0.35956840908332866,0.06704027649440686,0.9999855160713196,0.4985024663673974,0.359829531682955,0.08296387880717099,0.999981701374054,0.532123936084045,0.36939966324326035,0.0,0.9999861717224121,0.515384424885948,0.3689750467702782,0.0,0.9999843239784241,0.6109083337939428,0.41729428211014324,0.07890839356329891,0.9999902844429016,0.43976094311489655,0.4156775605150593,0.13280986586372892,0.999978244304657,0.7146158292021232,0.4423358200730146,0.0,0.9908804297447205,0.3322322284563995,0.4513003885884943,0.027778312029851163,0.9868025183677673,0.8509214014718032,0.4408519716807457,0.0,0.991856575012207,0.20156657692296795,0.45927309795415244,0.0,0.9954269528388977,0.8915754890108444,0.45114097513241097,0.0,0.9840471148490906,0.1651260610018578,0.4728763834301966,0.0,0.9906849265098572,0.8964859072145049,0.4492559651811642,0.0,0.9875097274780273,0.1634605451549962,0.47128491753186963,0.0,0.992007315158844,0.8805318837399254,0.4460504923389234,0.0,0.987967312335968,0.17756930292347375,0.46773025879770985,0.0,0.9923543930053711,0.5680272049837178,0.5543937970708303,0.0,0.9999804496765137,0.46585514335643463,0.5567200044929844,0.030322545079952995,0.9999725818634033,0.5552987368790417,0.6743141037600859,0.0,0.9755226373672485,0.4848579186381717,0.6802886827286588,0.0,0.9040614366531372,0.5462827965929791,0.8051276798848507,0.0,0.9716042876243591,0.514247692131496,0.7910886234614678,0.05476694122159799,0.8952779769897461,0.5375607733404167,0.8212115775733012,0.0,0.8090545535087585,0.5292762058737118,0.8033292022618379,0.058028778902500217,0.7221943140029907,0.5535055428118139,0.8438509787435023,0.0,0.971780002117157,0.4763909819381778,0.8290915394718554,0.0,0.9073930382728577,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
5,0.16666666666666666,0.5142904706212482,0.3566988216135617,0.0,0.9999949932098389,0.5214393101372099,0.35115586370577156,0.0,0.9999797344207764,0.5268785671476454,0.3519838687145358,0.0,0.999980092048645,0.5325678222246117,0.35274566921876677,0.0,0.9999826550483704,0.5084995416911345,0.350570305660889,0.0,0.99998939037323,0.5039816961421847,0.35112544011958646,0.0,0.9999909996986389,0.4994208432716658,0.3515690515786072,0.0,0.9999911189079285,0.5448210961196265,0.35924589147656766,0.06911877067737943,0.9999856948852539,0.4927474083183542,0.3588826943944393,0.08944778440689521,0.9999801516532898,0.5232286392808807,0.3689561398018222,0.0,0.9999859929084778,0.5063768967048284,0.36824057701028684,0.0,0.9999836683273315,0.6086548491791428,0.4170564672885808,0.08623254240114951,0.9999901652336121,0.43299393901180394,0.41423813147700583,0.1296164879188952,0.9999772310256958,0.7129543222191748,0.4416866442123505,0.011978085662969934,0.990729033946991,0.3281286919450435,0.4477791918185497,0.0,0.9863618612289429,0.8483352284609321,0.4372656487779473,0.0,0.991807758808136,0.1983404406856551,0.4502452532728247,0.0,0.9951341152191162,0.8895163957055656,0.44710890695209665,0.0,0.9840352535247803,0.15985406129371355,0.4630425751626087,0.0,0.9902482032775879,0.894921157604611,0.4449671599275872,0.0,0.9874807596206665,0.15838794128878175,0.4609245490499877,0.0,0.9916240572929382,0.8786112949564764,0.44168493464276626,0.0,0.9879350066184998,0.17361293858164717,0.4578566210809022,0.0,0.9919268488883972,0.5645129359685472,0.5551670517399053,0.0,0.9999790191650391,0.4590983941004838,0.557706912497542,0.022409305497482997,0.9999692440032959,0.5514950736975073,0.675148158779235,0.0,0.9727658629417419,0.4805499443780027,0.6820137789755174,0.0,0.8902749419212341,0.5346943353995313,0.8083286311798739,0.0,0.9663682579994202,0.5093807509312276,0.7948578516920151,0.03703613280663863,0.8708193898200989,0.5234330178418651,0.8246453610055675,0.0,0.8043485879898071,0.5225406987961647,0.807061915631063,0.040516413277175846,0.6944743990898132,0.551681759196285,0.8468856658691037,0.0,0.9672535061836243,0.4754908504463867,0.8322212402915088,0.0,0.8837242126464844,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
6,0.2,0.5005847267754442,0.3565650716389263,0.0,0.9999949932098389,0.5083185356535848,0.3508157525168164,0.0,0.9999803304672241,0.5137121367565693,0.3516167215395094,0.0,0.9999805092811584,0.5195644815346036,0.35233187682423095,0.0,0.9999832510948181,0.49549891718062067,0.3501852884853923,0.0,0.9999895095825195,0.4910677608215461,0.35067625652937995,0.0,0.9999908804893494,0.4866667075173851,0.3510319076495858,0.0,0.9999909996986389,0.5321794796240094,0.3589326947719077,0.056345614554721035,0.9999861121177673,0.48101834643693087,0.3582670260003684,0.08508950384987199,0.9999790787696838,0.5090365097239314,0.3686125616093625,0.0,0.999985933303833,0.49239005902152644,0.3677705265842127,0.0,0.9999830722808838,0.6058923953618774,0.4156573202921249,0.08153290579004327,0.9999897480010986,0.4211028018892517,0.4131044724604478,0.1188618895751894,0.9999755620956421,0.7139627748713924,0.44106393288343493,0.014075130897211624,0.9905996322631836,0.3207450428486991,0.44469467263955453,0.0,0.9861297607421875,0.8489412104055343,0.43424487051430394,0.0,0.9921032786369324,0.1949909072378026,0.4415556456381358,0.0,0.9950811266899109,0.890306573508783,0.4430374521892399,0.0,0.9847388863563538,0.15409814439592423,0.4538144663775173,0.0,0.9903832674026489,0.8960959373654209,0.44004922327184015,0.0,0.9880293011665344,0.1523625976764243,0.4504121456529723,0.0,0.9917272925376892,0.8793770723687486,0.43713485069208324,0.0,0.9884544610977173,0.16878425095464844,0.4474418129954316,0.0,0.991986870765686,0.5625104273393731,0.5563526268883477,0.0,0.9999773502349854,0.45368289489012614,0.5591791975192549,0.015081796402194182,0.999965488910675,0.5490543356030708,0.6775310254875058,0.0,0.9721572995185852,0.4748602000288765,0.6845976208751314,0.0,0.8862553238868713,0.5267111757696383,0.8107140579701602,0.0,0.9643791913986206,0.499972137815748,0.7993022470207503,0.00418666689434157,0.8585081696510315,0.5139157207973645,0.8271489361505152,0.0,0.8069305419921875,0.5110774832172007,0.8121402701297862,0.006523739000552271,0.683057963848114,0.5460760491989167,0.8492397529817706,0.0,0.9659897089004517,0.4706441508584379,0.8365525075327844,0.0,0.8728886246681213,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
7,0.23333333333333334,0.4635520962985258,0.35092486034740195,0.0,0.999994695186615,0.47331091261410335,0.34539942898394715,0.0,0.9999799728393555,0.47905278185030925,0.34614661328998286,0.0,0.9999799728393555,0.4854107197625944,0.34675315599063705,0.0,0.9999831318855286,0.46013030847469527,0.34506393694655413,0.0,0.9999890923500061,0.45595160828325976,0.3456995428858946,0.0,0.9999904036521912,0.4518730877301644,0.34621305294803895,0.0,0.9999905228614807,0.5006462979566814,0.3543218080397262,0.028782528223760834,0.9999858140945435,0.45031376672791545,0.35455732398377804,0.08554318531401184,0.9999765753746033,0.47381990286576015,0.3632044951954653,0.0,0.9999851584434509,0.4565663417597207,0.3626756875803986,0.0,0.9999816417694092,0.5950453605129462,0.4108111793066805,0.06264631937329602,0.9999891519546509,0.39557183580798805,0.41110854333653146,0.11195008225721666,0.9999731183052063,0.7087867679573736,0.4380328462813018,0.00012134698530038342,0.9897792339324951,0.3000479735138819,0.44002259006867156,0.0,0.9843656420707703,0.8489094691954593,0.42813810365739235,0.0,0.9922271370887756,0.16554283998507208,0.4291808185599634,0.0,0.9947131276130676,0.8909341452560804,0.4343305938032691,0.0,0.9852166175842285,0.11978901432944375,0.43808314079171407,0.0,0.9901444911956787,0.8976490536491932,0.43066839036686,0.0,0.9884117245674133,0.11698337979527927,0.434193687074947,0.0,0.9915168881416321,0.8807557215501679,0.4290087014645141,0.0,0.9887701869010925,0.1351597255273858,0.4325994629682094,0.0,0.9916949272155762,0.5569387054665675,0.5560152109686326,0.0,0.9999760985374451,0.4413203691547023,0.5598835551933268,0.010951719246804742,0.9999628067016602,0.5380663491073481,0.678314494086314,0.0,0.9658610224723816,0.46290127373797757,0.6875812636388783,0.0,0.8688262104988098,0.5096965858708464,0.8111399275995379,0.0,0.958532989025116,0.4839835351024765,0.8078351508487376,0.0,0.8387891054153442,0.4958354565369235,0.8276503334790143,0.0,0.7957369089126587,0.49309894588443914,0.8221841487851198,0.0,0.6612176299095154,0.5304950436789965,0.8499971037700205,0.0,0.9609783291816711,0.46307107215716964,0.8484150187952557,0.0,0.8539952635765076,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
8,0.26666666666666666,0.4544755651817467,0.3512683335717751,0.0,0.9999812841415405,0.46497444700805857,0.3459320682467846,0.0,0.9999127984046936,0.47055761241690663,0.3466907654192073,0.0,0.9999217391014099,0.47678305712335445,0.3473139046789059,0.0,0.9999275207519531,0.451507982257364,0.3452627573396785,0.0,0.9999515414237976,0.4472173114061923,0.34567959561492545,0.0,0.9999658465385437,0.443031016554867,0.34598378854476025,0.0,0.9999629259109497,0.4888273700550732,0.3545096946624062,0.0050028579999933775,0.9999539852142334,0.43943793908421647,0.3535694481331717,0.06751295848367515,0.999925971031189,0.4623843942766713,0.3631904019620322,0.0,0.9999417662620544,0.4451797153705217,0.3622138196632866,0.0,0.9999244213104248,0.5905397063368699,0.4081168350500949,0.04761882680783057,0.9999836087226868,0.3760993285473697,0.4080600923313694,0.09399544650858124,0.9999675750732422,0.7100171899739975,0.43778700998057407,0.0,0.9879512786865234,0.28416458842081976,0.43635241412894266,0.0,0.9801730513572693,0.8450621588802582,0.4287697601985276,0.0,0.9914354085922241,0.16553800311677702,0.4244253335993896,0.0,0.9947746992111206,0.8866428867642442,0.43233970412007694,0.0,0.9847199320793152,0.12283231505564073,0.4313491932300988,0.0,0.9905775785446167,0.8922133743068301,0.42758179266691876,0.0,0.9881492257118225,0.12137995660305051,0.42654515271420357,0.0,0.9919158220291138,0.8758663347551062,0.42691502746168664,0.0,0.988568127155304,0.13819251586368347,0.4255336234063824,0.0,0.9920777082443237,0.5549141004646867,0.5566775589000388,0.0,0.9999436140060425,0.43386710475097007,0.5601671975809392,0.007583972667984353,0.9999306797981262,0.5413833296660235,0.6825631813847397,0.0,0.9018568396568298,0.4550723562012753,0.6891891711797488,0.0,0.8247429132461548,0.5130660532515657,0.8133449619744507,0.0,0.9121782183647156,0.4682387741573497,0.8086621704357231,0.0,0.7994291186332703,0.4999603963954201,0.8293703837550347,0.0,0.748219907283783,0.4835398059794342,0.8275144380641809,0.0,0.621257483959198,0.5286947790281492,0.8521106462656501,0.0,0.9302068948745728,0.44703043354697,0.8470969715596379,0.0,0.8218818306922913,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
9,0.3,0.4666579610956867,0.3585789796216792,0.0,0.9999792575836182,0.47698646512898657,0.3529854706534148,0.0,0.9999019503593445,0.48234656494814326,0.35358626421515016,0.0,0.9999122619628906,0.48828916630267116,0.3541024625996063,0.0,0.9999188780784607,0.46318779903136337,0.3522255385950182,0.0,0.9999448657035828,0.45871307841547837,0.35245004435241456,0.0,0.999961256980896,0.4542668231856307,0.3525715439747551,0.0,0.9999573230743408,0.4968086474842138,0.3599812123047454,0.0,0.9999484419822693,0.44822362725273557,0.3586157324152958,0.04383249766473389,0.9999122023582458,0.47254620148585513,0.3695010761697819,0.0,0.9999317526817322,0.4557079729083547,0.3684512740804331,0.0,0.9999091029167175,0.6007085735703419,0.40915664023174936,0.03777634058937891,0.9999825954437256,0.3801775172457005,0.4096954955365563,0.08246351156757172,0.9999639391899109,0.7239543205096746,0.4403534429473489,0.0,0.9868926405906677,0.2932231744408337,0.44094148375493497,0.0,0.9733923673629761,0.8517416001477742,0.4332255723176314,0.0,0.9912327527999878,0.1939168913867373,0.4335470355196166,0.0,0.9945135712623596,0.8912739238261089,0.43448884524665626,0.0,0.9848807454109192,0.1565647366997249,0.4396724459869334,0.0,0.9906924962997437,0.8962668783459097,0.4286694284224577,0.0,0.9883479475975037,0.15641491809786098,0.43359754830251596,0.0,0.9920297861099243,0.8799947548857403,0.4289166782841549,0.0,0.9887622594833374,0.1710843667908986,0.4324904964381454,0.0,0.9921780228614807,0.5688625051702945,0.5596525666319143,0.0,0.9999232292175293,0.44767434092668507,0.5627120374799623,0.007867879681462887,0.9999077320098877,0.5575476718115655,0.6892551137850853,0.0,0.8513575792312622,0.4586871678317911,0.6908853063772349,0.0,0.7921741008758545,0.5324322411786162,0.8177920340935967,0.0,0.8682742118835449,0.46709271320652135,0.8096406034656359,0.0,0.7743654251098633,0.5218988352722235,0.8328036549208069,0.0,0.7022207975387573,0.48152872975103556,0.8280746234107849,0.0,0.5897364020347595,0.5403958747992719,0.854923153534916,0.0,0.8991078734397888,0.44258117766091437,0.8449287921676569,0.0,0.7989507913589478,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
