frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.4805646101077952,0.3283851445763261,0.0,0.9999904632568359,0.48549513883524,0.3173507114390394,0.0,0.999971866607666,0.49151708258615523,0.31782970947402334,0.0,0.999957799911499,0.49780834367225224,0.31860305608569334,0.0,0.9999662637710571,0.46946107528426434,0.3171314368923227,0.0,0.9999916553497314,0.4644298149155571,0.31753638272102075,0.0,0.9999936819076538,0.45980784109422396,0.31786580790172925,0.0,0.9999959468841553,0.4976245702563469,0.3217029470455396,0.0,0.9999632835388184,0.4436732622293327,0.3221441485456655,0.0,0.9999908208847046,0.4877417014612185,0.33996168591759424,0.0,0.999969482421875,0.46875184274219983,0.33951996339784635,0.0,0.9999886751174927,0.5202169580893082,0.37304409067113936,0.1420285163864075,0.9999226331710815,0.39433017477288956,0.3760586339276988,0.0,0.9999969005584717,0.6294518680005644,0.3736227103671829,0.02464273556988745,0.4726319909095764,0.334910160178071,0.43743668340302866,0.0,0.9962555170059204,0.6921347834013559,0.34112061685198675,0.0,0.73533695936203,0.38905678470651583,0.5196286875468035,0.0,0.9971556663513184,0.7106223423164205,0.32875235639252015,0.0,0.7804274559020996,0.3839264757983332,0.54736294800585,0.0,0.9945970773696899,0.6959539560171275,0.32734266632086734,0.0,0.7905709743499756,0.40244991483388254,0.5456284013661477,0.0,0.9949245452880859,0.6865479095832446,0.33320977471091534,0.0,0.746955931186676,0.40817546656915366,0.535837492534331,0.0,0.9910564422607422,0.4877175859638029,0.5436849537846091,0.15470955063022307,0.9999337196350098,0.4300621256128059,0.5520078754508414,0.0,0.9999806880950928,0.6330975010678485,0.576553145488659,0.0,0.6,0.5072498223581513,0.6635923268911721,0.0,0.8548868298530579,0.5861353278160097,0.7435126900672916,0.0,0.6,0.41334854451926445,0.7504461486856424,0.016543639443612923,0.8756552338600159,0.5397062897682188,0.7937639355659486,0.01136800274252893,0.6,0.3727778590225676,0.7685576543941365,0.03614520365567693,0.6575107574462891,0.5784517147324302,0.6957993148923755,0.3509237216069147,0.6,0.4918279443587456,0.7801790445834607,0.0,0.8697323203086853,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
1,0.03333333333333333,0.4920709037280581,0.31203272219721256,0.0,0.9999881386756897,0.4900321024697977,0.30213792236534875,0.0,0.9999659061431885,0.4921549516957959,0.30215882775666825,0.0,0.9999497532844543,0.4944705431694752,0.30235957818014647,0.0,0.9999617338180542,0.4783156424552411,0.302445361872653,0.0,0.9999895691871643,0.47338013986607547,0.30272419521441835,0.0,0.9999918341636658,0.46881918661244276,0.302745170839183,0.0,0.9999948740005493,0.4884265367384559,0.3053655810914673,0.0,0.9999606609344482,0.4528783109638242,0.30693991065442155,0.0,0.9999882578849792,0.4927133884463277,0.32232100375882394,0.0,0.9999682903289795,0.4787109383753132,0.322301866708102,0.0,0.9999879002571106,0.5255194473099876,0.35658232940660506,0.08591863279510932,0.9999252557754517,0.38528570386913275,0.3643309367703391,0.0,0.9999963641166687,0.6426309147081178,0.35149078206582524,0.0,0.5042890906333923,0.3074174235750744,0.4295251379896712,0.0,0.9936986565589905,0.6533050595463573,0.29455532331566714,0.0,0.7528203725814819,0.3580058537996732,0.5146095337984445,0.0,0.9938682913780212,0.651604762444129,0.2794725864708839,0.0,0.7919201850891113,0.3521620793776077,0.5402485753272799,0.0,0.9898030757904053,0.6351429920096495,0.2769113615467832,0.0,0.80034339427948,0.3669610602872355,0.5402350667473325,0.0,0.9900897145271301,0.6304056031720615,0.2842921788667466,0.0,0.7576901912689209,0.3729977893245804,0.5316798724494616,0.0,0.9845234155654907,0.4998652153498645,0.5305899871396018,0.13442025988825132,0.9999362230300903,0.4309036646272754,0.5374700170713707,0.0,0.9999808669090271,0.6308165580242664,0.5770415238567166,0.0,0.6,0.48928145553682234,0.6530746200701574,0.0,0.8536494374275208,0.5861353278160096,0.7435126900672914,0.0,0.6,0.4143704788668173,0.7512483204995005,0.05026143532689224,0.8789371252059937,0.539706289768219,0.7937639355659485,0.011368002742528926,0.6,0.378514079155622,0.7679925498428882,0.06543569027127093,0.6622808575630188,0.5781949812715704,0.7005238374630056,0.32152590843347395,0.6,0.4945127997365031,0.7836384623200744,0.0,0.8699744939804077,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
2,0.06666666666666667,0.4948880006939102,0.29445881370481086,0.0,0.9999878406524658,0.49027241297535135,0.28565115118638074,0.0,0.9999642372131348,0.4907959290456663,0.28554846815295987,0.0,0.9999484419822693,0.49136290016707856,0.2855958221675634,0.0,0.9999610185623169,0.4803851529573784,0.28628541754953785,0.0,0.9999890327453613,0.47547582493517515,0.2865959550047811,0.0,0.9999913573265076,0.47087773569536107,0.2865814722570784,0.0,0.9999945163726807,0.48271403043142297,0.28949301240049596,0.0,0.9999610185623169,0.4563397048931301,0.2914302792304602,0.0,0.9999873638153076,0.4934221160161746,0.30446760741980755,0.0,0.9999698400497437,0.48120925851635193,0.3046491632719975,0.0,0.9999884366989136,0.5309055699057236,0.34151056922954853,0.03541340525446579,0.9999315142631531,0.378203459414013,0.3524714343614512,0.0,0.9999963045120239,0.6527374881408712,0.32860179464300215,0.0,0.5487415194511414,0.28833264821059207,0.41950622200965887,0.0,0.992149829864502,0.6396446282213386,0.25410760800182686,0.0,0.7745646834373474,0.3380916847354605,0.5043711887372958,0.0,0.9929704666137695,0.6314374487716831,0.2377122783369117,0.0,0.8083931803703308,0.33274452759947243,0.5284174058265065,0.0,0.9884582161903381,0.6158055999340152,0.23446652470351936,0.0,0.8157564401626587,0.34489101810610934,0.5290094027708188,0.0,0.9888594746589661,0.6123337615064244,0.24227020061099452,0.0,0.7752885818481445,0.3514807006834825,0.521238668190016,0.0,0.9827266931533813,0.5101726653970485,0.5175395827471239,0.11580785219275361,0.9999377131462097,0.4306927900631113,0.5236508835862569,0.0,0.9999809861183167,0.6305472977233657,0.5771062765921747,0.0,0.6,0.47472350928055385,0.6424898435741594,0.0,0.8580643534660339,0.5861353278160096,0.7435126900672914,0.0,0.6,0.418796600509079,0.7478180201181446,0.07018127931294957,0.88286292552948,0.5397062897682191,0.7937639355659485,0.011368002742528924,0.6,0.38906488371340003,0.7631318342713492,0.08426433676606297,0.6588249802589417,0.5781307979063555,0.7017049681056632,0.3141764551401138,0.6,0.4947582902886094,0.7846053288533139,0.0,0.8719121813774109,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
3,0.1,0.4911607165922928,0.27686768438502074,0.0,0.9999864101409912,0.4873272199313958,0.26906851679086696,0.0,0.9999596476554871,0.4880096300012307,0.2690948469169212,0.0,0.9999435544013977,0.4885502077969084,0.2693038436221633,0.0,0.999958336353302,0.47735462294314024,0.26986326489137324,0.0,0.9999876022338867,0.47241985415801035,0.2703178581414802,0.0,0.9999901056289673,0.4677108971527963,0.27046778881466477,0.0,0.9999937415122986,0.4799196352978131,0.2747623951007158,0.0,0.9999597668647766,0.4553843506010542,0.27645757438350116,0.0,0.99998539686203,0.4909349947403639,0.2873556699021991,0.0,0.9999700784683228,0.4780902225515507,0.28756487317435403,0.0,0.9999883770942688,0.5361389803302873,0.32818433517342704,0.0,0.9999357461929321,0.3729206028031858,0.34112244177531537,0.0,0.9999956488609314,0.6597240531778006,0.3061626001080991,0.0,0.585213303565979,0.2768809658177803,0.40847514357878056,0.0,0.9879449605941772,0.6437739788235486,0.2199907528457942,0.0,0.7903846502304077,0.3274135145690891,0.49041915540789677,0.0,0.9868844151496887,0.63910930438753,0.20327729627594243,0.0,0.8180527687072754,0.32353122838032544,0.5131441171352682,0.0,0.9802569150924683,0.6261318559413186,0.1997294752643659,0.0,0.8244140148162842,0.3338705572909686,0.5134379991909845,0.0,0.9812784194946289,0.6214468800799265,0.20719721840394967,0.0,0.7850669026374817,0.3410827049633839,0.5061386005306023,0.0,0.9730141758918762,0.5187341355499413,0.5051107803285818,0.09870237947847596,0.9999361634254456,0.42971293909566405,0.5110122667742778,0.0,0.9999794960021973,0.6314105047629431,0.5769082664887668,0.0,0.6,0.4634326582466251,0.6322875694656152,0.0,0.8569722771644592,0.5861353278160095,0.7435126900672914,0.0,0.6,0.426019287991635,0.7413216700781756,0.0799699407971806,0.8836220502853394,0.5397062897682192,0.7937639355659485,0.011368002742528922,0.6,0.40335425293390026,0.7551946966520284,0.09557816762659524,0.6495285034179688,0.5781949812715704,0.7005238374630057,0.32152590843347395,0.6,0.4935301896575447,0.7835406347727166,0.0,0.8700560927391052,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
4,0.13333333333333333,0.4830338670101476,0.2604635995237422,0.0,0.9999726414680481,0.48230767291742616,0.2535681380675391,0.0,0.9999154806137085,0.48436566992795305,0.2538941803025755,0.0,0.9998886585235596,0.4860972591908108,0.2544756981181655,0.0,0.9999244809150696,0.470909068564991,0.25439056486655504,0.0,0.9999732375144958,0.4659152115697351,0.25505610067388684,0.0,0.9999773502349854,0.46104607979456597,0.25549719717119135,0.0,0.9999858140945435,0.47947593530019134,0.2618508833202171,0.0,0.9999377727508545,0.45133915467140023,0.2628641162232642,0.0,0.9999671578407288,0.4863191351885007,0.2719393642076524,0.0,0.9999609589576721,0.47119724986714406,0.272052016499993,0.0,0.9999842047691345,0.5409833330374499,0.3169591522716978,0.0,0.9999371767044067,0.36927429543230633,0.3309262740862121,0.0,0.9999933242797852,0.6635430746978817,0.2853800504705013,0.0,0.6204830408096313,0.2722875081297954,0.3975271108128252,0.0,0.9813961386680603,0.6583136007502364,0.19241803978289762,0.0,0.8066474199295044,0.32407058035577085,0.4742589368547872,0.0,0.9790612459182739,0.6636092323801173,0.17597350457331515,0.0,0.8297960162162781,0.3223795896365647,0.4957033868853031,0.0,0.9698017239570618,0.6543118361826539,0.17242153270261273,0.0,0.835311233997345,0.331530446842278,0.495007445762208,0.0,0.9714425206184387,0.6468594543861611,0.17912661070590255,0.0,0.7977107167243958,0.33926230648180805,0.4880043902458291,0.0,0.9602907299995422,0.5256438252531291,0.4938806196053825,0.08293389368016435,0.9999390840530396,0.4282475489002844,0.5000159584142114,0.0,0.9999796152114868,0.6325269637407959,0.5766083563402262,0.0,0.6,0.45526557709231535,0.6229173698069612,0.0,0.8610232472419739,0.5861353278160095,0.7435126900672916,0.0,0.6,0.4354309198600708,0.7329256929161946,0.08329418917498099,0.8893609642982483,0.5397062897682192,0.7937639355659485,0.011368002742528922,0.6,0.4203061670551213,0.7454003259574344,0.10232420733940985,0.6516249179840088,0.5783233480020002,0.6981615761776908,0.3362248150201943,0.6,0.49179427148578875,0.7809053706678203,0.0,0.8724502921104431,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
5,0.16666666666666666,0.47265226753441736,0.24645082440687568,0.0,0.9999355673789978,0.4763249215129384,0.24032813390512908,0.0,0.9998027086257935,0.48043366419129846,0.2410426845639464,0.0,0.9997577667236328,0.48406884748063295,0.24210344122978977,0.0,0.9998406171798706,0.46273350597539553,0.24107897844347984,0.0,0.9999338984489441,0.4576648812055044,0.24197687865137285,0.0,0.9999437928199768,0.45261069243048857,0.24276277398590784,0.0,0.9999644756317139,0.48081551440112363,0.2514356311870906,0.0,0.9998847842216492,0.4455310236879729,0.25149222485946954,0.0,0.9999188780784607,0.48064164793019093,0.259172863337822,0.0,0.999934732913971,0.46237375984936724,0.2591136133337361,0.0,0.9999726414680481,0.5452022824809838,0.3081905455578188,0.0,0.9999348521232605,0.3671016986970311,0.3225252463684224,0.0,0.9999899864196777,0.6641470175800919,0.26746099773959475,0.0,0.6537210941314697,0.2737774068797948,0.38775733182758265,0.0,0.9751461744308472,0.6758839833986527,0.17160275074846584,0.0,0.8229758143424988,0.32616211915071835,0.4573960361225078,0.0,0.9737362861633301,0.6939261358378948,0.15560676751436928,0.0,0.8426216840744019,0.32714701928458934,0.47736989270835056,0.0,0.9630619883537292,0.6885356168091177,0.15226401649155022,0.0,0.8475875854492188,0.33550145576050316,0.4752043322388677,0.0,0.9653615951538086,0.677685979918724,0.1581117559771442,0.0,0.8126706480979919,0.34347800955627994,0.4684607581103055,0.0,0.9530155062675476,0.5309959339511992,0.48442614029893355,0.068332446732565,0.9999424815177917,0.4265800566523237,0.49112375028483646,0.0,0.9999799728393555,0.6330174592547222,0.5763674089402879,0.0,0.6,0.4500789404749048,0.6148288166606359,0.0,0.8665866851806641,0.5861353278160111,0.7435126900672933,0.0,0.6,0.446423874659973,0.7237965111688042,0.08382079384174645,0.8952857255935669,0.5397062897682204,0.7937639355659505,0.011368002742528945,0.6,0.4388446063150626,0.7349679111600775,0.10744948039104917,0.6518925428390503,0.5784517147324317,0.6957993148923773,0.35092372160691576,0.6,0.490516309415823,0.7771605271281639,0.0,0.8765260577201843,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
6,0.2,0.46520639382876006,0.2367205257182361,0.0,0.999876856803894,0.4720620226054215,0.2314643134603973,0.0,0.9996713399887085,0.4776204793186467,0.2325248959667483,0.0,0.9996223449707031,0.48270434384301675,0.23398520861750222,0.0,0.9997581839561462,0.45685207711789,0.2320485946945939,0.0,0.9998738765716553,0.45168568426634725,0.23310858830983328,0.0,0.9998874068260193,0.446400865877704,0.23423053977233887,0.0,0.9999248385429382,0.48279151202359805,0.24472402730882925,0.0,0.9998327493667603,0.4408846601044949,0.24376274360504524,0.0,0.999822735786438,0.4765332300901981,0.25045726717491035,0.0,0.9998859763145447,0.45611621477665165,0.2501880492155375,0.0,0.9999440312385559,0.5480864077181263,0.3015106473908288,0.0,0.9999324083328247,0.3658584705738486,0.3165117505685997,0.0,0.9999803304672241,0.661079722962459,0.254972859939218,0.0,0.6821960210800171,0.2821396875492628,0.3819296955367634,0.0,0.9534292817115784,0.6807041173770451,0.15983166123603648,0.0,0.8374457955360413,0.33147462271588196,0.4440428312425025,0.0,0.9378537535667419,0.7072200727907391,0.14342076478999294,0.0,0.8539097309112549,0.33649450742003617,0.461871846641973,0.0,0.9249373078346252,0.7040685709817722,0.14051575166779,0.0,0.8585879802703857,0.34472712818837203,0.45791255649709045,0.0,0.9295352101325989,0.6908462217081973,0.14627692006128967,0.0,0.8264920115470886,0.35176805113301224,0.45175963445699135,0.0,0.916094958782196,0.5349663430716344,0.4769337946301586,0.05447620028870885,0.9999458193778992,0.4250846026521752,0.4840905546864165,0.0,0.9999797940254211,0.6322980505047439,0.5757141093829866,0.0,0.5113533139228821,0.44687857876568804,0.608542315887684,0.0,0.8712534308433533,0.5861353278160111,0.7435126900672933,0.0,0.6,0.4580928126137308,0.7159601469417849,0.08700992887739836,0.9005425572395325,0.5397062897682204,0.7937639355659505,0.011368002742528945,0.6,0.45746703282658707,0.7259302676974496,0.11476923094623881,0.6488661170005798,0.5791569806479089,0.6925828948721204,0.3706211177827605,0.6,0.4930068037726676,0.7728391066019928,0.0,0.8800857663154602,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
7,0.23333333333333334,0.4583101169768481,0.23142023485301597,0.0,0.9998647570610046,0.468606106676423,0.22660633070624575,0.0,0.9996495842933655,0.4756861147069166,0.2279541327125271,0.0,0.9996064901351929,0.48247220757958065,0.22975602402136935,0.0,0.9997408986091614,0.4514455880735316,0.22701862864283195,0.0,0.9998622536659241,0.4461203041054441,0.2282022008529082,0.0,0.9998779892921448,0.44053553847166327,0.22942410722062362,0.0,0.9999160766601562,0.4868451929314722,0.24149107721163182,0.0,0.9998283982276917,0.43575714136059307,0.23946487285318413,0.0,0.9998112320899963,0.47308221382972643,0.24606262192581702,0.0,0.9998773336410522,0.4502985678908442,0.24571890555895357,0.0,0.9999382495880127,0.5500728387932692,0.29920886821680215,0.0,0.9999327659606934,0.3657603693869852,0.31435623855301914,0.0,0.9999745488166809,0.6549889145197586,0.24882252375423836,0.0,0.7129833698272705,0.2936423788398581,0.37937539044793767,0.0,0.9445824027061462,0.6732137988219468,0.15402230064629993,0.0,0.8527549505233765,0.3348725853544302,0.4296473985785383,0.0,0.929155707359314,0.7026259141924238,0.136314427171832,0.0,0.8668546080589294,0.3429920057177831,0.4453821815116156,0.0,0.9131692051887512,0.7007013939338427,0.13419832532361425,0.0,0.8711299300193787,0.35074285006189776,0.4380549686355203,0.0,0.9187304377555847,0.686434788234308,0.1403409919608171,0.0,0.8419649600982666,0.35655656894603904,0.4328762201857189,0.0,0.9044007062911987,0.5373327547297903,0.4732951011274257,0.04813399174769524,0.999949038028717,0.42385010459484307,0.4816840065248098,0.0,0.9999799132347107,0.628219023312168,0.5743004681069271,0.0,0.5589776635169983,0.44836985529997525,0.6045817035339389,0.0,0.8833308815956116,0.5861353278160111,0.7435126900672933,0.0,0.6,0.47031220251863776,0.7098823802454507,0.0893708193340365,0.9088969230651855,0.5397062897682204,0.7937639355659505,0.011368002742528945,0.6,0.4754176481620428,0.718886880468935,0.1232031750946476,0.6660449504852295,0.5798348066134346,0.6940176077100244,0.3599441073713335,0.6,0.4971545096877585,0.7683489820062439,0.0,0.8886475563049316,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
8,0.26666666666666666,0.4524829704444737,0.23335183076647398,0.0,0.9998352527618408,0.46540439406752987,0.22858944993752758,0.0,0.9995851516723633,0.4732834088218808,0.2301213678432795,0.0,0.999545156955719,0.48104108546997415,0.23211559750539223,0.0,0.99968421459198,0.44725910565514226,0.22876099575232853,0.0,0.999830424785614,0.4421946602962523,0.22993470363683693,0.0,0.9998534917831421,0.4368335274688581,0.23116433679501833,0.0,0.9998945593833923,0.489179457540002,0.24390762999202328,0.0,0.9997962117195129,0.43233915281184737,0.24102887327159822,0.0,0.9997572898864746,0.4690536698261353,0.24855810376036203,0.0,0.9998362064361572,0.44532677093586004,0.24791673586502005,0.0,0.9999127984046936,0.5508495635919652,0.3020026016207572,0.0,0.999931275844574,0.3659008118239326,0.3171243778058707,0.0,0.999965250492096,0.6477677377509643,0.2480426428270791,0.0,0.7408981919288635,0.3040526628772148,0.3791310254371537,0.0,0.9364016056060791,0.6500164121736753,0.1551570621751131,0.0,0.8665589690208435,0.33699429646516543,0.41276186676848015,0.0,0.9302303791046143,0.674320147170889,0.13621349021410367,0.0,0.8784007430076599,0.3446548272679745,0.4221431464998883,0.0,0.9140710234642029,0.6712239342274939,0.1339000527744808,0.0,0.8823148012161255,0.34993540983655885,0.414875591968324,0.0,0.9196977615356445,0.6591619066980908,0.14108818543679824,0.0,0.8557866811752319,0.35485531671063975,0.41059531163780394,0.0,0.9045619368553162,0.5381285506528588,0.47401059292135383,0.035875465732289356,0.9999511241912842,0.4235562509867984,0.4836831163693154,0.0,0.9999789595603943,0.6202385121292184,0.5749224778655542,0.0,0.6008123159408569,0.45345457137881584,0.6027034679492886,0.0,0.8932480812072754,0.5877779501301441,0.741194416176191,0.0,0.6,0.48204940793675544,0.7063942812817376,0.10954122172369019,0.9125088453292847,0.5397062897682204,0.7937639355659505,0.011368002742528945,0.6,0.49139712372304245,0.7146830768574108,0.1465698828299844,0.6677533388137817,0.5817904222261671,0.7032658536951044,0.29165366399677284,0.6,0.5026635810350774,0.7643927546925776,0.0,0.8895614147186279,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
9,0.3,0.45219070740513156,0.24283837153639334,0.0,0.9997914433479309,0.4652234957768379,0.2372173504048578,0.0,0.9995110630989075,0.4731339252356339,0.2385896445015378,0.0,0.9994862675666809,0.48110774895805986,0.2403966244353565,0.0,0.9996364712715149,0.4469951075134867,0.23750751397826517,0.0,0.9997838735580444,0.44189866765951613,0.23856743329610647,0.0,0.9998139142990112,0.4364524794208431,0.23966927895873918,0.0,0.9998602271080017,0.49147951088863223,0.2510599392207915,0.0,0.9997676610946655,0.43140354898426203,0.24824908486890968,0.0,0.9996595978736877,0.4686604650009497,0.25774650779359615,0.0,0.9997726678848267,0.4449810787236507,0.2572153787929702,0.0,0.9998632073402405,0.5507257883643228,0.3085753587715006,0.0,0.9999275207519531,0.3689749537509092,0.32311918386768435,0.0,0.9999268651008606,0.6345909287879534,0.2489771712701644,0.0,0.7651146650314331,0.3183095218974124,0.38313283946686516,0.0,0.8957976698875427,0.6152676724609534,0.16187150071273082,0.0,0.8780725002288818,0.34373942073130753,0.40663827243662765,0.0,0.8837354779243469,0.6317568724249921,0.14189388375460166,0.0,0.8873428106307983,0.35073948510876995,0.41107158109302677,0.0,0.8690474629402161,0.6253024179201876,0.13938805005906105,0.0,0.8908452987670898,0.35276711653996273,0.4047647208183806,0.0,0.8759474754333496,0.6161091583314213,0.14750396851059477,0.0,0.8662047386169434,0.35711004413091313,0.4016215401790647,0.0,0.8589304685592651,0.538268911532868,0.4785710894839204,0.014716216775486703,0.9999512434005737,0.4243845180336979,0.4888489963986114,0.0,0.9999740123748779,0.6073608744394545,0.5803592280074448,0.0,0.6384822726249695,0.4581538413093374,0.6049161328302413,0.0,0.8989269733428955,0.5889745842326787,0.7408185630411555,0.0,0.6,0.49518392545915835,0.7042373175665512,0.14453098810080364,0.9125605821609497,0.5397062897682204,0.7937639355659505,0.011368002742528945,0.6,0.5076788096994801,0.7113712413327695,0.18283720097411255,0.6569914817810059,0.5802857404822251,0.7207355709064831,0.17307651751524966,0.5038565397262573,0.510413059821497,0.7595321834782085,0.0,0.8864597082138062,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,medium,medium,high
