frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.48408106,0.2955582,0.014874675,0.95,0.48617247,0.2817713,0.021022482,0.95,0.49717468,0.2841314,0.016796123,0.95,0.49762282,0.28389257,0.021008259,0.95,0.47370306,0.28579402,0.017251315,0.95,0.4633397,0.27702636,0.025220064,0.95,0.46504763,0.28703502,0.025836607,0.95,0.5109607,0.28975368,0.019808969,0.95,0.4590907,0.28817835,0.013127768,0.95,0.48555914,0.30182427,0.013470211,0.95,0.46373674,0.30444288,0.027765404,0.95,0.54310757,0.35490984,0.03132934,0.95,0.41236138,0.3518312,0.03450157,0.95,0.58751893,0.41423643,0.05106378,0.95,0.36678436,0.40299132,0.0420301,0.95,0.58648896,0.4353505,0.05766408,0.95,0.37254074,0.43910024,0.043671124,0.95,0.59324235,0.44850603,0.07451661,0.95,0.3769215,0.4485628,0.030756176,0.95,0.5813623,0.4405664,0.054361347,0.95,0.37359005,0.43951985,0.033401944,0.95,0.5854648,0.43935627,0.072232515,0.95,0.38754702,0.44622195,0.036826834,0.95,0.51271355,0.52038443,0.036226213,0.95,0.43069705,0.52777356,0.022101674,0.95,0.54757243,0.6303097,0.031281155,0.95,0.4161518,0.63987696,0.030518059,0.95,0.5360461,0.7394721,0.2550806,0.95,0.45129624,0.7409601,0.18944858,0.95,0.5114718,0.7532705,0.263693,0.95,0.45780328,0.7591923,0.20874175,0.95,0.5309153,0.784452,0.16778708,0.95,0.42759773,0.79043055,0.09087545,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1,0.03333333333333333,0.48947242,0.27727282,0.009551688,0.95,0.4879333,0.26412508,0.017623441,0.95,0.5035253,0.2645742,0.012546332,0.95,0.5003422,0.26354137,0.016847676,0.95,0.47958264,0.2649056,0.010130197,0.95,0.4642321,0.2534019,0.019752951,0.95,0.46266025,0.26821768,0.022071091,0.95,0.5170195,0.27277106,0.01625391,0.95,0.4554308,0.26771984,0.002256077,0.95,0.48572963,0.282831,0.0066759186,0.95,0.46139494,0.2867155,0.026472824,0.95,0.5577384,0.33843926,0.02230591,0.95,0.40083408,0.33368623,0.026906565,0.95,0.6042381,0.41040647,0.048020434,0.95,0.3524738,0.39726797,0.03171115,0.95,0.60955817,0.43502197,0.06362887,0.95,0.36029148,0.4443923,0.032624856,0.95,0.60924524,0.44835573,0.075068235,0.95,0.3697703,0.4556373,0.020546462,0.95,0.6005254,0.4413504,0.04613942,0.95,0.36057597,0.44305795,0.021233387,0.95,0.6033821,0.43876824,0.070083216,0.95,0.38006446,0.45516625,0.025485728,0.95,0.51987076,0.5139672,0.040601972,0.95,0.42271993,0.5223723,0.012966302,0.95,0.5606276,0.63205373,0.03267573,0.95,0.4073,0.64279634,0.026345674,0.95,0.5480392,0.7470763,0.30761456,0.95,0.4461473,0.7477064,0.20252322,0.95,0.5112023,0.75375205,0.31804082,0.95,0.4575069,0.7690981,0.2240777,0.95,0.5446103,0.7934983,0.20742004,0.95,0.42271394,0.80429053,0.09052017,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.06666666666666667,0.489949,0.26415715,0.0071492204,0.95,0.48909286,0.25193596,0.015800873,0.95,0.5068415,0.2510239,0.01117082,0.95,0.5005174,0.24947615,0.014301996,0.95,0.48110205,0.25020894,0.005843496,0.95,0.46335033,0.23765564,0.015548934,0.95,0.45863774,0.25502694,0.019629484,0.95,0.5189208,0.26077586,0.013965895,0.95,0.4508853,0.25383258,-0.004342273,0.95,0.48635554,0.27007338,0.003815734,0.95,0.458834,0.27403098,0.024483033,0.95,0.56732726,0.32768378,0.016578745,0.95,0.3911428,0.32213646,0.021179613,0.95,0.61485595,0.40722233,0.0459639,0.95,0.34107357,0.39485124,0.02325515,0.95,0.6259633,0.43413204,0.065221004,0.95,0.34869996,0.44813392,0.023744505,0.95,0.61994475,0.44962114,0.0708966,0.95,0.36107463,0.45892566,0.0133231515,0.95,0.61162126,0.44300675,0.035921816,0.95,0.3491508,0.4458758,0.011501344,0.95,0.6142831,0.43789765,0.06236788,0.95,0.3733404,0.45984682,0.016358392,0.95,0.5257488,0.50981313,0.041202977,0.95,0.4174342,0.5176336,0.007044849,0.95,0.56706697,0.6335636,0.031642172,0.95,0.40299836,0.6440114,0.023049317,0.95,0.5556846,0.75199944,0.34195173,0.95,0.44173232,0.7504738,0.21696712,0.95,0.5114261,0.7531396,0.35679543,0.95,0.4553035,0.77201617,0.23801127,0.95,0.5539811,0.79798317,0.22811076,0.95,0.41863135,0.81243896,0.09163453,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.1,0.48850313,0.2552015,0.0061901202,0.95,0.48931944,0.24358018,0.01476972,0.95,0.50831115,0.24199976,0.010756924,0.95,0.49953094,0.2399037,0.013118537,0.95,0.48047668,0.24007091,0.00353794,0.95,0.46163735,0.22758107,0.0125194825,0.95,0.4550292,0.24590676,0.017819924,0.95,0.51883596,0.2523427,0.01219642,0.95,0.44708928,0.24447565,-0.008108743,0.95,0.48700428,0.26131225,0.0027410642,0.95,0.4566029,0.2652639,0.022729993,0.95,0.5736171,0.32104704,0.012293584,0.95,0.38350037,0.31506026,0.016612483,0.95,0.6217443,0.40462562,0.043923676,0.95,0.33308312,0.39392716,0.016590925,0.95,0.6373677,0.4325793,0.06406113,0.95,0.33917576,0.45044178,0.017357552,0.95,0.6272182,0.45047832,0.06573551,0.95,0.3530253,0.45998618,0.0085875625,0.95,0.6190289,0.4439986,0.02712359,0.95,0.3410639,0.44778973,0.004979411,0.95,0.6207595,0.43679377,0.054718103,0.95,0.36689052,0.46141684,0.010242503,0.95,0.52983415,0.50745386,0.039943967,0.95,0.41387853,0.5139373,0.0031455895,0.95,0.5706905,0.6347306,0.029831914,0.95,0.40051305,0.64489317,0.02056049,0.95,0.55940384,0.75513506,0.36456352,0.95,0.43892962,0.7515427,0.22978687,0.95,0.511191,0.7526706,0.3840997,0.95,0.4531627,0.772217,0.24831766,0.95,0.56064415,0.8006986,0.23849331,0.95,0.4154648,0.81747866,0.09279575,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.13333333333333333,0.48650485,0.24915163,0.005923097,0.95,0.48882356,0.23800114,0.014111446,0.95,0.5087267,0.23610887,0.010708357,0.95,0.49811715,0.23350288,0.012786413,0.95,0.47894046,0.23326196,0.0024187735,0.95,0.4597003,0.22138917,0.010355586,0.95,0.45207235,0.23978044,0.016326653,0.95,0.51789474,0.24649741,0.010884361,0.95,0.44410047,0.23831923,-0.009985533,0.95,0.4873999,0.25535405,0.0025784888,0.95,0.45477334,0.25932926,0.021490226,0.95,0.57750964,0.31699386,0.009013695,0.95,0.37772346,0.31076366,0.013173745,0.95,0.62617105,0.40260923,0.04191887,0.95,0.32781827,0.39367136,0.011675464,0.95,0.64490753,0.43079722,0.06195,0.95,0.33194092,0.45183125,0.012916388,0.95,0.6322003,0.45059875,0.061109006,0.95,0.34645596,0.45985058,0.005481419,0.95,0.62447906,0.44433704,0.020617485,0.95,0.3356501,0.44892406,0.0011005495,0.95,0.62449855,0.43555272,0.048643254,0.95,0.36112255,0.4613553,0.00658444,0.95,0.53238916,0.50630444,0.03810708,0.95,0.41152805,0.5112602,0.00062326627,0.95,0.5728528,0.63567877,0.028111778,0.95,0.39888808,0.64577526,0.01863089,0.95,0.5605297,0.7572045,0.37945127,0.95,0.43730348,0.752063,0.23999506,0.95,0.51046443,0.75261027,0.40325177,0.95,0.4516972,0.77168465,0.2551526,0.95,0.5653101,0.802754,0.24367766,0.95,0.4131061,0.82095253,0.093725786,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.16666666666666666,0.48460582,0.24509636,0.0059647122,0.95,0.4880451,0.23433618,0.013648288,0.95,0.50868195,0.23236409,0.0107972985,0.95,0.4967215,0.22933248,0.012832841,0.95,0.47727948,0.22880334,0.0019043165,0.95,0.4578811,0.21770692,0.008847309,0.95,0.44971964,0.23577058,0.015119015,0.95,0.516698,0.24252847,0.009988241,0.95,0.44183773,0.23436576,-0.01081384,0.95,0.48758483,0.25140265,0.0027946152,0.95,0.45334223,0.25536993,0.020651724,0.95,0.5797677,0.31448436,0.0066130133,0.95,0.3734599,0.30817252,0.010753189,0.95,0.62891567,0.40110534,0.04013889,0.95,0.32444316,0.39370692,0.008274803,0.95,0.64974254,0.42912248,0.059865013,0.95,0.32659724,0.45266783,0.009903355,0.95,0.635656,0.45031273,0.057449702,0.95,0.3414336,0.4592421,0.0034136407,0.95,0.6285568,0.44433853,0.016172532,0.95,0.33202556,0.44953933,-0.0010698605,0.95,0.6266147,0.43437427,0.044135034,0.95,0.35645983,0.46069026,0.004605208,0.95,0.53385985,0.5058188,0.036342997,0.95,0.4100036,0.5094165,-0.00096593885,0.95,0.5740969,0.63643205,0.026798256,0.95,0.3977954,0.6466206,0.017163564,0.95,0.56041235,0.75857574,0.38924146,0.95,0.4363051,0.7524292,0.24762928,0.95,0.50963193,0.75279385,0.41659537,0.95,0.4507836,0.7710546,0.25948396,0.95,0.5684932,0.80439514,0.24634527,0.95,0.4113834,0.82346064,0.0944318,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.2,0.48306307,0.24239804,0.0061227316,0.95,0.48729104,0.23193432,0.01331234,0.95,0.50850266,0.23004507,0.0109300325,0.95,0.49554837,0.22668141,0.01299721,0.95,0.475875,0.22592416,0.0016721303,0.95,0.4563385,0.21556354,0.00783442,0.95,0.44789702,0.23318893,0.01420068,0.95,0.51555055,0.23988207,0.0094156265,0.95,0.44019386,0.23187779,-0.011141088,0.95,0.48766783,0.24884856,0.0030971665,0.95,0.4522702,0.25275868,0.020079067,0.95,0.5810148,0.3128997,0.0049235644,0.95,0.3703544,0.30662218,0.00912713,0.95,0.6305523,0.40001786,0.03868981,0.95,0.32230625,0.39385638,0.006041138,0.95,0.6528299,0.4277181,0.058169477,0.95,0.32269832,0.45318097,0.007911352,0.95,0.6380862,0.44993293,0.054754402,0.95,0.33773527,0.45856136,0.0020309396,0.95,0.63157654,0.44421658,0.013268933,0.95,0.32956386,0.44986483,-0.0022455174,0.95,0.6278086,0.43339223,0.04085792,0.95,0.3529752,0.45995975,0.0036555903,0.95,0.53464866,0.50564784,0.034889814,0.95,0.40904158,0.5081854,-0.0019523622,0.95,0.57475704,0.6370005,0.025904099,0.95,0.39709324,0.6473568,0.016091848,0.95,0.5598863,0.75946605,0.39569315,0.95,0.4356351,0.75272655,0.25313467,0.95,0.5089498,0.7530412,0.4258329,0.95,0.45020905,0.77048546,0.2622015,0.95,0.570636,0.80565697,0.24780297,0.95,0.41014773,0.82526654,0.094962075,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.23333333333333334,0.48190695,0.24060655,0.0063098604,0.95,0.48668158,0.23035194,0.013070727,0.95,0.5083198,0.22863509,0.011068639,0.95,0.49463943,0.22502446,0.01317524,0.95,0.47481722,0.2240682,0.0015710706,0.95,0.45510873,0.21433017,0.007173857,0.95,0.44651398,0.2315387,0.013534181,0.95,0.51457626,0.23813526,0.009067591,0.95,0.43903497,0.230333,-0.011247441,0.95,0.48771435,0.24722669,0.0033706941,0.95,0.45148894,0.25104725,0.019684602,0.95,0.58167905,0.31187934,0.0037590314,0.95,0.3681055,0.30569834,0.008061272,0.95,0.6314969,0.39924663,0.037583668,0.95,0.32095787,0.3940394,0.004622104,0.95,0.65482783,0.4266198,0.056915753,0.95,0.3198814,0.45350912,0.006614646,0.95,0.6398114,0.44960573,0.05285623,0.95,0.33506608,0.45797154,0.0011075855,0.95,0.6337986,0.44407123,0.011420362,0.95,0.32787094,0.45004433,-0.0028676335,0.95,0.628491,0.4326383,0.038493283,0.95,0.3504952,0.4593629,0.0032790268,0.95,0.53504056,0.50561464,0.033778843,0.95,0.40845227,0.5073768,-0.0025642412,0.95,0.57507473,0.6374147,0.025332581,0.95,0.39667708,0.64795727,0.015332073,0.95,0.55932856,0.7600316,0.39998206,0.95,0.43516046,0.75296503,0.2570367,0.95,0.5084781,0.7532635,0.43222287,0.95,0.4498306,0.77000755,0.26391742,0.95,0.5720826,0.8065859,0.2486637,0.95,0.4092724,0.8265533,0.09535748,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.26666666666666666,0.48107287,0.23941134,0.0064916415,0.95,0.48622847,0.22930075,0.012899747,0.95,0.5081696,0.22778587,0.01119854,0.95,0.4939634,0.2239961,0.013333255,0.95,0.4740637,0.22286248,0.0015337507,0.95,0.45416325,0.21362388,0.006749323,0.95,0.44547725,0.23048306,0.013061499,0.95,0.5138004,0.23698336,0.008865533,0.95,0.43823075,0.22937833,-0.011259183,0.95,0.48775026,0.24620329,0.0035883982,0.95,0.45092636,0.24992454,0.019412762,0.95,0.5820218,0.31120944,0.0029625606,0.95,0.36647677,0.3051451,0.007367698,0.95,0.6320287,0.39870378,0.03677834,0.95,0.32010424,0.3942217,0.0037331977,0.95,0.65614873,0.42579654,0.056038916,0.95,0.3178615,0.45373,0.005771948,0.95,0.6410425,0.44936797,0.051554825,0.95,0.33315513,0.4575099,0.0004914075,0.95,0.6354359,0.44394124,0.010260772,0.95,0.32669672,0.45015153,-0.0031880345,0.95,0.62889063,0.43208498,0.03679289,0.95,0.34877327,0.45892996,0.0031906741,0.95,0.5352136,0.50563884,0.032961957,0.95,0.40810016,0.50684947,-0.0029477188,0.95,0.57520974,0.63771254,0.024979956,0.95,0.39645523,0.64842963,0.01480009,0.95,0.5588646,0.7603866,0.40287703,0.95,0.43481794,0.75314957,0.25979093,0.95,0.5081807,0.7534369,0.4366669,0.95,0.44956797,0.7696199,0.26501536,0.95,0.5730732,0.8072522,0.2492157,0.95,0.40865374,0.8274686,0.09565096,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.3,0.48047867,0.23860557,0.0066559864,0.95,0.48590413,0.22859567,0.012780061,0.95,0.508054,0.22727613,0.0113145625,0.95,0.49346977,0.22335663,0.013463393,0.95,0.47353917,0.22206841,0.0015286619,0.95,0.45345026,0.21322016,0.0064768908,0.95,0.4447042,0.2298034,0.012727983,0.95,0.51320386,0.23621908,0.008754596,0.95,0.43767497,0.22878636,-0.011230942,0.95,0.4877828,0.24555463,0.003754358,0.95,0.45052195,0.24918304,0.019225728,0.95,0.58219254,0.31076095,0.0024181318,0.95,0.36529285,0.30480927,0.006914587,0.95,0.6323225,0.39832103,0.03621227,0.95,0.31955945,0.39438933,0.0031753727,0.95,0.65704256,0.4251947,0.055447634,0.95,0.31641844,0.45388556,0.005219264,0.95,0.64192337,0.44921127,0.050674997,0.95,0.3317871,0.45716467,7.906262e-05,0.95,0.63664865,0.44383767,0.009539254,0.95,0.32587713,0.45022064,-0.003345294,0.95,0.6291313,0.43168724,0.035571434,0.95,0.347587,0.45863253,0.0032304379,0.95,0.5352716,0.5056848,0.032373134,0.95,0.40789366,0.506506,-0.0031922841,0.95,0.57525563,0.63792735,0.024767237,0.95,0.39635542,0.64879525,0.0144274235,0.95,0.5585133,0.76060975,0.4048683,0.95,0.43457064,0.7532889,0.26174244,0.95,0.50800157,0.75356513,0.43978748,0.95,0.44937795,0.76931196,0.26572928,0.95,0.57376516,0.807726,0.24959715,0.95,0.4082136,0.82812446,0.09586909,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
