frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.46518305,0.30189,0.02598408,0.95,0.471005,0.29118288,0.026217392,0.95,0.47966847,0.3007821,0.022366771,0.95,0.48426068,0.30059725,0.02595829,0.95,0.45941657,0.29428595,0.021735387,0.95,0.457972,0.2945997,0.025525488,0.95,0.4554259,0.29710636,0.032764107,0.95,0.49138477,0.29721642,0.019080976,0.95,0.44885147,0.30868047,0.026234502,0.95,0.4798603,0.31956074,0.025933012,0.95,0.44917932,0.31869885,0.032543376,0.95,0.53828084,0.3694752,0.030703492,0.95,0.41531467,0.36759308,0.04819384,0.95,0.57116735,0.4089776,0.049931206,0.95,0.36349586,0.41549793,0.070144795,0.95,0.58910096,0.43165362,0.03305211,0.95,0.36670777,0.43461514,0.06762074,0.95,0.59956187,0.44851294,0.04573872,0.95,0.3807079,0.44631442,0.061627943,0.95,0.58026564,0.4398949,0.03106676,0.95,0.37434083,0.44546124,0.057582907,0.95,0.5729248,0.4341347,0.056311663,0.95,0.38198954,0.43324885,0.062313043,0.95,0.5121011,0.5343817,0.02292057,0.95,0.44318408,0.5390498,0.044887543,0.95,0.5256961,0.6480924,0.02126317,0.95,0.43900916,0.64550143,0.03859143,0.95,0.5297207,0.7520825,0.20912464,0.95,0.4566444,0.74589664,0.21202242,0.95,0.52105707,0.7612476,0.26115385,0.95,0.46985987,0.756727,0.22193807,0.95,0.5210521,0.7893154,0.12903482,0.95,0.43279183,0.794781,0.11662811,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1,0.03333333333333333,0.45832,0.28962186,0.02675258,0.95,0.46318716,0.28082487,0.02877439,0.95,0.47252688,0.29235068,0.019170415,0.95,0.4764296,0.2930772,0.025872126,0.95,0.45408323,0.28147835,0.020982329,0.95,0.45242217,0.28491855,0.021592157,0.95,0.44712478,0.28854805,0.033520732,0.95,0.48623422,0.2866676,0.015466719,0.95,0.43899027,0.2996351,0.023867024,0.95,0.4714933,0.3109385,0.023420822,0.95,0.43915328,0.30876532,0.03350785,0.95,0.54240465,0.36159578,0.023698607,0.95,0.40751666,0.3622894,0.048957206,0.95,0.572537,0.40004295,0.044550896,0.95,0.34925586,0.41534957,0.07536795,0.95,0.6013929,0.4253176,0.022783983,0.95,0.35656974,0.4362481,0.07662848,0.95,0.606136,0.44311357,0.03405755,0.95,0.37111768,0.44746238,0.07213499,0.95,0.5930597,0.43202326,0.017670058,0.95,0.36728305,0.4494076,0.061362594,0.95,0.5702521,0.42582324,0.052565135,0.95,0.37059814,0.4304378,0.069768995,0.95,0.51035625,0.5359601,0.019563159,0.95,0.44189054,0.54036045,0.051569387,0.95,0.52575374,0.65749145,0.017457075,0.95,0.44065076,0.65149784,0.0411692,0.95,0.5322081,0.7623228,0.22666547,0.95,0.45584548,0.7546828,0.23408161,0.95,0.52474064,0.7673524,0.3063777,0.95,0.47399545,0.76451665,0.2318358,0.95,0.5255541,0.8010856,0.14450209,0.95,0.4271422,0.8066972,0.12619337,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.06666666666666667,0.45226553,0.2812509,0.026983865,0.95,0.45784184,0.27468094,0.031151418,0.95,0.46636254,0.28590482,0.017846134,0.95,0.4704719,0.2880104,0.0264049,0.95,0.4486146,0.27329466,0.021647524,0.95,0.4471877,0.27918077,0.018789917,0.95,0.4395412,0.2834726,0.034133554,0.95,0.48169896,0.28003234,0.014157782,0.95,0.43049145,0.29331735,0.023066832,0.95,0.46417055,0.30581802,0.02182035,0.95,0.43259817,0.30030456,0.033090375,0.95,0.5419409,0.35561213,0.021197496,0.95,0.40178895,0.35936838,0.049232494,0.95,0.5704737,0.39361835,0.04258448,0.95,0.3387067,0.4141986,0.07753573,0.95,0.6037976,0.4196091,0.017620116,0.95,0.35061812,0.4376649,0.08185327,0.95,0.6037958,0.4374201,0.02739359,0.95,0.36187488,0.44556424,0.07722076,0.95,0.59692854,0.42472303,0.011162948,0.95,0.3620729,0.45049798,0.06289884,0.95,0.5639709,0.4174399,0.048921052,0.95,0.3631218,0.42787436,0.07322327,0.95,0.506891,0.53602976,0.017622743,0.95,0.43971705,0.540284,0.056351844,0.95,0.5227853,0.66225976,0.015320165,0.95,0.44112056,0.6544864,0.042757206,0.95,0.53062916,0.7670245,0.23530035,0.95,0.45498988,0.758929,0.24891391,0.95,0.5250761,0.7705334,0.3335464,0.95,0.47475052,0.7681735,0.23598343,0.95,0.5258315,0.8072678,0.15350612,0.95,0.42222854,0.8129565,0.13126655,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.1,0.4476688,0.2757396,0.026694192,0.95,0.45371425,0.27097505,0.032827586,0.95,0.46169287,0.28144,0.017374143,0.95,0.46607548,0.28477898,0.026929561,0.95,0.44415152,0.26818728,0.02233347,0.95,0.44314113,0.27595925,0.016635202,0.95,0.4336403,0.28014687,0.03441316,0.95,0.47781488,0.2757451,0.013564838,0.95,0.42431945,0.28923136,0.022739733,0.95,0.4587618,0.30296567,0.020510193,0.95,0.4284428,0.29396486,0.032082472,0.95,0.5401749,0.35150576,0.020485932,0.95,0.39768472,0.35775033,0.049257547,0.95,0.56725603,0.38906375,0.042401284,0.95,0.33114254,0.41264883,0.07899984,0.95,0.6023489,0.4150412,0.015125212,0.95,0.34703755,0.43863595,0.08507209,0.95,0.5988936,0.4321886,0.023727026,0.95,0.35489893,0.44353938,0.07955526,0.95,0.5967492,0.4189033,0.008044153,0.95,0.358801,0.4504651,0.06408254,0.95,0.5582685,0.41009188,0.046031218,0.95,0.35832986,0.42599356,0.07537713,0.95,0.5035802,0.53570044,0.01664824,0.95,0.4373991,0.5399911,0.05977248,0.95,0.5188924,0.66465175,0.014470819,0.95,0.44133693,0.65609515,0.043966163,0.95,0.5277908,0.7691865,0.23956475,0.95,0.4547638,0.7609294,0.25849712,0.95,0.5240542,0.77217627,0.34955335,0.95,0.4747051,0.7699424,0.23797363,0.95,0.5242485,0.81076014,0.15955351,0.95,0.41907704,0.81667507,0.13421787,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.13333333333333333,0.4442893,0.2720499,0.026128868,0.95,0.4504414,0.2686763,0.03386316,0.95,0.45820436,0.2783884,0.017219834,0.95,0.4628194,0.28270346,0.027276102,0.95,0.440645,0.26498514,0.02273276,0.95,0.44015908,0.2742182,0.014922306,0.95,0.42927697,0.2778172,0.034346163,0.95,0.4746389,0.2728997,0.013147439,0.95,0.42002922,0.28659946,0.022583501,0.95,0.45490208,0.30133912,0.019362293,0.95,0.42580742,0.28945443,0.030941134,0.95,0.538233,0.34870893,0.020432552,0.95,0.39476854,0.35682005,0.04932672,0.95,0.56382453,0.3857222,0.04289816,0.95,0.32566044,0.41102505,0.08037929,0.95,0.5996785,0.41147053,0.014046551,0.95,0.34483784,0.43925792,0.08739028,0.95,0.59375715,0.4277078,0.021762319,0.95,0.34990323,0.44192305,0.08073747,0.95,0.5947876,0.4144022,0.0064956057,0.95,0.35675284,0.4500321,0.06534015,0.95,0.55374783,0.4040153,0.04386347,0.95,0.35530415,0.4246817,0.0771054,0.95,0.500858,0.5353127,0.016240792,0.95,0.43525612,0.5397488,0.062324867,0.95,0.5150718,0.6658789,0.014330573,0.95,0.44152588,0.6570085,0.044981837,0.95,0.52497095,0.7701776,0.24182373,0.95,0.4550209,0.7618082,0.26469475,0.95,0.5225634,0.7730956,0.35907254,0.95,0.47461525,0.7708214,0.2391386,0.95,0.522064,0.8129318,0.16405608,0.95,0.4173412,0.81909794,0.13615243,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.16666666666666666,0.4418081,0.26951838,0.02547493,0.95,0.44786164,0.267211,0.034445133,0.95,0.45557076,0.27626294,0.017145753,0.95,0.46040002,0.28132036,0.027464202,0.95,0.43787313,0.26295587,0.02287115,0.95,0.43796378,0.27330625,0.013554882,0.95,0.42611107,0.27612352,0.03403881,0.95,0.4721126,0.2709801,0.012771811,0.95,0.41703594,0.2848642,0.022519736,0.95,0.45211598,0.30034545,0.018374208,0.95,0.42409575,0.28630492,0.029888075,0.95,0.5364836,0.34674144,0.020618873,0.95,0.3926927,0.35626474,0.049560726,0.95,0.5605517,0.3831769,0.043583483,0.95,0.32156625,0.40949672,0.08176999,0.95,0.596851,0.40863413,0.013689977,0.95,0.3434326,0.4396526,0.08927832,0.95,0.5891254,0.4239864,0.020731602,0.95,0.34633517,0.4406789,0.08149334,0.95,0.592145,0.41087064,0.0056508216,0.95,0.35542148,0.44951382,0.066645436,0.95,0.5502584,0.39909008,0.042270053,0.95,0.3534388,0.42378703,0.07862541,0.95,0.49870157,0.53495884,0.016150773,0.95,0.43338525,0.5395852,0.06431308,0.95,0.5117022,0.6665482,0.014512952,0.95,0.44171193,0.65754855,0.04585852,0.95,0.5225988,0.77062136,0.24317035,0.95,0.45551276,0.76212525,0.26878422,0.95,0.5209814,0.77369237,0.36486238,0.95,0.47464666,0.7712889,0.2399693,0.95,0.51981556,0.8144075,0.16758849,0.95,0.41652247,0.8207824,0.1375654,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.2,0.43998092,0.26774806,0.024841012,0.95,0.44585446,0.26625466,0.034740716,0.95,0.45356253,0.2747359,0.017066514,0.95,0.4586058,0.2803535,0.02754691,0.95,0.43566597,0.26165834,0.022842491,0.95,0.43633538,0.2728424,0.012467574,0.95,0.42383105,0.27486163,0.033605292,0.95,0.47013706,0.26966998,0.012424733,0.95,0.4149157,0.28367946,0.02252258,0.95,0.45006022,0.29968512,0.017549591,0.95,0.42295572,0.28411615,0.029007345,0.95,0.53502613,0.3452953,0.020895738,0.95,0.39121023,0.35592192,0.04996066,0.95,0.5575729,0.38117638,0.044289615,0.95,0.31841907,0.40813917,0.08315171,0.95,0.59425366,0.40632167,0.013678373,0.95,0.34249115,0.43990698,0.09090094,0.95,0.5851608,0.4209276,0.02021338,0.95,0.34375903,0.4397135,0.082104646,0.95,0.5893532,0.40802744,0.005133867,0.95,0.35452807,0.44905174,0.06790594,0.95,0.5475672,0.39510107,0.041122478,0.95,0.3523398,0.42320573,0.07997803,0.95,0.4970012,0.53465766,0.016237339,0.95,0.4317961,0.5394771,0.06591218,0.95,0.50887257,0.6669475,0.014819829,0.95,0.44189373,0.65787613,0.04662006,0.95,0.5207328,0.7708104,0.24408336,0.95,0.45607638,0.7621595,0.27155107,0.95,0.51946604,0.7741444,0.36845693,0.95,0.47481057,0.77156824,0.24061377,0.95,0.5177017,0.81548584,0.1704306,0.95,0.4162491,0.8220096,0.13867626,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.23333333333333334,0.43863657,0.26649436,0.024278391,0.95,0.44431457,0.2656168,0.034866333,0.95,0.45202348,0.27359983,0.016960787,0.95,0.45728528,0.2796418,0.02756575,0.95,0.43390813,0.2608236,0.022726856,0.95,0.43512276,0.27261275,0.011605753,0.95,0.42219567,0.273902,0.033129532,0.95,0.4686131,0.268767,0.0121157,0.95,0.41339448,0.28283733,0.022577332,0.95,0.44851327,0.29921046,0.016879257,0.95,0.4221843,0.28259388,0.028313285,0.95,0.5338631,0.34418643,0.021208823,0.95,0.39015228,0.35570326,0.050482344,0.95,0.554924,0.37956345,0.044973925,0.95,0.3159473,0.40697443,0.0844904,0.95,0.5919969,0.4043898,0.013813295,0.95,0.34183228,0.44007766,0.092310034,0.95,0.5818386,0.41841453,0.01998096,0.95,0.3418764,0.4389599,0.08266322,0.95,0.5866602,0.40568206,0.0047880816,0.95,0.35392192,0.4487016,0.06905456,0.95,0.54548407,0.39184448,0.040315796,0.95,0.35174927,0.4228674,0.08116686,0.95,0.4956538,0.5344066,0.016423047,0.95,0.4304653,0.53940016,0.06722628,0.95,0.506554,0.6672099,0.01516185,0.95,0.44207293,0.6580758,0.047282487,0.95,0.5193055,0.7708834,0.24477367,0.95,0.4566302,0.76205283,0.273468,0.95,0.5180775,0.7745262,0.37071314,0.95,0.47508377,0.771762,0.24110584,0.95,0.51578355,0.81631875,0.17275004,0.95,0.41628546,0.8229363,0.13958651,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.26666666666666666,0.4376545,0.26559812,0.023802932,0.95,0.4431501,0.2651813,0.034894608,0.95,0.45084327,0.2727245,0.01682946,0.95,0.4563268,0.27909046,0.027546147,0.95,0.43251538,0.26028404,0.022575641,0.95,0.43422174,0.27249986,0.010921761,0.95,0.42102784,0.27315795,0.03266234,0.95,0.46745297,0.26813823,0.011850597,0.95,0.41229516,0.28221285,0.022671266,0.95,0.44733274,0.29884598,0.016343689,0.95,0.42166108,0.28153136,0.027788287,0.95,0.5329635,0.3433049,0.021535346,0.95,0.3894017,0.35555822,0.05107502,0.95,0.55259883,0.3782349,0.045630462,0.95,0.3139766,0.40599725,0.085759096,0.95,0.5900844,0.40274394,0.013993123,0.95,0.34135655,0.44020122,0.09352552,0.95,0.5790827,0.41634026,0.019910306,0.95,0.3404877,0.43837422,0.08318879,0.95,0.58417314,0.40370932,0.0045455876,0.95,0.35351673,0.44847515,0.070057094,0.95,0.5438674,0.38915598,0.039763156,0.95,0.35149533,0.42271835,0.08219417,0.95,0.49457896,0.5341979,0.016664432,0.95,0.42935923,0.5393372,0.06832167,0.95,0.5046786,0.66739714,0.015501656,0.95,0.44225276,0.65819454,0.04785901,0.95,0.518225,0.7709051,0.2453403,0.95,0.45714152,0.76187915,0.27482525,0.95,0.5168319,0.7748668,0.37213036,0.95,0.47543705,0.7719169,0.2414561,0.95,0.51407045,0.8169885,0.17466402,0.95,0.41649222,0.82365644,0.14034736,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.3,0.43694782,0.2649513,0.023411317,0.95,0.44228324,0.26487556,0.034868073,0.95,0.4499411,0.2720277,0.016679013,0.95,0.4556458,0.27864286,0.02750215,0.95,0.43142083,0.2599328,0.022416854,0.95,0.43355763,0.2724406,0.010374974,0.95,0.4201996,0.2725703,0.0322296,0.95,0.4665828,0.2676949,0.011628438,0.95,0.41149974,0.28173015,0.022792455,0.95,0.44642368,0.29855058,0.015918527,0.95,0.4213117,0.2807854,0.0274031,0.95,0.53228706,0.34258327,0.021863049,0.95,0.38887522,0.35545674,0.051695578,0.95,0.5505737,0.37712023,0.046259735,0.95,0.3123883,0.4051898,0.086940184,0.95,0.5884825,0.40132123,0.01416769,0.95,0.34100738,0.44030133,0.09456187,0.95,0.5768097,0.41461596,0.01993116,0.95,0.33945733,0.43792573,0.08367703,0.95,0.58192927,0.40202528,0.0043723653,0.95,0.35325897,0.4483629,0.07090301,0.95,0.5426114,0.38691026,0.0393941,0.95,0.35146153,0.42271456,0.08306702,0.95,0.49371672,0.5340234,0.01693573,0.95,0.42844388,0.5392784,0.069243744,0.95,0.50317335,0.66753805,0.01582459,0.95,0.44243515,0.65825987,0.04836119,0.95,0.5174088,0.7709046,0.24583435,0.95,0.45760185,0.7616783,0.27580664,0.95,0.51572627,0.7751769,0.37301424,0.95,0.47584233,0.7720534,0.24167955,0.95,0.51255274,0.81754225,0.17626078,0.95,0.41678998,0.8242298,0.140988,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
