frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.4903619,0.32315445,0.030837398,0.95,0.4903035,0.30351838,0.0151906395,0.95,0.50409675,0.30440158,0.03125374,0.95,0.49996355,0.29925486,0.019953825,0.95,0.4785449,0.31097978,0.029425314,0.95,0.4656471,0.30066934,0.023090566,0.95,0.46562672,0.29967037,0.034010027,0.95,0.5053117,0.30115548,0.027639305,0.95,0.44296673,0.3075561,0.0400269,0.95,0.49389353,0.31556025,0.03359553,0.95,0.48332825,0.32889426,0.020892046,0.95,0.5328284,0.36984763,0.053222477,0.95,0.42002213,0.3632665,0.045868136,0.95,0.5852057,0.40607277,0.04620024,0.95,0.3999434,0.41778132,0.055815775,0.95,0.55619025,0.44501874,0.047205016,0.95,0.38829938,0.42537382,0.04681452,0.95,0.5633754,0.45298314,0.0937559,0.95,0.38816795,0.4514199,0.030960942,0.95,0.57838994,0.43457383,0.031118462,0.95,0.40457815,0.4278241,0.051583588,0.95,0.55692106,0.4296796,0.054573547,0.95,0.39399788,0.42959335,0.03348697,0.95,0.5173753,0.5335597,0.035055723,0.95,0.44338402,0.53249794,0.030554812,0.95,0.50530386,0.64493346,0.05427731,0.95,0.43412247,0.63289917,0.042927083,0.95,0.54814523,0.7329975,0.21800523,0.95,0.44205603,0.73440367,0.22015177,0.95,0.50681573,0.7539404,0.18722978,0.95,0.48064795,0.73593545,0.19369411,0.95,0.53620994,0.7722418,0.10543093,0.95,0.45025915,0.7925149,0.07663019,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1,0.03333333333333333,0.501802,0.32990354,0.022374844,0.95,0.4983988,0.29967394,-0.0022432378,0.95,0.5201539,0.3072648,0.03503074,0.95,0.51781607,0.2972791,0.008347584,0.95,0.48612806,0.31208625,0.029665003,0.95,0.46662953,0.29164177,0.008824525,0.95,0.4671577,0.29599348,0.045792274,0.95,0.51060325,0.28766862,0.01712187,0.95,0.43997115,0.29834124,0.04877364,0.95,0.494204,0.30881575,0.02854827,0.95,0.48801807,0.32902157,0.015832089,0.95,0.54234207,0.37246564,0.05973451,0.95,0.41330263,0.35425445,0.038058653,0.95,0.61508054,0.38961437,0.034657694,0.95,0.40342122,0.42167816,0.05589915,0.95,0.5611671,0.4565612,0.03867532,0.95,0.38511005,0.42839715,0.059859153,0.95,0.56864053,0.4568423,0.116220005,0.95,0.38988897,0.46296626,0.024237012,0.95,0.6077238,0.43420607,0.009558309,0.95,0.42085665,0.43175036,0.06334195,0.95,0.56944144,0.42025235,0.05515086,0.95,0.39297998,0.42761958,0.036305748,0.95,0.52808833,0.5388024,0.03734863,0.95,0.44262853,0.5382673,0.026454985,0.95,0.50427634,0.65475523,0.06781544,0.95,0.43645465,0.63587135,0.04806064,0.95,0.57185405,0.73638046,0.25376114,0.95,0.43706208,0.73868823,0.25026554,0.95,0.49691945,0.7585337,0.20070344,0.95,0.5057793,0.735897,0.20031197,0.95,0.5573191,0.7739346,0.109170936,0.95,0.45740333,0.8113771,0.054384418,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.06666666666666667,0.51422685,0.3388066,0.008968419,0.95,0.5051738,0.29904637,-0.018376568,0.95,0.53794557,0.31310117,0.03896525,0.95,0.53668785,0.30081853,-0.005891772,0.95,0.4934447,0.3174457,0.027044939,0.95,0.46272936,0.28787228,-0.008176288,0.95,0.46783787,0.30222726,0.06337118,0.95,0.5139089,0.27854726,0.0027684176,0.95,0.4391479,0.2883055,0.058384556,0.95,0.48527572,0.30643675,0.020213075,0.95,0.4864017,0.3318187,0.01167435,0.95,0.55317706,0.38292196,0.06768572,0.95,0.4015734,0.34515843,0.029768921,0.95,0.6421243,0.37436268,0.02135753,0.95,0.4022536,0.42741588,0.06117477,0.95,0.57645977,0.4721155,0.02848386,0.95,0.37879694,0.4405291,0.08605303,0.95,0.5707988,0.46486458,0.13548625,0.95,0.38072443,0.47682166,0.021240631,0.95,0.63917994,0.43116188,-0.008181043,0.95,0.43754798,0.44293597,0.08239326,0.95,0.58207196,0.40980673,0.053760085,0.95,0.38216388,0.43002513,0.04420174,0.95,0.5438022,0.5467766,0.04062449,0.95,0.44345933,0.54451805,0.025642622,0.95,0.51321024,0.6667121,0.0777859,0.95,0.44332668,0.6399573,0.050447434,0.95,0.59437233,0.74846125,0.2838051,0.95,0.4349872,0.74458206,0.2773582,0.95,0.4824669,0.7604887,0.21972519,0.95,0.5296019,0.73867226,0.21120505,0.95,0.5784271,0.7814181,0.106056355,0.95,0.462418,0.82929265,0.03144251,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.1,0.52607626,0.34743544,-0.0073086815,0.95,0.5093264,0.29942814,-0.031972803,0.95,0.55412555,0.32127002,0.04111085,0.95,0.5518199,0.30793738,-0.02365431,0.95,0.5020335,0.32763088,0.021728452,0.95,0.4591942,0.28935727,-0.024732908,0.95,0.46947387,0.318564,0.081956916,0.95,0.5189327,0.27444765,-0.010290574,0.95,0.4414767,0.27977082,0.067131326,0.95,0.46888006,0.3064126,0.008162047,0.95,0.48116484,0.33670828,0.0064933132,0.95,0.565671,0.39865407,0.07921323,0.95,0.38670495,0.33702645,0.02200334,0.95,0.6644594,0.36179668,0.010062438,0.95,0.39879167,0.43386278,0.076064974,0.95,0.5953899,0.4901489,0.017597508,0.95,0.37222773,0.4598983,0.12063525,0.95,0.5677564,0.4771443,0.15038463,0.95,0.3617727,0.49232757,0.017921861,0.95,0.66615146,0.422252,-0.020660613,0.95,0.45546746,0.4554098,0.107447386,0.95,0.5928871,0.39890265,0.052198816,0.95,0.36378282,0.4367123,0.05354398,0.95,0.5621829,0.55730796,0.045085683,0.95,0.44840536,0.54982215,0.027260764,0.95,0.5331928,0.6788975,0.08412143,0.95,0.45701566,0.6455855,0.049441516,0.95,0.61411387,0.76683533,0.30581665,0.95,0.43953243,0.7504501,0.30078015,0.95,0.46816447,0.76072955,0.23927143,0.95,0.550294,0.7437245,0.22376394,0.95,0.5978754,0.794347,0.09977498,0.95,0.46375337,0.8417464,0.010059697,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.13333333333333333,0.5350904,0.35239014,-0.022437312,0.95,0.5117716,0.29723755,-0.04232674,0.95,0.5653147,0.32969987,0.04042764,0.95,0.56150323,0.3157322,-0.04057355,0.95,0.512898,0.34015536,0.015061317,0.95,0.46031672,0.29333383,-0.037927046,0.95,0.4728217,0.3402476,0.09484987,0.95,0.5279822,0.27555352,-0.017835543,0.95,0.4478328,0.27367425,0.071824625,0.95,0.45194477,0.30743676,-0.0055093737,0.95,0.47438926,0.3413398,-0.0014318356,0.95,0.5786392,0.4127902,0.092700385,0.95,0.37340495,0.33023393,0.014601373,0.95,0.68128437,0.35336202,0.002412037,0.95,0.39893028,0.4401538,0.09996869,0.95,0.6115114,0.5068946,0.0067055007,0.95,0.3701895,0.4817618,0.14877819,0.95,0.5653089,0.49249804,0.15982261,0.95,0.34204602,0.5071624,0.012559374,0.95,0.6844796,0.4095612,-0.02706917,0.95,0.4734096,0.4647085,0.13144481,0.95,0.59953207,0.3900564,0.05217349,0.95,0.3416036,0.4481512,0.059111226,0.95,0.5793993,0.5675455,0.049972665,0.95,0.4601107,0.5523177,0.028235136,0.95,0.5599309,0.68740034,0.086991645,0.95,0.47669467,0.65345126,0.045314226,0.95,0.6274129,0.7837807,0.31864455,0.95,0.45174167,0.7548093,0.3184839,0.95,0.4574549,0.75982356,0.25731388,0.95,0.56461203,0.7505702,0.23268713,0.95,0.6123789,0.80923635,0.093044534,0.95,0.45931336,0.84806514,-0.006908784,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.16666666666666666,0.5406854,0.3515412,-0.033997517,0.95,0.5150119,0.28979504,-0.049409732,0.95,0.5709526,0.33523008,0.037283875,0.95,0.5668748,0.32285517,-0.051472705,0.95,0.5258596,0.35104465,0.009398568,0.95,0.46804944,0.29683945,-0.04676777,0.95,0.47739553,0.35903767,0.100760095,0.95,0.54085547,0.28089878,-0.019119296,0.95,0.4575934,0.26943186,0.07100204,0.95,0.44311568,0.30843756,-0.017408554,0.95,0.4681935,0.3434498,-0.012360623,0.95,0.5907541,0.42067727,0.10446073,0.95,0.3658889,0.3242027,0.008333229,0.95,0.69263816,0.34884602,-0.0016025816,0.95,0.40908217,0.44474924,0.12565276,0.95,0.6228808,0.5195585,-0.003926746,0.95,0.37563747,0.5013074,0.16380706,0.95,0.572947,0.50718945,0.16371271,0.95,0.32992148,0.51888716,0.008389709,0.95,0.69398135,0.39809236,-0.02910639,0.95,0.48896837,0.47034708,0.14757791,0.95,0.60456073,0.38398692,0.05543556,0.95,0.31948698,0.4638219,0.058271836,0.95,0.5925423,0.5747023,0.05465787,0.95,0.4784078,0.55183613,0.025440266,0.95,0.5843778,0.69164366,0.08710286,0.95,0.49782917,0.6632867,0.0390977,0.95,0.6341571,0.7941396,0.32439572,0.95,0.47123617,0.7577129,0.32983539,0.95,0.45259288,0.7587546,0.27174968,0.95,0.57235235,0.7584181,0.23405965,0.95,0.62120205,0.82177633,0.08666615,0.95,0.44906774,0.8507432,-0.018255034,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.2,0.5444688,0.34508315,-0.042073768,0.95,0.52128696,0.27805912,-0.053822234,0.95,0.5722938,0.3359909,0.034391835,0.95,0.56959176,0.33009854,-0.05679133,0.95,0.53886956,0.3579311,0.0067555383,0.95,0.48103237,0.2998165,-0.052067883,0.95,0.48286745,0.37167367,0.10227129,0.95,0.55434036,0.28817043,-0.015758093,0.95,0.46904057,0.26643965,0.06679326,0.95,0.44569284,0.30951974,-0.026019681,0.95,0.46364492,0.34341934,-0.024360185,0.95,0.6012562,0.42341933,0.11270799,0.95,0.36524045,0.3189491,0.004554385,0.95,0.69928217,0.34706032,-0.003803297,0.95,0.42763606,0.4475497,0.1458394,0.95,0.6313414,0.52787733,-0.012454088,0.95,0.38629043,0.5160852,0.17017832,0.95,0.5937035,0.5181608,0.16246009,0.95,0.32340738,0.52691835,0.009531864,0.95,0.69695216,0.39099878,-0.03044657,0.95,0.5020617,0.47374326,0.1558839,0.95,0.61336106,0.3796883,0.06184461,0.95,0.30054018,0.48090088,0.05315706,0.95,0.60160327,0.57874084,0.05887813,0.95,0.4981541,0.55019385,0.019367803,0.95,0.60106635,0.693527,0.08561663,0.95,0.5151509,0.672792,0.03246506,0.95,0.6367577,0.7991928,0.32648313,0.95,0.49453992,0.760946,0.33596325,0.95,0.45429444,0.7585577,0.282097,0.95,0.57559764,0.76687604,0.23050497,0.95,0.6262573,0.8307083,0.08081145,0.95,0.4352815,0.8518179,-0.024999762,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.23333333333333334,0.54840386,0.33560625,-0.04718418,0.95,0.5306838,0.2664607,-0.056370392,0.95,0.57101905,0.33194357,0.035966627,0.95,0.57124525,0.33722493,-0.059165213,0.95,0.550193,0.3600414,0.0072863735,0.95,0.49538985,0.30354387,-0.054975435,0.95,0.4901526,0.3790523,0.102272,0.95,0.56463563,0.29298577,-0.010350268,0.95,0.48014265,0.26488772,0.0637524,0.95,0.45808333,0.31130484,-0.031756945,0.95,0.4611424,0.34322372,-0.03479284,0.95,0.6096762,0.42406884,0.117997974,0.95,0.371736,0.3147593,0.0028455716,0.95,0.70269346,0.34673616,-0.007168471,0.95,0.44584805,0.45002538,0.15880893,0.95,0.639804,0.53288466,-0.016485471,0.95,0.3968199,0.5254644,0.17229246,0.95,0.62134,0.5252413,0.15794156,0.95,0.31626374,0.53235394,0.016508376,0.95,0.6963048,0.38789326,-0.033671502,0.95,0.5131822,0.47675377,0.15962683,0.95,0.6279237,0.37709713,0.06937846,0.95,0.28680474,0.49624297,0.047073893,0.95,0.60790086,0.58080393,0.06245551,0.95,0.5126437,0.54879427,0.013757811,0.95,0.6104419,0.694335,0.0838081,0.95,0.52639294,0.67978406,0.028182358,0.95,0.63758916,0.8014272,0.32743418,0.95,0.51302034,0.7662253,0.33839962,0.95,0.4582953,0.75887614,0.29098743,0.95,0.5761084,0.77541864,0.22445792,0.95,0.6292136,0.8364669,0.077018246,0.95,0.42125246,0.8522419,-0.02840829,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.26666666666666666,0.5532158,0.32667154,-0.049942788,0.95,0.5413895,0.257842,-0.05779542,0.95,0.56888235,0.32441995,0.04258809,0.95,0.5730257,0.3433414,-0.06022228,0.95,0.5587688,0.3580132,0.008871911,0.95,0.5082941,0.30830935,-0.05649072,0.95,0.49864158,0.38269633,0.10252428,0.95,0.57082814,0.29284012,-0.005861584,0.95,0.48947766,0.265064,0.06385762,0.95,0.4755081,0.31386635,-0.03496012,0.95,0.46171215,0.34298792,-0.04224243,0.95,0.6157487,0.42458183,0.12111031,0.95,0.38444194,0.3113319,0.0006177549,0.95,0.7044474,0.34703413,-0.012157797,0.95,0.4580375,0.45327517,0.1662776,0.95,0.64961046,0.5358219,-0.017412331,0.95,0.40253115,0.5306286,0.17243487,0.95,0.64708126,0.5295962,0.15348567,0.95,0.30567762,0.5364367,0.02679666,0.95,0.6942833,0.38755295,-0.03778803,0.95,0.5216513,0.48079363,0.16113128,0.95,0.64536977,0.37640435,0.07689659,0.95,0.27757886,0.5082515,0.04036471,0.95,0.61218816,0.5817651,0.06532041,0.95,0.5195197,0.54810613,0.011197657,0.95,0.6150976,0.6946381,0.08264825,0.95,0.5325046,0.68402123,0.027616957,0.95,0.63808006,0.80240387,0.32798785,0.95,0.5226493,0.773377,0.33884272,0.95,0.45890245,0.75869524,0.30075026,0.95,0.57488996,0.7832697,0.2159127,0.95,0.63051665,0.83996606,0.076781616,0.95,0.41128,0.8524151,-0.029500606,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.3,0.5586855,0.31974527,-0.051430095,0.95,0.55218446,0.2522491,-0.05850468,0.95,0.56780565,0.31463403,0.051787175,0.95,0.5754901,0.3485245,-0.060637336,0.95,0.56389064,0.35485893,0.010347664,0.95,0.5184637,0.3129243,-0.057330042,0.95,0.50544226,0.38423303,0.10310719,0.95,0.5748294,0.28917894,-0.004707776,0.95,0.49591178,0.26700372,0.06541928,0.95,0.49022454,0.31564227,-0.03556458,0.95,0.4649461,0.34096006,-0.046653673,0.95,0.61992383,0.42438406,0.1227882,0.95,0.39794397,0.30855483,-0.004804688,0.95,0.7053948,0.34774962,-0.016747786,0.95,0.46561953,0.4566697,0.1701465,0.95,0.6574187,0.53738856,-0.020411823,0.95,0.40197217,0.533064,0.17185548,0.95,0.66553503,0.5328349,0.15157738,0.95,0.29497036,0.539285,0.037069343,0.95,0.6936705,0.38965932,-0.041662756,0.95,0.5274147,0.48624644,0.1612321,0.95,0.6602424,0.37602958,0.08294304,0.95,0.27059868,0.51628745,0.034690335,0.95,0.6145182,0.58212745,0.06729459,0.95,0.5207073,0.5489762,0.010585754,0.95,0.6174422,0.6947662,0.0828597,0.95,0.53523254,0.6862535,0.028930027,0.95,0.63851976,0.8029483,0.32828197,0.95,0.5270466,0.78090256,0.3385857,0.95,0.45347577,0.7575039,0.31130987,0.95,0.57410246,0.7894103,0.20913592,0.95,0.6307793,0.84195983,0.07874353,0.95,0.4103877,0.8524597,-0.029543178,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
