frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.4818456,0.32581195,0.02804793,0.95,0.48597223,0.30057028,0.017672498,0.95,0.49248278,0.31365246,0.025794575,0.95,0.5029268,0.3193026,0.011749351,0.95,0.46138582,0.31700334,0.018572373,0.95,0.45561427,0.3105944,0.02372323,0.95,0.46008086,0.31972957,0.038836338,0.95,0.4982239,0.31866786,0.026787775,0.95,0.45396033,0.3153002,0.032069974,0.95,0.4702772,0.3402134,0.027107047,0.95,0.46437803,0.3321431,0.011685947,0.95,0.5190402,0.38255712,0.04253676,0.95,0.42529774,0.37442943,0.03977656,0.95,0.55846506,0.426896,0.049353853,0.95,0.39986166,0.42356196,0.055749476,0.95,0.57220876,0.4484366,0.048253532,0.95,0.38967767,0.44559416,0.06314621,0.95,0.57372874,0.44721675,0.07224844,0.95,0.39719433,0.4506816,0.046046603,0.95,0.603449,0.43719727,0.037649103,0.95,0.38289407,0.45541427,0.061166205,0.95,0.5604325,0.4425424,0.040761407,0.95,0.3648651,0.4484226,0.035763454,0.95,0.5241418,0.53984326,0.040677186,0.95,0.4391739,0.5328265,0.028483283,0.95,0.51417625,0.64756763,0.04413094,0.95,0.43019167,0.64190584,0.040888894,0.95,0.51785505,0.74312824,0.22543475,0.95,0.43770957,0.7385613,0.20771323,0.95,0.4826528,0.7421421,0.22292131,0.95,0.47606063,0.74244875,0.19452547,0.95,0.53054714,0.7759863,0.093125604,0.95,0.43120655,0.7902302,0.08168576,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1,0.03333333333333333,0.48525223,0.3312965,0.01988715,0.95,0.4914534,0.2902399,0.0026522947,0.95,0.49496436,0.32042402,0.022200538,0.95,0.51606065,0.32969844,-0.0048663635,0.95,0.46419004,0.3213353,0.011239799,0.95,0.45361575,0.31378272,0.014956754,0.95,0.46155816,0.32897133,0.048085008,0.95,0.50309426,0.31857195,0.020053418,0.95,0.45811614,0.3191356,0.032655586,0.95,0.4602426,0.35101187,0.018831601,0.95,0.45841196,0.33549446,-0.002710549,0.95,0.52215505,0.3922379,0.042306855,0.95,0.42402995,0.3724869,0.03138612,0.95,0.57296205,0.42614582,0.04363286,0.95,0.40651634,0.4322943,0.060363203,0.95,0.582748,0.46179137,0.035065707,0.95,0.3829337,0.45967656,0.08055769,0.95,0.58659244,0.4469614,0.07798531,0.95,0.3998921,0.45530984,0.04350503,0.95,0.63541734,0.43101123,0.020212732,0.95,0.37676373,0.47337055,0.07551519,0.95,0.5733421,0.44487172,0.033589024,0.95,0.3498256,0.46261388,0.035524834,0.95,0.53360254,0.54782957,0.04656783,0.95,0.43490526,0.537504,0.026031284,0.95,0.52309364,0.6581468,0.05285139,0.95,0.43478528,0.65080667,0.041191045,0.95,0.5261982,0.7470846,0.25791994,0.95,0.43306908,0.7435626,0.22845052,0.95,0.46422198,0.7411941,0.2492231,0.95,0.49615914,0.7482569,0.19603689,0.95,0.543642,0.77829164,0.092538394,0.95,0.42626402,0.80263245,0.068451725,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.06666666666666667,0.49065745,0.33518377,0.010702713,0.95,0.49942395,0.27951574,-0.01220304,0.95,0.49653956,0.32614037,0.020382866,0.95,0.52814806,0.33887258,-0.019241137,0.95,0.4730021,0.32614937,0.003125949,0.95,0.4521315,0.31968802,0.00506183,0.95,0.46701565,0.3393191,0.057057913,0.95,0.5109191,0.31836915,0.012274306,0.95,0.46276012,0.32268578,0.032709237,0.95,0.45234436,0.3606264,0.01177488,0.95,0.45152208,0.33886856,-0.01612482,0.95,0.53103405,0.4017973,0.043172594,0.95,0.4223212,0.36895564,0.022735909,0.95,0.5939293,0.4241873,0.037016418,0.95,0.41339284,0.4426261,0.06914999,0.95,0.59557927,0.47523326,0.020166084,0.95,0.37597936,0.4745135,0.09806059,0.95,0.5975953,0.45140696,0.08319144,0.95,0.3940841,0.45877212,0.04070069,0.95,0.6575188,0.42123434,0.00637079,0.95,0.37336752,0.49001577,0.09007978,0.95,0.5850353,0.44562444,0.028594956,0.95,0.33820143,0.47859576,0.03504035,0.95,0.5428901,0.555129,0.051395286,0.95,0.4329802,0.54175305,0.025816558,0.95,0.53665644,0.6680347,0.060767937,0.95,0.4452756,0.65866524,0.03874755,0.95,0.5400892,0.75154155,0.28203702,0.95,0.4308879,0.74843854,0.24560301,0.95,0.451336,0.7401651,0.27311784,0.95,0.51404697,0.7563311,0.1970969,0.95,0.5554691,0.7841159,0.0910461,0.95,0.42278117,0.81398684,0.057117037,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.1,0.49755687,0.33738977,0.0011878341,0.95,0.5106001,0.26763108,-0.025408378,0.95,0.4968532,0.33036,0.020909954,0.95,0.53984356,0.3465189,-0.032004803,0.95,0.4875657,0.33162406,-0.0061922986,0.95,0.45265132,0.32703722,-0.0056436933,0.95,0.4773106,0.3498387,0.06546097,0.95,0.522006,0.31730822,0.0046710577,0.95,0.46966696,0.3251534,0.031671587,0.95,0.44626868,0.3681809,0.006030905,0.95,0.4437284,0.34162888,-0.028675383,0.95,0.54532355,0.40992728,0.04532616,0.95,0.4221018,0.36420316,0.012651076,0.95,0.6198171,0.42124897,0.029558554,0.95,0.42232084,0.4536458,0.08229102,0.95,0.6095043,0.4880236,0.0053751883,0.95,0.37218004,0.4888727,0.11516862,0.95,0.60852504,0.45903754,0.08913728,0.95,0.38410574,0.46303797,0.03905799,0.95,0.67333925,0.40879288,-0.0042759483,0.95,0.37315792,0.5044664,0.105300255,0.95,0.59741545,0.4433311,0.026442228,0.95,0.32746652,0.49547884,0.032778062,0.95,0.5536532,0.5620828,0.05589167,0.95,0.43444386,0.5451975,0.026413219,0.95,0.55337644,0.67662525,0.0678243,0.95,0.4599563,0.6659171,0.034537,0.95,0.5575396,0.75717443,0.3015631,0.95,0.43027848,0.7533675,0.26011357,0.95,0.4418516,0.7388694,0.29641032,0.95,0.53009814,0.76537865,0.19900337,0.95,0.5663803,0.79328436,0.08936297,0.95,0.4194123,0.8241954,0.046831038,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.13333333333333333,0.5056211,0.33731446,-0.007934839,0.95,0.5254597,0.25536713,-0.036032178,0.95,0.49626717,0.3318411,0.024448166,0.95,0.55078447,0.35278362,-0.042834755,0.95,0.5070776,0.3375146,-0.016240405,0.95,0.45644686,0.3349599,-0.016398596,0.95,0.492227,0.35941547,0.072492495,0.95,0.53548336,0.3148791,-0.0019625297,0.95,0.4798595,0.32613996,0.029799508,0.95,0.44319147,0.37337115,0.000928472,0.95,0.43578595,0.34322968,-0.039535664,0.95,0.56436706,0.41586798,0.049086735,0.95,0.42503813,0.3577215,0.00081816805,0.95,0.6466364,0.41685706,0.020061268,0.95,0.43373066,0.4641411,0.09893165,0.95,0.62471896,0.49935672,-0.008284855,0.95,0.37156463,0.50135523,0.13037534,0.95,0.6222775,0.46881294,0.09700982,0.95,0.37366045,0.46967942,0.040039804,0.95,0.68622386,0.39617148,-0.013805751,0.95,0.37790838,0.5166042,0.12054668,0.95,0.612529,0.43680385,0.027190292,0.95,0.31526273,0.51191413,0.028303241,0.95,0.56686246,0.5685391,0.06019024,0.95,0.43986264,0.5472573,0.02674812,0.95,0.57161605,0.6833373,0.07387314,0.95,0.47689998,0.67260885,0.029775448,0.95,0.57568353,0.76431125,0.31725824,0.95,0.43092066,0.75887954,0.27256453,0.95,0.4346029,0.73738647,0.3182069,0.95,0.5441919,0.7747019,0.20280607,0.95,0.5758616,0.8048757,0.08791414,0.95,0.4147723,0.832687,0.037548713,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.16666666666666666,0.51470554,0.33425525,-0.016101532,0.95,0.54247963,0.24471997,-0.04394325,0.95,0.4963951,0.32900658,0.031522885,0.95,0.55995643,0.35801727,-0.05075187,0.95,0.5277617,0.34316492,-0.02534313,0.95,0.46413526,0.342863,-0.026330674,0.95,0.50901294,0.3672345,0.077830225,0.95,0.5495074,0.31119037,-0.0073101595,0.95,0.4929032,0.32533023,0.02804902,0.95,0.4450252,0.37621313,-0.004320004,0.95,0.42976505,0.34296817,-0.047635384,0.95,0.58543175,0.4195401,0.054900546,0.95,0.43235993,0.34894067,-0.0118783815,0.95,0.669252,0.41053623,0.0079993205,0.95,0.44658938,0.4726994,0.11618919,0.95,0.6416037,0.50837135,-0.020135839,0.95,0.371429,0.5108535,0.14205147,0.95,0.641137,0.4795583,0.10768559,0.95,0.36527985,0.47946486,0.044923395,0.95,0.69787085,0.38623446,-0.024831962,0.95,0.38977572,0.52641314,0.13448758,0.95,0.6321982,0.42606202,0.030409535,0.95,0.3008419,0.52590287,0.022245796,0.95,0.5813552,0.5740249,0.06409729,0.95,0.44825754,0.54752326,0.025821416,0.95,0.588639,0.687941,0.07864928,0.95,0.49383828,0.67839473,0.02615856,0.95,0.5910965,0.7726725,0.3286823,0.95,0.4326404,0.7656127,0.2834142,0.95,0.4287903,0.73589987,0.3362108,0.95,0.5556179,0.7839331,0.20969485,0.95,0.5833234,0.81687784,0.08665179,0.95,0.4077272,0.83906144,0.029669529,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.2,0.5242816,0.32787442,-0.022929173,0.95,0.5579076,0.23718071,-0.049621955,0.95,0.49922425,0.3210923,0.04199452,0.95,0.56684124,0.36250085,-0.055489432,0.95,0.54453313,0.34761202,-0.031894717,0.95,0.474526,0.3502972,-0.034940235,0.95,0.5230722,0.3730614,0.08232329,0.95,0.5617454,0.30674994,-0.011727877,0.95,0.5063448,0.32260576,0.027331159,0.95,0.4530596,0.37699533,-0.009400853,0.95,0.4280018,0.3399298,-0.052798375,0.95,0.60432,0.42141548,0.062451992,0.95,0.44380167,0.33875397,-0.02381088,0.95,0.6848242,0.40284893,-0.0044254838,0.95,0.45956925,0.47824767,0.13048828,0.95,0.65930134,0.5147138,-0.030166443,0.95,0.3687608,0.51703894,0.1497646,0.95,0.66376483,0.49033353,0.12131656,0.95,0.35877097,0.49139714,0.053188447,0.95,0.70761013,0.38089082,-0.038418982,0.95,0.40795556,0.5338006,0.14543734,0.95,0.6555931,0.4128268,0.035771724,0.95,0.28558528,0.5358454,0.015862701,0.95,0.5941573,0.5780581,0.06736863,0.95,0.45669878,0.5461298,0.023679258,0.95,0.6019002,0.6907304,0.082318306,0.95,0.5083249,0.68276083,0.025124038,0.95,0.6021563,0.78099674,0.3360393,0.95,0.43528125,0.77326894,0.29284102,0.95,0.4236115,0.73466337,0.34881696,0.95,0.5636189,0.7925077,0.2208055,0.95,0.58907545,0.8270496,0.085355535,0.95,0.39967304,0.84357744,0.023173941,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.23333333333333334,0.5336689,0.31913212,-0.028292663,0.95,0.56907487,0.2327534,-0.05350866,0.95,0.5052939,0.30924544,0.054399423,0.95,0.5720768,0.36611614,-0.057858434,0.95,0.5553817,0.35025585,-0.035706647,0.95,0.48520932,0.35647783,-0.041819192,0.95,0.5318437,0.3771263,0.087227896,0.95,0.5706348,0.30196533,-0.015712347,0.95,0.51737255,0.3181752,0.027950132,0.95,0.46628514,0.37620965,-0.01306611,0.95,0.43152526,0.3340879,-0.055699788,0.95,0.6179738,0.42217964,0.07026453,0.95,0.4569365,0.32925633,-0.03370155,0.95,0.6940603,0.39507556,-0.0141314035,0.95,0.47167116,0.48066255,0.14062099,0.95,0.6753228,0.51881003,-0.03890654,0.95,0.36250535,0.5204422,0.15427108,0.95,0.68465877,0.5007186,0.1363442,0.95,0.3523211,0.5030948,0.06235261,0.95,0.7146166,0.38060018,-0.05237547,0.95,0.4276395,0.5388487,0.15267226,0.95,0.6773147,0.39913994,0.04278605,0.95,0.27140498,0.5418019,0.010648284,0.95,0.6033549,0.58063465,0.06987355,0.95,0.46188095,0.54408,0.021623459,0.95,0.61087006,0.69230956,0.08539558,0.95,0.518884,0.68558586,0.026922213,0.95,0.6096675,0.7879051,0.34027812,0.95,0.4390275,0.78067684,0.30039376,0.95,0.41827548,0.73373616,0.35645354,0.95,0.5685088,0.7996436,0.23561913,0.95,0.59411937,0.8344176,0.08375455,0.95,0.3949064,0.84676766,0.017279102,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.26666666666666666,0.5426903,0.3102108,-0.03247672,0.95,0.57612413,0.23047414,-0.055853166,0.95,0.5132585,0.29649696,0.06640316,0.95,0.5767683,0.36853004,-0.058888074,0.95,0.5616734,0.3513971,-0.03744442,0.95,0.4945225,0.3606384,-0.046716824,0.95,0.5360051,0.37977478,0.09290063,0.95,0.57634515,0.29727745,-0.019068975,0.95,0.52499217,0.31285223,0.030031765,0.95,0.4811833,0.37440175,-0.014822391,0.95,0.44004044,0.3273022,-0.057193063,0.95,0.62610674,0.4224743,0.07678617,0.95,0.46861207,0.3219482,-0.040926736,0.95,0.69912267,0.38802955,-0.020278705,0.95,0.4822325,0.48068693,0.14778124,0.95,0.68773264,0.5213935,-0.04639147,0.95,0.35379207,0.52186996,0.1566377,0.95,0.6993854,0.5103807,0.14974824,0.95,0.34540734,0.5127051,0.07050644,0.95,0.7192835,0.38459128,-0.06353928,0.95,0.4450396,0.54206675,0.15696307,0.95,0.6925094,0.3864361,0.049794577,0.95,0.25942352,0.5449915,0.007829618,0.95,0.60914344,0.5821466,0.07160299,0.95,0.4620805,0.5428991,0.020875987,0.95,0.6167371,0.6932339,0.08813489,0.95,0.5256403,0.6872735,0.03044653,0.95,0.6151206,0.79292727,0.34248826,0.95,0.44395795,0.7868252,0.305738,0.95,0.41251102,0.73287743,0.3606991,0.95,0.57166845,0.8049034,0.25074044,0.95,0.59876806,0.8392904,0.081254326,0.95,0.39610085,0.84898937,0.010892411,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.3,0.5509754,0.30277172,-0.035958927,0.95,0.58031344,0.22934222,-0.057020776,0.95,0.52145284,0.28580987,0.07625698,0.95,0.58119893,0.3696591,-0.059274796,0.95,0.5654036,0.35165104,-0.037694044,0.95,0.50185186,0.36253044,-0.04986295,0.95,0.53727347,0.38135883,0.098649226,0.95,0.5798578,0.29327944,-0.021266785,0.95,0.52980095,0.3077246,0.033589877,0.95,0.4942402,0.3721114,-0.015425366,0.95,0.45223993,0.32186407,-0.057933055,0.95,0.63027614,0.4227534,0.08125865,0.95,0.47726867,0.3171007,-0.045580495,0.95,0.7017951,0.38208324,-0.023667341,0.95,0.49103478,0.47929296,0.15313737,0.95,0.69662505,0.5229318,-0.052120116,0.95,0.34444764,0.52203166,0.15777138,0.95,0.7081231,0.5187371,0.15939842,0.95,0.33864313,0.5198237,0.0772899,0.95,0.72235566,0.39115453,-0.07106311,0.95,0.45926943,0.54409885,0.15951306,0.95,0.7013791,0.37592328,0.05453795,0.95,0.2500549,0.54651344,0.008048054,0.95,0.61252546,0.5829799,0.07261101,0.95,0.457559,0.54343015,0.02183629,0.95,0.620868,0.69382155,0.09036876,0.95,0.52952534,0.6883375,0.033978112,0.95,0.6194541,0.7962948,0.34351724,0.95,0.44948614,0.79139394,0.3091724,0.95,0.40702426,0.7316151,0.36286652,0.95,0.5741413,0.80837744,0.26262963,0.95,0.6027145,0.8422758,0.077423766,0.95,0.40194407,0.8504539,0.0037071977,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
