frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.8817788245794662,0.19641208481955366,0.0,0.9999947547912598,0.8987043595814206,0.18957858715024023,0.0,0.999993085861206,0.9090499844584433,0.19197535264742135,0.0,0.9999924898147583,0.9187234861033782,0.19460150703683604,0.0,0.9999961853027344,0.8745281938072691,0.18666484806087474,0.0,0.9999880790710449,0.866720064953491,0.18680829028566406,0.0,0.9999816417694092,0.8584031258429679,0.1870194584964872,0.0,0.9999833106994629,0.9305356086550898,0.20662881183874357,0.0,0.9999967813491821,0.842641312342424,0.195433180440556,0.0,0.9999434947967529,0.8926699082334563,0.21459701500989348,0.0,0.9999935626983643,0.860130833995926,0.21074325481911646,0.0,0.9999809265136719,0.9708841468070771,0.29493663777838236,0.0,0.999990701675415,0.7418011576979312,0.2622255734005175,0.0,0.9996354579925537,0.9769339532285307,0.3926853358328762,0.0,0.9479009509086609,0.5889988995932204,0.22203846213284079,0.0,0.9489952325820923,0.9115578219607161,0.44635186266232235,0.0,0.9707819223403931,0.5950308844342933,0.11622724468474621,0.0,0.963803231716156,0.8770191694473055,0.47442907386726435,0.0,0.9638186097145081,0.6250187715033556,0.10147020601100848,0.0,0.9371568560600281,0.861098285738405,0.461699219433578,0.0,0.9666309356689453,0.6357960071597066,0.0994870276092649,0.0,0.9376800656318665,0.8660677729786693,0.45297000979210117,0.0,0.939460039138794,0.6301859984031092,0.10551580557456375,0.0,0.9231410026550293,0.8318015170264083,0.47446731795797803,0.0,0.9997102618217468,0.7119262581105001,0.4626502934452537,0.09049526118784108,0.9994284510612488,0.7696967337514974,0.602037672813122,0.0,0.5855687856674194,0.4211489260196687,0.5740035772323611,0.10580644756555557,0.6,0.7515525951252118,0.7150847419992195,0.3499466797688622,0.7877114415168762,0.47111091017723083,0.6645252704620361,0.28978493809700023,0.6,0.707835170772526,0.7169520963322034,0.27355047164263446,0.6,0.3736301064491275,0.6516057848930358,0.44595819711685175,0.6,0.6980218778957021,0.7623166521112406,0.1182238719022304,0.8089973330497742,0.4639680981636047,0.7117995023727417,0.09962499141693111,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
1,0.03333333333333333,0.8708551000881867,0.19849351413183283,0.0,0.9999940395355225,0.887660815165593,0.19163212263500767,0.0,0.9999918937683105,0.8966570300655766,0.19389175649706308,0.0,0.9999912977218628,0.9055261253476978,0.19632771777939964,0.0,0.9999955296516418,0.8631197097418195,0.1882277669814917,0.0,0.9999860525131226,0.8546801497052603,0.18799070409544705,0.0,0.9999786615371704,0.8454257499921572,0.1878284661919921,0.0,0.9999805092811584,0.9145153206545161,0.20825049875082668,0.0,0.9999961853027344,0.8282384030468818,0.19621890283131108,0.0,0.9999327063560486,0.8806109165811876,0.21624530507968026,0.0,0.9999917149543762,0.8470043298247814,0.21262400404556653,0.0,0.9999756813049316,0.9568770769592765,0.2979017154320138,0.0,0.9999896287918091,0.7253904484368705,0.2655209753063176,0.0,0.9995645880699158,0.9764299826188524,0.3928525199840121,0.0,0.9471907615661621,0.5790798937107304,0.2170557206744081,0.0,0.943503737449646,0.9068473256551303,0.4454107499205984,0.0,0.9683893322944641,0.570253352810453,0.10624626742584722,0.0,0.9584766626358032,0.8735411429738669,0.4736886997739753,0.0,0.9607573747634888,0.6058277583622436,0.08522845361824632,0.0,0.9311042428016663,0.8585223843167712,0.4597994272525496,0.0,0.9636904001235962,0.6171897374666655,0.0833506875677959,0.0,0.9315958023071289,0.8635607345120891,0.4514062331689821,0.0,0.9361589550971985,0.6083005091527127,0.08964037681584584,0.0,0.9178144931793213,0.8255815493476979,0.4769778514241838,0.0,0.999705970287323,0.7060651454058562,0.46408324996074596,0.08629483281524039,0.9994158744812012,0.7712944266679405,0.6067451334499812,0.0,0.6036468744277954,0.42114892601966875,0.5740035772323611,0.10580644756555559,0.6,0.7495825720000099,0.7174971003632447,0.2586040244131653,0.7927297353744507,0.4711109101772309,0.664525270462036,0.28978493809700023,0.6,0.7030255527763101,0.716836288258746,0.2774803938565555,0.6,0.3736301064491273,0.6516057848930359,0.44595819711685186,0.6,0.69968347616129,0.7626471673692027,0.04588680608211057,0.8130428791046143,0.4639680981636047,0.7117995023727417,0.09962499141693111,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
2,0.06666666666666667,0.8575823026381455,0.19846444710707056,0.0,0.9999866485595703,0.8745226220928983,0.19161894563194748,0.0,0.9999808073043823,0.8828660713764893,0.19384424638498085,0.0,0.9999800324440002,0.89130577757642,0.19622890783217684,0.0,0.9999901056289673,0.8496246190615748,0.187863431471489,0.0,0.9999648332595825,0.8407494930120618,0.187373754826737,0.0,0.999946653842926,0.8310589577768235,0.1869687644682287,0.0,0.9999508261680603,0.8979900436245761,0.20805933161493226,0.0,0.9999916553497314,0.8129684737512285,0.19537891885200587,0.0,0.9998320937156677,0.866499928188769,0.21598097786203135,0.0,0.9999797344207764,0.8325039202516732,0.21244329370401963,0.0,0.9999386668205261,0.9416885091152501,0.2987315103863226,0.0,0.9999873042106628,0.7090593531970935,0.2664598899009901,0.0,0.9992935657501221,0.9700246989588084,0.39173815126741424,0.0,0.9431636929512024,0.5685146740683313,0.21137076574605662,0.0,0.9239289164543152,0.8975712508310527,0.4438381346511397,0.0,0.9647118449211121,0.5434822367204654,0.09776108258670861,0.0,0.9298287034034729,0.8650646387558166,0.4721692590029925,0.0,0.9564746022224426,0.5763424641880402,0.07347185762125849,0.0,0.900777280330658,0.8507875730663468,0.45779447101212895,0.0,0.9595954418182373,0.5873417396506508,0.07117362226639595,0.0,0.9016076326370239,0.8556907554884338,0.4495876378668493,0.0,0.9316222071647644,0.5784461801146574,0.07762099759075741,0.0,0.8898722529411316,0.815739031299289,0.4778215954631636,0.0,0.9997093677520752,0.6962719533271169,0.46461944507830066,0.0771976414816086,0.9994062781333923,0.7700741981570816,0.6091792041605169,0.0,0.614949643611908,0.42114892601966875,0.5740035772323611,0.1058064475655556,0.6,0.7482172354951603,0.7188632727225067,0.20178544180932284,0.7954756617546082,0.47111091017723095,0.664525270462036,0.28978493809700023,0.6,0.7018848053225272,0.7168387162101852,0.2783768289572709,0.6,0.37363010644912725,0.651605784893036,0.4459581971168519,0.6,0.7002616020349357,0.7628572905536025,0.0,0.8134817481040955,0.46396809816360474,0.7117995023727418,0.09962499141693112,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
3,0.1,0.8424359478039068,0.19677170280948947,0.0,0.9999772906303406,0.8596970989848628,0.18996764728169893,0.0,0.9999666213989258,0.8679208908325586,0.19223753612983482,0.0,0.9999653100967407,0.8762178952460524,0.19467465704554446,0.0,0.9999831318855286,0.8344721878880945,0.1859810956013509,0.0,0.9999390244483948,0.8253390698721917,0.18534499010839672,0.0,0.9999078512191772,0.815593683566803,0.18480663859482976,0.0,0.999916136264801,0.8811446215028258,0.20643210221767985,0.0,0.9999856352806091,0.7970866520643793,0.19326902868656018,0.0,0.9997141361236572,0.8507732646170757,0.21421077850954243,0.0,0.9999648928642273,0.816919326087534,0.21063294951176592,0.0,0.9998951554298401,0.9255574438677523,0.29780590502949045,0.0,0.9999843835830688,0.6929411550501844,0.26545669173166203,0.0,0.9990472197532654,0.9589113806372204,0.38959664901792324,0.0,0.9378987550735474,0.5575128786074814,0.20533849394474274,0.0,0.9062091708183289,0.8846757122269877,0.44174509111678967,0.0,0.9593316912651062,0.5157208579195132,0.09100098075184512,0.0,0.9049679636955261,0.8526561435285988,0.46999099315741144,0.0,0.9505009651184082,0.5397337994305963,0.06583711796707206,0.0,0.8746309876441956,0.8389508142060055,0.4556842473767578,0.0,0.9538587331771851,0.5496644379792515,0.06276276651639623,0.0,0.8755630254745483,0.8435686874639742,0.4475487184066038,0.0,0.9250803589820862,0.5432164594704735,0.06926695279134454,0.0,0.8659310936927795,0.8029749053758345,0.4772763594394519,0.0,0.9997102618217468,0.6833956331223043,0.4643727862959975,0.06430278018351421,0.9993974566459656,0.7662613206393236,0.6096538238592082,0.0,0.6248631477355957,0.4211489260196687,0.5740035772323611,0.10580644756555561,0.6,0.7468357763507147,0.7192721280740415,0.17380411971560153,0.7977182269096375,0.471110910177231,0.664525270462036,0.2897849380970003,0.6,0.7031625684324679,0.7169060215249763,0.2772891817393003,0.6,0.37363010644912725,0.651605784893036,0.445958197116852,0.6,0.7000486583281788,0.7629648324076118,0.0,0.8133569955825806,0.4639680981636048,0.7117995023727418,0.09962499141693114,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
4,0.13333333333333333,0.8258915511600348,0.19386210030331208,0.0,0.999970555305481,0.843591564463013,0.1871068187249012,0.0,0.9999573230743408,0.8520652708751616,0.18947633955028514,0.0,0.9999572038650513,0.8604179308131026,0.19203454526987948,0.0,0.9999791383743286,0.8180916823429386,0.18299001344156163,0.0,0.9999182224273682,0.8088598552839464,0.18229195756928918,0.0,0.9998770356178284,0.7993208617319318,0.18170837384142807,0.0,0.9998826384544373,0.8641638982268209,0.20374560234568898,0.0,0.9999830722808838,0.7808480655952491,0.19024503251889374,0.0,0.9996169805526733,0.8338672474269828,0.2113414521748092,0.0,0.9999557733535767,0.8005402681432963,0.20762479718609572,0.0,0.9998618960380554,0.908722881809537,0.29550478174969885,0.0,0.9999821782112122,0.6771691370677282,0.26292575534546025,0.0,0.9985237121582031,0.9442833060429094,0.3866824325703798,0.0,0.9371260404586792,0.5462841452696389,0.1993138018674228,0.0,0.8764426708221436,0.8691068245814397,0.4392426935803919,0.0,0.9577967524528503,0.4879725381627785,0.08619525250577151,0.0,0.8579206466674805,0.8373821440276572,0.4672741438403276,0.0,0.9486305713653564,0.49917267453976205,0.061960934602714075,0.0,0.8299866318702698,0.8240690699546209,0.45346865301087763,0.0,0.9520894885063171,0.5075702567200562,0.05792505512912792,0.0,0.8314763307571411,0.8283053819949815,0.44532396930914653,0.0,0.9233442544937134,0.5052047954016913,0.06438752730965332,0.0,0.8262408375740051,0.7879901140719864,0.47561995271758317,0.0,0.9996904730796814,0.6682851360394407,0.4634571811119159,0.04870934191752577,0.9993151426315308,0.7600810665350696,0.6084829314605341,0.0,0.6445941925048828,0.42114892601966863,0.5740035772323611,0.10580644756555563,0.6,0.7448173853067249,0.7188125354148851,0.16897324589026813,0.807561457157135,0.47111091017723106,0.664525270462036,0.2897849380970003,0.6,0.7056084821274232,0.716984845541574,0.2752668569971632,0.6,0.37363010644912725,0.651605784893036,0.445958197116852,0.6,0.6993370478525587,0.7629876036744023,0.0,0.8207074403762817,0.46396809816360485,0.7117995023727419,0.09962499141693115,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
5,0.16666666666666666,0.8084246282810953,0.19018245865276137,0.0,0.9999700784683228,0.8266133371488775,0.18346505110219413,0.0,0.9999552965164185,0.8355429939456775,0.18596537046499234,0.0,0.9999553561210632,0.8440613367340803,0.18867815235555918,0.0,0.9999780058860779,0.8009123685476685,0.17929943906260584,0.0,0.9999143481254578,0.791722824245624,0.1786022048382775,0.0,0.9998720288276672,0.7825314266420488,0.17804025547765676,0.0,0.9998767375946045,0.847232717734119,0.20037662378557966,0.0,0.9999818801879883,0.7645078419527551,0.18666273053292676,0.0,0.9995889663696289,0.8162181981793672,0.20777974401042787,0.0,0.9999524354934692,0.7836564672298941,0.20385066244429972,0.0,0.999851644039154,0.8914238235333606,0.29220802293513004,0.0,0.9999812245368958,0.6618765823213111,0.2592814552895124,0.0,0.9984415769577026,0.9273337535646992,0.3832499212596254,0.0,0.933814287185669,0.535038111996263,0.19365158611105365,0.0,0.8658528923988342,0.8518107026329151,0.43644201630479085,0.0,0.9525220394134521,0.46124059920544513,0.08357318843300271,0.0,0.8421146273612976,0.8203091269884376,0.4641389526548375,0.0,0.9422305822372437,0.4578299999653888,0.06148000747521179,0.0,0.811423659324646,0.8071993025310689,0.451147584578931,0.0,0.946110725402832,0.4644716201406549,0.05646742291592233,0.0,0.8133363723754883,0.8110116906377285,0.44294788509537963,0.0,0.9161707758903503,0.46700463608984194,0.06279200603773004,0.0,0.8113241791725159,0.7714855998823991,0.4731301846620932,0.0,0.9996868371963501,0.6517894133265496,0.4619865370241369,0.03151641968021173,0.9992930889129639,0.7517587082647241,0.605980465878975,0.000252714827830416,0.6603116989135742,0.4211489260196697,0.5740035772323624,0.10580644756555585,0.6,0.7415412531032448,0.7175733637420745,0.18160600809159025,0.8148569464683533,0.47111091017723206,0.6645252704620379,0.2897849380970009,0.6,0.7079721864286854,0.7170218295984354,0.2733592595253798,0.6,0.3736301064491282,0.6516057848930377,0.44595819711685303,0.6,0.6984191734196163,0.7629434150971475,0.0,0.8269056677818298,0.46396809816360596,0.7117995023727436,0.09962499141693142,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
6,0.2,0.7909781020004453,0.18674247206507913,0.0,0.9999579787254333,0.8096241821775925,0.17989494729709005,0.0,0.9999297261238098,0.818895575049876,0.18253714155345022,0.0,0.9999313950538635,0.8275633248693759,0.18536112563454515,0.0,0.9999643564224243,0.7840242027402778,0.1757196379708248,0.0,0.9998713731765747,0.7751023362288685,0.17504332122547134,0.0,0.9998202323913574,0.7662442621095495,0.1745376929397632,0.0,0.9998221397399902,0.8313978363028239,0.19704254746159247,0.0,0.9999717473983765,0.7493790545107899,0.18318252439126595,0.0,0.9994341135025024,0.7988566568681431,0.20446752307020477,0.0,0.9999323487281799,0.7671195124134893,0.20025377583392626,0.0,0.9997986555099487,0.8745887066934515,0.288339958393769,0.0,0.9999788999557495,0.6483149033882141,0.2550625972328215,0.0,0.9983148574829102,0.9111853990799366,0.37959458736273055,0.0,0.9340884685516357,0.5263697151398616,0.18941817281546341,0.0,0.8566887378692627,0.8350453642142703,0.4333150465310604,0.0,0.9523625373840332,0.4405750935172157,0.08538367962225912,0.0,0.8288580775260925,0.8042046249885402,0.4604645062993469,0.0,0.9419575929641724,0.4265928649818992,0.06568233192939597,0.0,0.7973993420600891,0.790870120614283,0.4485451385274646,0.0,0.9459718465805054,0.43178280618363163,0.06039922891102208,0.0,0.8000472784042358,0.7942862261981141,0.44032084309693653,0.0,0.9174708724021912,0.43794012486517964,0.06627342976751321,0.0,0.8022247552871704,0.7548719700121955,0.4700932238763319,0.0,0.9996973276138306,0.6359910653743449,0.46004307735494365,0.0132009654169108,0.9993147253990173,0.7425413937557569,0.6025684431438417,0.02723578591168907,0.6850984692573547,0.4211489260196697,0.5740035772323624,0.10580644756555585,0.6,0.7377224709048436,0.7156188526909408,0.20750397721648547,0.8285859823226929,0.47111091017723206,0.6645252704620379,0.2897849380970009,0.6,0.7097316328740083,0.7168794221533503,0.276254151667749,0.6,0.3736301064491282,0.6516057848930377,0.44595819711685303,0.6,0.700163014007339,0.7629380549862133,0.0,0.839169979095459,0.4637330266145572,0.7117771693876592,0.09777134802791648,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,medium,medium,medium,high,medium
7,0.23333333333333334,0.7740811226251263,0.18341923982669195,0.0,0.9999483227729797,0.7929603749221876,0.17639936621372562,0.0,0.9999074339866638,0.8024112773941968,0.1791130108433175,0.0,0.9999080896377563,0.8110240988242341,0.1819745467884562,0.0,0.9999523162841797,0.7672285997506363,0.17224526478277266,0.0,0.9998380541801453,0.7587850306417578,0.17162136361871333,0.0,0.9997787475585938,0.7498713374693652,0.1711963981667881,0.0,0.999782383441925,0.8161567844155251,0.19365821761406993,0.0,0.9999604225158691,0.7348536830959917,0.17990928113738464,0.0,0.999286413192749,0.7820894067937698,0.2011654537110345,0.0,0.9999186396598816,0.7508537959663482,0.19676114545835532,0.0,0.9997663497924805,0.858233105191542,0.2843563747711678,0.0,0.9999781250953674,0.636047294367723,0.2504793281530174,0.0,0.9983373880386353,0.8962614181992079,0.37587799302070113,0.0,0.9352884292602539,0.5176363488733087,0.18581284144958465,0.0,0.8525893688201904,0.8193023388202396,0.4301404870334494,0.0,0.9537492394447327,0.4196922831879918,0.08910361076498945,0.0,0.8199620246887207,0.7887594849913291,0.4566531558553668,0.0,0.9430094957351685,0.39550424865631617,0.07232651918570776,0.0,0.7865620851516724,0.7750110831849801,0.44579966182197567,0.0,0.9470168948173523,0.4001826495279531,0.06673398620876694,0.0,0.7898462414741516,0.77821872242681,0.4375852181778099,0.0,0.9200656414031982,0.4094061299220676,0.072098622719447,0.0,0.7944867014884949,0.7391716129296328,0.4669794352043493,0.0018854569383226151,0.9997166395187378,0.6209643430365288,0.4579605212856296,0.0,0.9993584156036377,0.7330494546667976,0.59848413156185,0.05222389495351945,0.7049281597137451,0.4211489260196697,0.5740035772323624,0.10580644756555585,0.6,0.7329702262000346,0.7136721873616857,0.22785932713107968,0.8384796380996704,0.47113609668258305,0.6645584323189493,0.2792972007414685,0.6,0.7099483000648624,0.717575590927286,0.27626713783868895,0.6,0.3736301064491282,0.6516057848930377,0.44595819711685303,0.6,0.7102156382896425,0.7642047152374749,0.0,0.8482171893119812,0.46412044450953416,0.7118186304619281,0.08768498621412113,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,high,medium
8,0.26666666666666666,0.7558843526806884,0.18020291925171364,0.0,0.9999365210533142,0.775427893186229,0.17313040716525882,0.0,0.9998839497566223,0.7849899064966592,0.1759043791285766,0.0,0.9998838305473328,0.7936279017886381,0.1788325133301444,0.0,0.9999411106109619,0.7497202865171564,0.16900715436829877,0.0,0.9997953772544861,0.7413499933300616,0.16836252068723043,0.0,0.9997203946113586,0.7325295697559029,0.16797264514269572,0.0,0.9997234344482422,0.7991754006950471,0.190618429463227,0.0,0.9999500513076782,0.7181558754894302,0.1766230212850175,0.0,0.9990204572677612,0.7637006487601863,0.19805809636632932,0.0,0.9999017715454102,0.7333016070452623,0.19331499677160174,0.0,0.9997159242630005,0.8394527043496001,0.28054201061075457,0.0,0.9999776482582092,0.6210567612192308,0.2460636278062996,0.0,0.9983071088790894,0.8776857368040218,0.3724610311584883,0.0,0.9368451237678528,0.5053330369484743,0.18255485021151077,0.0,0.8364196419715881,0.8015276232521593,0.4271955740201734,0.0,0.9548404216766357,0.3971466845148937,0.0929457609713219,0.0,0.7783520817756653,0.7717262184147533,0.4531826461667515,0.0,0.9434699416160583,0.3653297330532884,0.07732967572126098,0.0,0.7446616888046265,0.7578437044903968,0.443232005223251,0.0,0.9474855661392212,0.3685346688979721,0.07131651825421359,0.0,0.748332142829895,0.7608180332295009,0.4350136451787894,0.0,0.9218528270721436,0.38057915619759114,0.07662170982999977,0.0,0.75809246301651,0.7218794644851526,0.4636441210072092,0.017337108096042764,0.9997394680976868,0.6047377683621759,0.45541777296777775,0.0,0.9994077086448669,0.7184895839724527,0.5936813321146948,0.07942171565024747,0.7241824865341187,0.4211489260196697,0.5740035772323624,0.10580644756555585,0.6,0.7187898289629371,0.7106970420806298,0.2509450589443427,0.8493140339851379,0.4709675545459039,0.6645729900240083,0.2804954210361408,0.6,0.7011378364407395,0.7175073020663869,0.275022986955021,0.5031495094299316,0.3736301064491282,0.6516057848930377,0.44595819711685303,0.6,0.7079151311676559,0.7644967518764241,0.013376568006091116,0.8577936887741089,0.46415729400439265,0.7117750447391092,0.09018066403888067,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,high,medium
9,0.3,0.7390585518105622,0.17703730434109882,0.0,0.9999276995658875,0.7586015198892111,0.17015965286390533,0.0,0.9998669624328613,0.7680422571989227,0.17295417991968348,0.0,0.9998657703399658,0.7765272552872614,0.17592852762390174,0.0,0.9999328851699829,0.7331886542982731,0.16616481257763263,0.0,0.9997655749320984,0.7249664461418207,0.1655627506457291,0.0,0.9996798634529114,0.7161096673467517,0.16523566602410178,0.0,0.9996823668479919,0.7831659611566382,0.18814829811627543,0.0,0.9999424815177917,0.702272659276195,0.17402261040566452,0.0,0.9988321661949158,0.7467949801669551,0.1950490638995787,0.0,0.9998904466629028,0.7167895565499811,0.18998581063358427,0.0,0.9996848702430725,0.8212611682209401,0.27751984900527976,0.0,0.9999774694442749,0.6063801605940438,0.2425076270645321,0.0,0.998311460018158,0.858441378964691,0.36997753374782294,0.0,0.9376893639564514,0.4896108211476221,0.18101361987890946,0.0,0.8186817169189453,0.7842282395818594,0.4248418876758,0.0,0.9552028775215149,0.3797549696374338,0.09758274668788602,0.0,0.7374584674835205,0.755175612189555,0.4503957485402392,0.0,0.94305819272995,0.34418032601441073,0.08205822707611943,0.0,0.7039293646812439,0.7412434716324725,0.441007348902021,0.0,0.9470949769020081,0.34591831513496085,0.07576067214245583,0.0,0.7080551385879517,0.7441021755580877,0.4328099395428516,0.0,0.9222924113273621,0.3599090693574972,0.08139158042021863,0.0,0.7223095893859863,0.7046777001627694,0.460704690509744,0.02859885923538391,0.9997605681419373,0.5889324411089897,0.4528752614012421,0.0,0.999454140663147,0.69886197563096,0.589212152785634,0.10195680139781739,0.7370051741600037,0.4211489260196697,0.5740035772323624,0.10580644756555585,0.6,0.6958867728293378,0.7064021717418343,0.2876642498693552,0.8579237461090088,0.47116662009612786,0.6645609990700159,0.2950807597253714,0.6,0.6834763353799069,0.7154246922973171,0.2848764918484062,0.5100125074386597,0.3736301064491282,0.6516057848930377,0.44595819711685303,0.6,0.6918187167816803,0.7625651397071538,0.052550258698910265,0.8654075860977173,0.46420707166333974,0.7117315512714982,0.1082455027666128,0.6,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,medium,medium,high,medium
