frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.4787315103140744,0.24116868468431338,0.0,0.9999974966049194,0.4904117304962,0.23099238159773242,0.0,0.9999943971633911,0.49890250842888045,0.23139633811437169,0.0,0.999992847442627,0.5057526143280776,0.23196653896695255,0.0,0.9999949932098389,0.46676839523382124,0.2306641353802248,0.0,0.9999955892562866,0.4601445054257665,0.2309732898757174,0.0,0.9999953508377075,0.45297937897535484,0.23117156191305688,0.0,0.9999951124191284,0.5161233248410525,0.23758814634976685,0.0,0.9999964237213135,0.44337630042662995,0.23717443353229473,0.0,0.9999843835830688,0.49178308769539497,0.25365584046690615,0.0,0.9999980926513672,0.46631068512276336,0.2538566399704326,0.0,0.9999972581863403,0.5742657384672365,0.3175596978280926,0.0,0.9999959468841553,0.38487115773287706,0.3162682519092428,0.0,0.9999749660491943,0.6525282209569758,0.3795716725029311,0.0,0.9837356209754944,0.29945917000303734,0.3739329751554903,0.0,0.9644616842269897,0.6610529339396871,0.4178824193410944,0.0,0.9905931353569031,0.35701392205445076,0.3922295993441468,0.0,0.9560951590538025,0.6616746270573225,0.4326110771902793,0.0,0.9895735383033752,0.38024061272194326,0.4047554489615914,0.0,0.9527264833450317,0.6446676058369089,0.4277594470894423,0.0,0.990441083908081,0.3961834178104266,0.39995300436353376,0.0,0.9526836276054382,0.6372460906322187,0.4244610967336002,0.0,0.9808754920959473,0.3922631982323173,0.39566756232635125,0.0,0.9131600856781006,0.5448341198734468,0.48261414895524524,0.013661088272147655,0.9999852180480957,0.4263347864567817,0.48022570039008905,0.0,0.9999750852584839,0.5677821194375312,0.6024455749071562,0.0,0.984765887260437,0.42909002053987716,0.60469493499169,0.0,0.9512638449668884,0.5709964032773374,0.713992315572459,0.2110562939327084,0.980517566204071,0.42576492145344913,0.7114427310603485,0.300627519304936,0.967362642288208,0.5627236662211121,0.7269818557725922,0.23337210850282183,0.8280012607574463,0.43596819168204204,0.7245736663991761,0.3297543185991008,0.743691623210907,0.5840289613583703,0.7540609940782295,0.0,0.9740017056465149,0.40994566783204756,0.7473060367824316,0.06806641608685049,0.9458776712417603,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
1,0.03333333333333333,0.4782322201278661,0.24136247282678439,0.0,0.9999972581863403,0.49020555427858054,0.23118889529805092,0.0,0.9999938607215881,0.49834600903771153,0.23160582416124276,0.0,0.9999921321868896,0.5049489519812844,0.23218566752397105,0.0,0.9999944567680359,0.4663590451220533,0.23085325133133605,0.0,0.9999951124191284,0.4596580981791436,0.23116183135059334,0.0,0.9999949336051941,0.4527035616077744,0.2314143494500981,0.0,0.999994695186615,0.5158055712293078,0.23811550917742136,0.0,0.9999958276748657,0.4430812949484044,0.23731391517432412,0.0,0.9999824166297913,0.49143016713482496,0.25376167226504615,0.0,0.9999977946281433,0.46602721001718417,0.25398491270892265,0.0,0.9999969005584717,0.5737301065371586,0.31731149866864394,0.0,0.999995768070221,0.3849111355684855,0.3160587572134459,0.0,0.9999750256538391,0.6491793244035093,0.37896865106129146,0.0,0.9829567670822144,0.2975730289529253,0.37169173880890516,0.0,0.9625890254974365,0.6538278856477538,0.41737304659156554,0.0,0.9901313781738281,0.3464311711438051,0.3880789271601431,0.0,0.9559900164604187,0.6564468824780074,0.4322233639813805,0.0,0.9891846179962158,0.36482947001924043,0.40076176103178435,0.0,0.9526094794273376,0.6380477022457794,0.426822715914333,0.0,0.9900892972946167,0.3821789843219142,0.3972422099196829,0.0,0.9526225924491882,0.6301568867443327,0.42353223753975827,0.0,0.9799964427947998,0.3803121316266226,0.3927171121944081,0.0,0.9126580953598022,0.5449554353327182,0.4819188630664266,0.012222419629668017,0.9999836087226868,0.42478378648524523,0.478799690525015,0.0,0.9999731183052063,0.5681731963491107,0.6011122135849265,0.0,0.9747045636177063,0.433468612966004,0.6031455726890298,0.0,0.9334955215454102,0.57129507214873,0.7129188459236308,0.27194342736180876,0.9696365594863892,0.42556710009808296,0.7118608422212669,0.34652807474970015,0.9583213925361633,0.5619388643678254,0.7256118217548291,0.2972345912789968,0.7958288192749023,0.43521287808051484,0.7244484282873731,0.37606003661672566,0.717727541923523,0.5860079660282268,0.75395553137039,0.0,0.9632209539413452,0.409957151312928,0.7469976477689677,0.09088231096942942,0.933827817440033,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
2,0.06666666666666667,0.47791108433461155,0.24148762931217965,0.0,0.999997079372406,0.49010602112138746,0.23131143091580816,0.0,0.9999933838844299,0.4979202357622295,0.2317432908119855,0.0,0.9999915361404419,0.5044508920960771,0.23232954938511757,0.0,0.9999940395355225,0.4661482217567507,0.23096628851823878,0.0,0.9999947547912598,0.45932637936585435,0.2312791919583208,0.0,0.9999945759773254,0.4525338502335939,0.23157493943795737,0.0,0.9999943375587463,0.5156461939667211,0.23848330856481076,0.0,0.9999953508377075,0.4428497997475114,0.237410314572163,0.0,0.999980628490448,0.4913188995737016,0.25379945716379965,0.0,0.9999974966049194,0.4659354738839021,0.25404827946271646,0.0,0.9999966025352478,0.5735422235268812,0.31713414650696975,0.0,0.9999956488609314,0.3850428716980772,0.31588134509978044,0.0,0.9999750852584839,0.6478479175300863,0.3788772918683388,0.0,0.98216313123703,0.2966594558495741,0.3708576115417033,0.0,0.9604490995407104,0.6512440865412182,0.41732259508057373,0.0,0.9897087812423706,0.3434970069042729,0.38683478690527545,0.0,0.9557404518127441,0.6546643065128019,0.4320052061186528,0.0,0.9888585805892944,0.35997380257208583,0.39950061907301415,0.0,0.9524685740470886,0.6358255559192119,0.4262788474976602,0.0,0.989803671836853,0.3776086031140147,0.3964167790257293,0.0,0.9525724649429321,0.6278355534260092,0.4230230904959299,0.0,0.9793122410774231,0.3765237812117818,0.3918579344427114,0.0,0.912407636642456,0.5452049324562497,0.48146897165369607,0.011172822542002286,0.9999819397926331,0.42441625167161995,0.4783847632802727,0.0,0.9999710917472839,0.5684136819172573,0.6003122319986214,0.0,0.9640831351280212,0.4360022107204358,0.6027369902128384,0.0,0.9156864881515503,0.5715762219784699,0.7121827138331667,0.30585581189268984,0.9578040242195129,0.42542813193825846,0.7121776909261318,0.3656448221706847,0.9491046667098999,0.5618062343075004,0.7247627085739081,0.3327822087458523,0.7629848122596741,0.4346895755587759,0.7243252425760658,0.3949443598588309,0.692453920841217,0.5868162541956334,0.7539600251993659,0.021781383651050493,0.9517263770103455,0.4099611045319439,0.7469272710782386,0.10065382016965978,0.9219553470611572,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
3,0.1,0.4777812338792364,0.24154937329825832,0.0,0.9999969601631165,0.49012070505213345,0.23136573467221302,0.0,0.9999930262565613,0.49764104156227396,0.23181315867495147,0.0,0.9999910593032837,0.5042617482183142,0.23240299739968256,0.0,0.9999936819076538,0.46613313115282223,0.23101156484552757,0.0,0.9999944567680359,0.45915222303433856,0.23133520740312308,0.0,0.9999942779541016,0.4524752292391305,0.2316662315235827,0.0,0.9999940395355225,0.5156617696051832,0.23871159880033463,0.0,0.9999949336051941,0.44269942403673274,0.23747076257403346,0.0,0.9999790787696838,0.49144112942241,0.25377826521168784,0.0,0.9999972581863403,0.4660393736370792,0.2540581883180947,0.0,0.9999963045120239,0.5736780077705294,0.31701778497173516,0.0,0.9999955296516418,0.3852950520379283,0.31574627916851805,0.0,0.9999751448631287,0.6483082697663828,0.3791555660171109,0.0,0.9814891219139099,0.29671128372073446,0.3712292616114469,0.0,0.9586612582206726,0.6525162946788862,0.41756328016450095,0.0,0.9892949461936951,0.34673912378596794,0.3879677322291551,0.0,0.9551794528961182,0.6558552038419502,0.4318500191737446,0.0,0.9885054230690002,0.36355257249656536,0.4004776972435016,0.0,0.951890230178833,0.6373077633775479,0.42600344163137743,0.0,0.9894866347312927,0.3806077296083623,0.3971574103637732,0.0,0.9520654082298279,0.6294980750773062,0.42280859217082434,0.0,0.9785655736923218,0.37930897621563814,0.3927241011168852,0.0,0.9113373160362244,0.5456567440694303,0.48125725585125,0.01045858029206663,0.9999805688858032,0.42508017106767587,0.47879911226270355,0.0,0.9999693632125854,0.5685287047794093,0.6000054565481927,0.0,0.9544310569763184,0.4370214141610065,0.6032466200681834,0.0,0.899531364440918,0.5718327488376822,0.7117188521476339,0.31792794920000467,0.9470981955528259,0.4253240005744921,0.7124046968830217,0.3630676460571781,0.9408466219902039,0.5621761262138963,0.724312734284323,0.34532671739588294,0.7333034873008728,0.4343363849711031,0.7242069642443758,0.3915832860694901,0.6694768071174622,0.5866840658210096,0.7540418875939923,0.03957665665400835,0.9412704110145569,0.4099598482841656,0.7470512641615523,0.09989905471116793,0.9112863540649414,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
4,0.13333333333333333,0.4778557997066661,0.24155292394277947,0.0,0.9999968409538269,0.4902571800983313,0.23135755278847445,0.0,0.9999927282333374,0.49752427939768445,0.2318198483584922,0.0,0.9999906420707703,0.5043848338938538,0.2324108244169565,0.0,0.9999933838844299,0.4663109793251768,0.23099739821779702,0.0,0.9999942183494568,0.459138503233036,0.2313397133892234,0.0,0.9999940395355225,0.4525326830107017,0.23170112535392212,0.0,0.9999937415122986,0.5158688746965849,0.23882043417239246,0.0,0.9999945759773254,0.44264777702885055,0.2375023900281576,0.0,0.9999777674674988,0.491788701091335,0.25370716645723185,0.0,0.999997079372406,0.4663428061908774,0.2540260873613379,0.0,0.9999960660934448,0.5741133776022282,0.31695255769160524,0.0,0.9999954700469971,0.38569636250431455,0.31566382301993035,0.0,0.9999752044677734,0.6503346505420746,0.3796614446006455,0.0,0.9809454083442688,0.2977213455941572,0.3726053572756981,0.0,0.957257091999054,0.6568592681195633,0.4179273171997295,0.0,0.9889224767684937,0.35468521623900423,0.39094831678139313,0.0,0.9545474648475647,0.6595478791456961,0.4316512187183044,0.0,0.9881635904312134,0.37344474190876487,0.40319866970146734,0.0,0.951149582862854,0.6418009211411292,0.42587209810743826,0.0,0.9891724586486816,0.38931181922659175,0.3991448026159151,0.0,0.9513646960258484,0.6343604360982813,0.4227636791331508,0.0,0.9778286814689636,0.38707854586603474,0.3949496842625537,0.0,0.9099003076553345,0.5463850029976492,0.4812764967932847,0.010025976162777216,0.9999793767929077,0.42662353372518286,0.4798609310791487,0.0,0.9999678730964661,0.5685433935730052,0.6001517136335928,0.0,0.9460685849189758,0.4368568236455496,0.604451894760132,0.0,0.8850817084312439,0.5720575487974919,0.7114621937135996,0.31329434095840664,0.9378815293312073,0.4252306896073002,0.7125532798000151,0.3438864308984689,0.9334936738014221,0.562898890260772,0.7241401169405671,0.3401798737215834,0.7075821757316589,0.43409140717177425,0.7240964482714247,0.3711528129927766,0.64898681640625,0.5858416408647745,0.7541685305831042,0.04854182510838663,0.9320990443229675,0.4099557033646634,0.7473259844702163,0.0911361256175803,0.901601254940033,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high
5,0.16666666666666666,0.47814791276182733,0.2415035004035027,0.0,0.9999968409538269,0.490523020287495,0.23129263148580181,0.0,0.9999927282333374,0.49758580222830207,0.23176778047095986,0.0,0.9999906420707703,0.5048234626685558,0.23235784328623035,0.0,0.9999933838844299,0.46667897228872424,0.2309321065396424,0.0,0.999994158744812,0.4592880940103876,0.2313025456208455,0.0,0.9999939799308777,0.45271119593462583,0.23169252057592413,0.0,0.9999936819076538,0.5162840857928185,0.23882986896938438,0.0,0.9999944567680359,0.44271246793664815,0.23751232778275827,0.0,0.9999772906303406,0.492353458990863,0.2535952309489535,0.0,0.9999969601631165,0.46684966845945997,0.25396342467872757,0.0,0.9999959468841553,0.5748242513561042,0.3169286082952459,0.0,0.9999954104423523,0.38627548901351283,0.3156442402542896,0.0,0.9999750256538391,0.6537013292868393,0.38025289871198137,0.0,0.9807193875312805,0.2996824744975936,0.37478456679202,0.0,0.9571380615234375,0.6634877649220571,0.41824692154264226,0.0,0.9888361692428589,0.3658629787134967,0.39524709421160165,0.0,0.953883171081543,0.6652706371042851,0.4313022203239817,0.0,0.9880579113960266,0.3875292729247711,0.40716921060513334,0.0,0.9498990178108215,0.6486116257302983,0.42576041671779724,0.0,0.9890826344490051,0.4018563273903384,0.4020596544642559,0.0,0.950185239315033,0.641638620888994,0.4227632879516195,0.0,0.977620542049408,0.3982433193908159,0.39816875592534184,0.0,0.908040463924408,0.5474638420662972,0.48151947561399766,0.009821293437050242,0.9999781847000122,0.42889432869591193,0.48138841333645055,0.0,0.9999663233757019,0.5684828769354846,0.6007108296547752,0.0,0.9415874481201172,0.4358390395319001,0.606130246793753,0.0,0.877668559551239,0.5722435179290253,0.7113476713776329,0.29708948884254927,0.9337902665138245,0.4251241826372002,0.7126348593851921,0.31319106118384576,0.9291423559188843,0.5638248766218881,0.7241230745971361,0.3226534342154487,0.6882272362709045,0.4338927430150682,0.7239965496363359,0.33882893837276407,0.6348713636398315,0.5845192192873492,0.7543073661955384,0.0515057125665023,0.9276623725891113,0.4099509905685089,0.7477077894555403,0.07688314391252343,0.8965800404548645,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,high
6,0.2,0.4783981761315499,0.24138966758490227,0.0,0.9999963045120239,0.49070813918447287,0.23116665158099567,0.0,0.9999912977218628,0.4974147434973786,0.2316444017739847,0.0,0.9999890327453613,0.505379691546337,0.23222438487417552,0.0,0.9999921321868896,0.46703254405435274,0.23081174503256452,0.0,0.9999931454658508,0.4592778931408785,0.23122925212333312,0.0,0.999993085861206,0.4527754916316713,0.23165029954243432,0.0,0.9999927878379822,0.5164853727623034,0.23874421490655975,0.0,0.9999934434890747,0.44263084500264016,0.2374931953170089,0.0,0.9999746680259705,0.4927932820814764,0.2534436536974569,0.0,0.9999964833259583,0.46736711736047865,0.25387438298105425,0.0,0.9999954700469971,0.5749341475935821,0.3169002059178483,0.0,0.9999951124191284,0.38672603684149803,0.31548121272823,0.0,0.9999748468399048,0.6554205342606249,0.3807062480277402,0.0,0.9793229699134827,0.3000629765865138,0.37671957010433765,0.0,0.9572325944900513,0.6716402021599279,0.4184696334642141,0.0,0.9884795546531677,0.37448694197448085,0.39840823662031055,0.0,0.955929696559906,0.6724803101766377,0.4314267299808834,0.0,0.9879388809204102,0.39893852143021,0.4099382316315935,0.0,0.9520851373672485,0.6574936131219503,0.4262110595102922,0.0,0.9890239834785461,0.4118147164513748,0.403831617259758,0.0,0.9524120688438416,0.6509599752359474,0.42315449449288095,0.0,0.9777137637138367,0.40683559083438525,0.4003199232624972,0.0,0.9123802781105042,0.5489114131127218,0.4820798184627154,0.0098061418759969,0.999976634979248,0.43157046929106124,0.48315279661636656,0.0,0.9999647736549377,0.5682697201664368,0.6018944499375953,0.0,0.9382016658782959,0.43441820908815554,0.6083075012360435,0.0,0.8763250708580017,0.572521999443607,0.7113133181225189,0.28644576172034025,0.9316413998603821,0.42494331289838355,0.7127307599241102,0.284168594401756,0.9275074005126953,0.5649480891950218,0.7240948111583044,0.3094509254038203,0.6756203770637512,0.43360404777915995,0.7239769595764197,0.30779794886673606,0.6274670362472534,0.5833206368493049,0.7544009193673853,0.06513556578394156,0.9258143901824951,0.40995204288920706,0.7481236249416878,0.06994636305162838,0.8947502970695496,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,high
7,0.23333333333333334,0.47860283833561645,0.2410203146906728,0.0,0.999995768070221,0.49052151891735174,0.23076528439293992,0.0,0.9999897480010986,0.497316496216613,0.23124891495232322,0.0,0.9999874830245972,0.5059142625415255,0.2318559397350664,0.0,0.999991238117218,0.4672323447285289,0.23044918227445887,0.0,0.9999918341636658,0.45932259572135936,0.23095345326931666,0.0,0.999991774559021,0.4527415676272567,0.23142990021855742,0.0,0.9999914765357971,0.5170650732267166,0.2384565260374191,0.0,0.9999924302101135,0.44274309944439716,0.23728641030532838,0.0,0.999970018863678,0.4931462914932593,0.25302961732679935,0.0,0.9999955892562866,0.4677757122716716,0.2535235296874064,0.0,0.9999943375587463,0.575517528262729,0.3167845098983444,0.0,0.9999950528144836,0.38753634524512226,0.31509211610803045,0.0,0.9999725818634033,0.6596050183256207,0.38104855826684747,0.0,0.9796355366706848,0.30339997999873836,0.3793785330298907,0.0,0.9524515867233276,0.6839681823492624,0.4162287149395987,0.0,0.9890509843826294,0.3849349491523984,0.4028215795269112,0.0,0.9501756429672241,0.6892245256261689,0.4272922408052825,0.0,0.9884983897209167,0.4116468649088375,0.41396960352128587,0.0,0.94608074426651,0.6734359500569359,0.4231607258180927,0.0,0.9895532727241516,0.42311687909917794,0.4068688791948609,0.0,0.9466864466667175,0.6657592009553281,0.4209611174109943,0.0,0.9790534377098083,0.416909036936461,0.4036575493973741,0.0,0.9071351885795593,0.5509229412167793,0.4823461445895121,0.010227036558195872,0.9999756217002869,0.4346117010483386,0.48475605047944115,0.0,0.9999616742134094,0.567971960647958,0.6033006250719385,0.0,0.9268010258674622,0.4327320474566847,0.6100846402572879,0.0,0.8684905171394348,0.5727040539810444,0.711221914191348,0.26745737585432394,0.9228205680847168,0.42468619374406474,0.7126828159763559,0.2521939668760996,0.9215008020401001,0.5660322735081756,0.7238777181207459,0.2882037873972554,0.6488177180290222,0.43319092868091463,0.7238930066426614,0.27347249410925006,0.6096728444099426,0.5818687832994632,0.7544261204612859,0.06669324386804133,0.9174076318740845,0.4100081433644117,0.7485005137247936,0.054499794501108034,0.8885974287986755,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,high
8,0.26666666666666666,0.4796909491221123,0.24047866293461517,0.0,0.9999942183494568,0.49120324822294814,0.23026246871009076,0.0,0.9999851584434509,0.49830702843366104,0.23076860710874364,0.0,0.9999826550483704,0.5073368057504414,0.23134701141527544,0.0,0.9999879002571106,0.46793816473100697,0.22994051686116923,0.0,0.9999885559082031,0.4599771005012506,0.23047819091028882,0.0,0.999988853931427,0.4531504884883253,0.23097658897196557,0.0,0.9999885559082031,0.5184540185895012,0.23793164215165757,0.0,0.9999892711639404,0.4432476670036239,0.23683324355484503,0.0,0.9999614953994751,0.49435929061371814,0.252469776393651,0.0,0.9999933838844299,0.46879243162962225,0.25310242169109043,0.0,0.9999919533729553,0.5776352515587455,0.31656465886078317,0.0,0.9999947547912598,0.38869835446764645,0.3152230907153425,0.0,0.9999704360961914,0.66892539551764,0.3814793487528831,0.0,0.9791659712791443,0.3105973694430095,0.38309473188329235,0.0,0.9468880295753479,0.6850149146604667,0.41758809146625564,0.0,0.989189088344574,0.3993008856451049,0.4090138841898024,0.0,0.9490728974342346,0.6867049155813293,0.42841241784862827,0.0,0.9887074828147888,0.4276029077860036,0.4199334042611389,0.0,0.9454728364944458,0.6715420944429518,0.4245938143946919,0.0,0.9897647500038147,0.43802513630240225,0.41175475813847984,0.0,0.9461346864700317,0.6659010308327948,0.42198813510385813,0.0,0.9799000024795532,0.4309513618896069,0.40858669096217676,0.0,0.9082691073417664,0.553908855209263,0.48285679647694785,0.010231772540810181,0.9999741911888123,0.4384133085643228,0.48601072269442047,0.0,0.9999587535858154,0.5676042864094818,0.6046667885391322,0.0,0.9164386987686157,0.43110320305490935,0.6111747940659261,0.0,0.8639665842056274,0.5726112878961733,0.711055026604581,0.23596257684287833,0.9178839921951294,0.4243490230509185,0.7125372200301219,0.21001929056012325,0.9189481735229492,0.5664555177544117,0.7234962171330059,0.25459245043548456,0.6311127543449402,0.4326913485993883,0.7237641223660736,0.22912271251350633,0.6007480025291443,0.5802409104256101,0.7543742103732292,0.05265574344805085,0.9120173454284668,0.4101230074197829,0.7488734784659825,0.026314124590901856,0.8857352137565613,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,high
9,0.3,0.4822839580493664,0.24047395934313945,0.0,0.999992311000824,0.49351227116751634,0.23017186443983595,0.0,0.9999796152114868,0.5008816085495329,0.23066333568457462,0.0,0.9999768137931824,0.5103178328567465,0.23123291829527182,0.0,0.9999838471412659,0.4702672258123664,0.2299131127226331,0.0,0.999984622001648,0.4620689480871599,0.23049614625377318,0.0,0.9999853372573853,0.455056433355337,0.23103908499776682,0.0,0.9999851584434509,0.5213194604798088,0.23785560249865534,0.0,0.9999856352806091,0.44485788724639314,0.23703985801943595,0.0,0.9999522566795349,0.49728039560062476,0.2525676046357017,0.0,0.9999910593032837,0.47125979507719845,0.25327952702840234,0.0,0.9999895095825195,0.5819352069101149,0.3168185965998198,0.0,0.9999943971633911,0.39136502973405457,0.31672719412750383,0.0,0.9999688267707825,0.68392637670735,0.38111772598364513,0.0,0.978416919708252,0.32312541630440467,0.3887931918486581,0.0,0.9423425197601318,0.6864451208870468,0.41844247083564023,0.0,0.9892516136169434,0.4191824094954637,0.41772118231633437,0.0,0.9493080377578735,0.6843378917598519,0.42908568913008616,0.0,0.9888924360275269,0.44826774233149047,0.4285587585750449,0.0,0.9462733864784241,0.6697557664417738,0.42527212518634333,0.0,0.9899474382400513,0.45818126736543235,0.4195268830775114,0.0,0.9469600319862366,0.6649148750416345,0.4229503985329397,0.0,0.9806594252586365,0.4505636553108565,0.41624268215575255,0.0,0.9110647439956665,0.5576194827651103,0.4842138580786889,0.009328775305413862,0.9999727010726929,0.44255222133545447,0.48768901387294816,0.0,0.9999561309814453,0.5678698744251471,0.6057817349622872,0.0,0.9056004881858826,0.4300529008561926,0.6116851022193498,0.0,0.8594356775283813,0.5721486438682323,0.710840121015804,0.1948994122584527,0.910900890827179,0.42400844148544836,0.7123503518271299,0.16999098622741654,0.9151396155357361,0.5658980113365171,0.7229143475597019,0.2121220803830457,0.612075924873352,0.43220399768202566,0.7236298003118931,0.18771786628278037,0.5911579132080078,0.5787017599686057,0.7542501693561103,0.02511057585894652,0.9043232202529907,0.41006439535212236,0.7493399462221961,0.0,0.881122887134552,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,high
