frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.6712867813510496,0.22596148750581954,0.0,0.9999911785125732,0.6732999236433655,0.21905718003953253,0.0,0.9999854564666748,0.6766337181304716,0.21860376240073381,0.0,0.999987006187439,0.6798328332134059,0.21817632050780983,0.0,0.9999896287918091,0.6633479320085969,0.22002988063788925,0.0,0.9999855756759644,0.6597206855153704,0.22033032024656984,0.0,0.9999862909317017,0.6558961422293338,0.22062439299546768,0.0,0.9999849796295166,0.6852946714921432,0.21953956834919824,0.0,0.9999886751174927,0.6518781814541852,0.22291654942335792,0.0,0.9999054670333862,0.6783417709223876,0.2318233912224537,0.0,0.9999761581420898,0.6686748328742448,0.23288772739730532,0.0,0.9999589920043945,0.7249352811099767,0.2566714507716522,0.0,0.999996542930603,0.621266472172904,0.2589092465130601,0.0,0.9999065399169922,0.7442124302570643,0.30123242673340395,0.0,0.9910368919372559,0.6062998196461816,0.29946685733495076,0.0,0.39774438738822937,0.7584250686051963,0.3410254091649625,0.0,0.9869596362113953,0.5929241705607702,0.33675017431899396,0.0,0.32947829365730286,0.7693299259339178,0.3517286281485659,0.0,0.9745055437088013,0.5942098885983023,0.352036648488545,0.0,0.33990058302879333,0.7674378811062631,0.3530246340311491,0.0,0.9789087772369385,0.5940342699731148,0.35130248828367755,0.0,0.3683582544326782,0.7599313171593458,0.3500362449175829,0.0,0.9674304723739624,0.5971103973321981,0.3461633810213398,0.0,0.33094286918640137,0.6946578784422445,0.354613135536234,0.0,0.9999871253967285,0.642449879979754,0.3559896028958835,0.0685291888478856,0.9999744892120361,0.6981989382863879,0.4229407764814951,0.0,0.9864779710769653,0.660828662502182,0.4241017713830192,0.1910838872402696,0.8725011348724365,0.7164116785242844,0.48219868248992886,0.125295469446199,0.9767090082168579,0.68135869336295,0.48541403275269734,0.39682465860086097,0.9573165774345398,0.7201128030990391,0.48862495872524225,0.13717856409249604,0.8040271401405334,0.6898928418026105,0.49451224120346815,0.4091900369230581,0.8590929508209229,0.6922141642837262,0.5063861145839826,0.0,0.9757319092750549,0.6564679287530331,0.501578414773608,0.2683216244555436,0.9604347348213196,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,high,high,high,high,high,high,high
1,0.03333333333333333,0.6808804094374598,0.2353870110078293,0.0,0.9999904632568359,0.6847430671845283,0.2304223474714306,0.0,0.9999840259552002,0.6884975358322782,0.23047187757658794,0.0,0.9999852776527405,0.6923395495314699,0.23061313089374066,0.0,0.9999880790710449,0.6749291878480179,0.23091162970432877,0.0,0.9999848008155823,0.671474740221784,0.23126606695301893,0.0,0.9999857544898987,0.6677111545642775,0.2315936281339273,0.0,0.9999848008155823,0.6982725950387809,0.23413704419052703,0.0,0.9999869465827942,0.6629766096601956,0.23510651842697522,0.0,0.9999072551727295,0.687406677882988,0.24195027153391943,0.0,0.9999739527702332,0.6767174443164906,0.2424315329823462,0.0,0.9999578595161438,0.7321905522913369,0.2732017507086269,0.0,0.9999954700469971,0.6289605956811174,0.2707522523986711,0.0,0.9999098777770996,0.7481286896692294,0.31830450475632743,0.0,0.9877099394798279,0.6147590387951244,0.30978457077399846,0.0,0.42710134387016296,0.763814602281664,0.3648799734932562,0.0,0.9819055199623108,0.6097421733649462,0.33653777462619167,0.0,0.3647611141204834,0.7731032809177477,0.3779579488547533,0.0,0.9676195979118347,0.6078971290921833,0.34845899014206205,0.0,0.3720506429672241,0.7734569569567701,0.37994168750889645,0.0,0.973122775554657,0.6089854019505162,0.34747782495471974,0.0,0.40055051445961,0.7673814146668761,0.3761714701052314,0.0,0.9599438309669495,0.6127667493753501,0.3439725566577246,0.0,0.36165153980255127,0.6994669929250972,0.3648000717996719,0.0,0.9999864101409912,0.6452773896964281,0.36708094335936176,0.04305655247421107,0.9999741911888123,0.7028238869213558,0.43038115676466404,0.0,0.9861433506011963,0.6523865182082969,0.4360861363527662,0.045561451855655966,0.8793914914131165,0.7175789954779034,0.4873611426853634,0.13575378956494635,0.9767624735832214,0.681158866498854,0.48804455849674216,0.2969903297253423,0.9582420587539673,0.7210059849532338,0.4939515653190079,0.15012231583778676,0.797605574131012,0.6900106280833693,0.4944023294048709,0.31382083827857643,0.8534801602363586,0.6953238944907292,0.5092905180437582,0.0,0.97600257396698,0.6658118984082365,0.5073129651429772,0.1716153986517574,0.9613471031188965,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,high,high,high,high,high,high,high
2,0.06666666666666667,0.6891321291178812,0.2420947419040966,0.0,0.9999878406524658,0.6940913117015278,0.23827619378244405,0.0,0.9999796748161316,0.6981485830598221,0.2386510604189271,0.0,0.9999809265136719,0.7024087515466421,0.23914746182920776,0.0,0.9999847412109375,0.6841632270868565,0.23838669551419223,0.0,0.9999811053276062,0.6806963257022673,0.2387644871200994,0.0,0.9999826550483704,0.6768700448505253,0.23912870776264275,0.0,0.9999822378158569,0.7083995763238496,0.24393108282194845,0.0,0.9999831914901733,0.6712628445980992,0.24343590754451178,0.0,0.9998967051506042,0.6953409654555064,0.2491522506400422,0.0,0.9999699592590332,0.6837381669135639,0.24925249953925763,0.0,0.9999536871910095,0.7390823917233309,0.2842689617113635,0.0,0.9999943375587463,0.6349320821550902,0.27911524762918366,0.0,0.9999071955680847,0.7535777906159979,0.329458137978485,0.0,0.9850097298622131,0.6197158009300144,0.31780459754394774,0.0,0.4515252113342285,0.7696796023484436,0.37587110521076467,0.0,0.9779946804046631,0.61648406932404,0.3416965522549369,0.0,0.3763093054294586,0.7785217167336344,0.38912943936450234,0.0,0.9621240496635437,0.6118598045446936,0.35219912685992283,0.0,0.3782292306423187,0.7797610630522243,0.3904979049047945,0.0,0.9684521555900574,0.6144232909718318,0.35110100152053464,0.0,0.4076724350452423,0.7740129825674293,0.3867319172773607,0.0,0.9538091421127319,0.6191046790921051,0.34822219610214245,0.0,0.3694259226322174,0.7034123520473223,0.37140602859861666,0.0,0.9999862313270569,0.6477665234278966,0.37318614048835574,0.026660343638614678,0.9999740123748779,0.7064547146950568,0.43523804555128226,0.0,0.9859722852706909,0.6435475649533571,0.4375639364713837,0.0,0.8856621384620667,0.7187065698883751,0.4910146809402323,0.14353004090991614,0.976651132106781,0.6765393303546595,0.4849005983426023,0.20553674652634119,0.9581009745597839,0.7219938745587581,0.49765688667208446,0.15940774032424937,0.787325918674469,0.6861781077785095,0.4892985611667722,0.22613957471980572,0.8419587016105652,0.696999067193145,0.5112586245114432,0.0,0.9758800268173218,0.6666255259847309,0.5069968231491278,0.08543043650495699,0.9606701135635376,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,high,high,high,high,high,high,high
3,0.1,0.6960455655079066,0.24617846824211415,0.0,0.9999867081642151,0.7014727464644781,0.24284779992484273,0.0,0.999977707862854,0.7057325266874753,0.24339397744837907,0.0,0.9999785423278809,0.7102266886990112,0.2440642044469194,0.0,0.9999824166297913,0.6912588611905115,0.2426910577537298,0.0,0.999980628490448,0.6876483938216055,0.243073456371442,0.0,0.9999825954437256,0.683670892026319,0.24348126106954138,0.0,0.9999824166297913,0.7159705853267709,0.2493812046198302,0.0,0.999981164932251,0.6771128656980878,0.24824773214566404,0.0,0.999901294708252,0.7021314421178021,0.2535528247103547,0.0,0.9999697804450989,0.689726083706587,0.2534549988302597,0.0,0.9999552369117737,0.7454738156362019,0.29040200935377125,0.0,0.9999935030937195,0.6394214588445388,0.28423542208049146,0.0,0.9999106526374817,0.7605119527497772,0.3349923353234095,0.0,0.9842783212661743,0.6217730378076471,0.3234526599759546,0.0,0.47901803255081177,0.7757055013329837,0.3757201920856132,0.0,0.9764516949653625,0.6158215781469725,0.34941551888183553,0.0,0.4229060411453247,0.7847840301084628,0.38747156242946384,0.0,0.9604225158691406,0.608892622597012,0.359770117939769,0.0,0.42471274733543396,0.785815476398646,0.3873517382325548,0.0,0.9668627381324768,0.6129460929434897,0.3586122548524593,0.0,0.45241546630859375,0.7797016471554906,0.384188842940164,0.0,0.9515548348426819,0.61858376242342,0.3556775429518352,0.0,0.41288134455680847,0.7066785292330877,0.3748503009200376,0.0,0.9999866485595703,0.649980316142658,0.3751065131181327,0.017576988250242856,0.9999750852584839,0.7092384163177374,0.43786203520837086,0.0,0.9867546558380127,0.6349187618368989,0.43098668253922007,0.0,0.8957778811454773,0.7196688941725485,0.49326410823629724,0.14989596752054768,0.9782354235649109,0.6689407961629765,0.47747658627294465,0.12375072764541034,0.960259199142456,0.722850809077839,0.4998980756406185,0.1665503913080776,0.7951664924621582,0.6796633595631121,0.4806029809799505,0.1474725565539851,0.8475831747055054,0.6976118977670072,0.5124221977654038,0.0046814086934929625,0.9774038195610046,0.6611572903491958,0.5020903514606971,0.010201235430962075,0.9628736972808838,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,high,high,high,high,high,high,high
4,0.13333333333333333,0.7016243437231283,0.24773197806937453,0.0,0.9999827742576599,0.7070154607434929,0.24436624685089633,0.0,0.9999691843986511,0.7113950335896099,0.24495329518557166,0.0,0.9999675750732422,0.7159796104286659,0.2456482498795837,0.0,0.9999740719795227,0.6964249016243819,0.24406069610919168,0.0,0.999976634979248,0.6925938964445834,0.24444085033067747,0.0,0.9999785423278809,0.6884117750299007,0.24490291724255053,0.0,0.9999796152114868,0.7212805920269666,0.25094692996054,0.0,0.9999688863754272,0.6809026523903537,0.24988500760012855,0.0,0.9998970627784729,0.7077649163477349,0.25527548991438953,0.0,0.9999672770500183,0.6946702777366818,0.2551434026175725,0.0,0.9999545812606812,0.7512278402601927,0.2921298192097593,0.0,0.9999915361404419,0.6426692529991795,0.2863499656284886,0.0,0.9999105334281921,0.7688833957229742,0.33520610571463366,0.0,0.9814155101776123,0.6215336811848179,0.32665448040117495,0.0,0.5165491700172424,0.781577731762733,0.3661486218859269,0.0,0.9744120836257935,0.6104264195426641,0.3568836861834937,0.0,0.4698183536529541,0.7910890177691176,0.3752127808012887,0.0,0.9590503573417664,0.6017902908903181,0.36768502267924225,0.0,0.46744194626808167,0.7910854740020559,0.3731616395058889,0.0,0.9657337069511414,0.6071519637719183,0.3664518218218306,0.0,0.49417275190353394,0.7843230347255449,0.371013503599834,0.0,0.9495368003845215,0.6136635753102516,0.36310384080404456,0.0,0.45531779527664185,0.7094500979065618,0.3755521837509042,0.0,0.9999820590019226,0.6519818028092108,0.37364338008396014,0.014042912218242012,0.9999700784683228,0.7113219864996441,0.4386037181029509,0.0,0.9857434630393982,0.6271070679584583,0.41880588535662344,0.0,0.9053781032562256,0.7203404607472721,0.4942142355553197,0.15612331343628036,0.9789649844169617,0.659803975156415,0.46726695627043596,0.052919091724102585,0.9586934447288513,0.7233511256727032,0.5008322850807565,0.1730658225454651,0.7904043197631836,0.6717344621122583,0.4697176333351847,0.0791460940883536,0.8366124629974365,0.6975346015883495,0.5129130015840065,0.013021706781753899,0.9776651263237,0.6516556703683104,0.494053912746323,0.0,0.9609849452972412,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,low,high,low,high,low,high,low,high,high,high,high,high,high,high,high,high,high
5,0.16666666666666666,0.7058720888791403,0.24684905943337088,0.0,0.9998993873596191,0.7108475438086876,0.24306061551287522,0.0,0.9997822642326355,0.7152817706405996,0.24358168015113307,0.0,0.9997237324714661,0.7198537661756965,0.24418448925990943,0.0,0.9998050332069397,0.6998701598538681,0.24273159026682856,0.0,0.9998886585235596,0.6957957854359874,0.2431145446214371,0.0,0.9998909831047058,0.6913907727995137,0.24364530546959806,0.0,0.9999197125434875,0.72462456640386,0.24908777922044611,0.0,0.999727725982666,0.6830081841050902,0.24869074927760237,0.0,0.9997215867042542,0.712228196623166,0.25444374242168,0.0,0.9998936653137207,0.6985598320449724,0.2544220826634167,0.0,0.9998891949653625,0.7562074818255482,0.28998131685323725,0.0,0.9999755024909973,0.6449159918687299,0.28569606814906945,0.0,0.9998672604560852,0.7786443391879976,0.33039845807569096,0.0,0.9372251033782959,0.6196006628183235,0.3273357811507654,0.0,0.4886336922645569,0.7869817261651422,0.3488777823798316,0.0,0.9063827991485596,0.6029703132200368,0.36129006583651835,0.0,0.4431452751159668,0.7966354764424859,0.3545815572316284,0.0,0.89895099401474,0.5933475170657923,0.3724569003759852,0.0,0.44273170828819275,0.7950363328684759,0.35058606073850895,0.0,0.908449113368988,0.5996390593635468,0.3710599392999868,0.0,0.4692431092262268,0.7877527715720796,0.3496771557625644,0.0,0.8816951513290405,0.6068036936935584,0.3672663332560133,0.0,0.43040332198143005,0.711911631491914,0.3739309720781865,0.0,0.9999637603759766,0.6538340183960547,0.3695980602211062,0.014294541451758751,0.9999532103538513,0.7128524199510251,0.43781368660204456,0.0,0.9656736254692078,0.6207194424175732,0.40347305572394276,0.0,0.9098809361457825,0.7205957620293963,0.49396987387906277,0.16348382269655395,0.973031759262085,0.6505695785675867,0.4557661423177442,0.0,0.9451631903648376,0.7232691615055789,0.5006166678486461,0.180469587792606,0.7554091811180115,0.6636594941010303,0.45804456272325433,0.022486497630150322,0.8077483177185059,0.6971393940332071,0.5128627997456188,0.02190194556289868,0.9684507250785828,0.6403691449087555,0.4843478696746438,0.0,0.946480393409729,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,low,high,low,high,low,high,low,high,high,high,high,high,high,high,high,high,high
6,0.2,0.7089892910632796,0.2428843272385348,0.0,0.9998993873596191,0.7131962091216971,0.23830824267197387,0.0,0.999779224395752,0.7176542921221915,0.23864021355455636,0.0,0.9997150301933289,0.722160759505694,0.23905741428578714,0.0,0.999795138835907,0.7018808106998204,0.23821673464108245,0.0,0.9998909831047058,0.6975730665913847,0.23866623303134465,0.0,0.9998934268951416,0.6929094364870974,0.2393469747616145,0.0,0.9999222159385681,0.7262982300945114,0.24344408605899076,0.0,0.9997061491012573,0.6839093697932512,0.24448413511256303,0.0,0.9997338056564331,0.7158882844420321,0.25045830692166837,0.0,0.999893307685852,0.7015184611429441,0.25071689111369544,0.0,0.9998931884765625,0.7603431484360259,0.2839097605023914,0.0,0.9999679327011108,0.6464113251312646,0.2823742641991398,0.0,0.9998745918273926,0.7917453307649771,0.3198069386132122,0.0,0.9142086505889893,0.6169935713559058,0.32483708761233077,0.0,0.5276371836662292,0.7925426733521614,0.32487519707157425,0.0,0.8665564656257629,0.6007945693178348,0.3529419989991587,0.0,0.4926617741584778,0.8017261443716128,0.3275717188428341,0.0,0.8622442483901978,0.5912769792518987,0.36190425342335386,0.0,0.48913246393203735,0.7979448425186284,0.3227295165573253,0.0,0.8750169277191162,0.5975128305264024,0.35987131745665324,0.0,0.5143198370933533,0.7912791408858953,0.32290689900760694,0.0,0.8392587304115295,0.6048149784683919,0.35657725064626755,0.0,0.47623419761657715,0.714908078000264,0.3707612053358759,0.0,0.9999415874481201,0.655992924055577,0.36460635434219707,0.01701972526791217,0.9999428391456604,0.7142430485545357,0.4366471788266333,0.0,0.9544614553451538,0.6163856987352987,0.38938685668098444,0.0,0.9155212044715881,0.7200862434638426,0.4922566613950943,0.17321445964849957,0.9713549613952637,0.6440723549513845,0.4453067166821952,0.0,0.9407911896705627,0.7220038414557238,0.49952753878140077,0.1912646267936507,0.7350422739982605,0.6580478687942184,0.44787548548413997,0.0,0.7927570939064026,0.6968017000974216,0.5126251085099098,0.033887659408757875,0.9658629298210144,0.6318937103787241,0.47521283041625156,0.0,0.9427210092544556,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,low,high,low,high,medium,high,low,high,high,high,high,high,high,high,high,high,high
7,0.23333333333333334,0.7099399973740408,0.23695064824083253,0.0,0.9999035596847534,0.7134071941420213,0.23165875450992424,0.0,0.9997841715812683,0.7178315288259174,0.23179701269367697,0.0,0.9997189044952393,0.7222639823849126,0.23199936441886182,0.0,0.999795138835907,0.7021499883322746,0.23178088873416453,0.0,0.9998963475227356,0.6978255956323016,0.2322391914876753,0.0,0.9998984932899475,0.6930717006152067,0.2329696290073423,0.0,0.9999260306358337,0.7262959610887916,0.23584492973514434,0.0,0.9997031092643738,0.6836681780003742,0.2381410231957075,0.0,0.9997513890266418,0.7173547264023556,0.24440632034570808,0.0,0.9998970031738281,0.7027632880322046,0.2450271385324591,0.0,0.9998993277549744,0.7628482038324549,0.2747335000818989,0.0,0.9999591708183289,0.647392813698119,0.27613173123006296,0.0,0.999877393245697,0.8054657279750428,0.30371170412827286,0.0,0.9140081405639648,0.6134554540916495,0.3187257910802934,0.0,0.5592526793479919,0.7953993559995196,0.29587076621733704,0.0,0.8680143356323242,0.6003459209884535,0.33458930177566426,0.0,0.5325959324836731,0.8016012893134363,0.29562215517450957,0.0,0.8624011874198914,0.5920843677920911,0.34030967877878265,0.0,0.5241683125495911,0.7958714265923421,0.29076315233340705,0.0,0.8748992085456848,0.597075837197561,0.33786600300204317,0.0,0.5481990575790405,0.790995674811323,0.2918432852327137,0.0,0.8327326774597168,0.6040458866766298,0.3356402048836786,0.0,0.5096496939659119,0.7177068468851939,0.3650227493339495,0.0,0.9999303221702576,0.6578443774254468,0.3573440274436444,0.01792918191462899,0.9999369978904724,0.7149962927355931,0.43321762461484564,0.0,0.9519938826560974,0.6152685989033109,0.3759557845848156,0.0,0.9219987988471985,0.7187469741959136,0.48981900454123395,0.18413372607011666,0.9717356562614441,0.6404025219815055,0.43642430886244277,0.0,0.9402866959571838,0.7194092129216069,0.49731424339723607,0.202252642397003,0.731376588344574,0.6549774198543238,0.43956672881311026,0.0,0.7921341061592102,0.6971100085265172,0.5119464593333811,0.043893417066705714,0.9655570387840271,0.6252044382351001,0.4676293494540229,0.0,0.9423030614852905,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,high,medium,high,medium,high,high,high,high,high,high,high,high,high,high
8,0.26666666666666666,0.7098136815157822,0.22897325153951104,0.0,0.9999008774757385,0.712693903134977,0.22298778180198017,0.0,0.999763548374176,0.7170775660545973,0.22290637675837818,0.0,0.9996929168701172,0.7214794784159112,0.22285746256788352,0.0,0.9997726082801819,0.7016583992328973,0.22346348244271413,0.0,0.9998906850814819,0.6974503896731059,0.223995582415508,0.0,0.9998911619186401,0.6927217243712562,0.22481588633744093,0.0,0.9999192357063293,0.7255752258923245,0.22634510077657738,0.0,0.9996810555458069,0.6830763769594401,0.23033792600209402,0.0,0.9997471570968628,0.7175808289112207,0.23632135445421454,0.0,0.9998900294303894,0.7030363509427158,0.23733793469992615,0.0,0.9998934268951416,0.7644610435534767,0.2642170154687137,0.0,0.9999529123306274,0.6479993552872646,0.2680750620531876,0.0,0.9998560547828674,0.8180760171585727,0.28578727242552115,0.0,0.9205029010772705,0.6099446813265499,0.31180774991884735,0.0,0.5602161288261414,0.7959213827873465,0.2666697506304394,0.0,0.8765823245048523,0.6007463062281947,0.31596545628456607,0.0,0.5267196297645569,0.7971697990155185,0.26423790477789433,0.0,0.8677414655685425,0.5944435734015261,0.3185515196729104,0.0,0.5112684965133667,0.7905095020929993,0.2599424692022779,0.0,0.8790104389190674,0.5979931139167943,0.3150818799481256,0.0,0.5339539051055908,0.7883199367211992,0.26176160066833654,0.0,0.8325598239898682,0.6039105706559488,0.3141897107476685,0.0,0.4937381446361542,0.7201981261059973,0.358929025404382,0.0,0.9999259114265442,0.6595764021217702,0.35028512390343547,0.01618235764074163,0.9999318718910217,0.7158108944103732,0.42951024669311655,0.0,0.9487180709838867,0.6184090174439364,0.36688772364929934,0.0,0.9273228049278259,0.7167612611552793,0.4867744955010638,0.21834835556003654,0.9712851047515869,0.6403254537315652,0.43042998443116787,0.0,0.9388594627380371,0.7158478466503011,0.49420901306303644,0.23742264870441382,0.7252687811851501,0.6548131876614284,0.4339132402048812,0.0,0.7914797067642212,0.6986511127376352,0.5110822150479399,0.07784541365652559,0.9640293121337891,0.6228099804380295,0.4616743871521017,0.0,0.9414314031600952,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,medium,high,medium,high,low,high,high,high,high,high,high,high,high,high,high
9,0.3,0.7092307626784284,0.2202816952567006,0.0,0.9998091459274292,0.7114176133295891,0.21410862323426477,0.0,0.9995661973953247,0.7157408885466765,0.21385215709120575,0.0,0.9994536638259888,0.7200862704179245,0.21360812219845443,0.0,0.9996401071548462,0.7007329516755414,0.2150157847048803,0.0,0.9997471570968628,0.6966861030716458,0.215709898785834,0.0,0.9997130036354065,0.6920839248003677,0.21668848103576666,0.0,0.9997389316558838,0.7243111899126957,0.21692686842316014,0.0,0.9996163845062256,0.6826172705852642,0.22256233426796587,0.0,0.9992917776107788,0.7172139353685465,0.22757460454821926,0.0,0.9998416304588318,0.7031692429022374,0.22898041003650776,0.0,0.9997751116752625,0.7650611235267375,0.25338727690817936,0.0,0.9999505877494812,0.648781831586835,0.2597028778774762,0.0,0.9994012713432312,0.828459593660628,0.2672512375321985,0.0,0.9268392324447632,0.6070728813295893,0.30438145626952956,0.0,0.5267024636268616,0.7970281551767917,0.24066496312201502,0.0,0.8864820599555969,0.6076503872593537,0.2949713162886799,0.0,0.5082473158836365,0.792085642442283,0.23681159716941877,0.0,0.8760364651679993,0.6051747195926318,0.29408325220182585,0.0,0.4954409897327423,0.7847524609043346,0.2337695918716757,0.0,0.885786771774292,0.6074202548373846,0.2893369747694841,0.0,0.5138444900512695,0.7854192468114131,0.23607495194409617,0.0,0.8365098834037781,0.6115434317044184,0.28974985722061714,0.0,0.46594110131263733,0.7220907418322193,0.3524085851538163,0.0,0.9999215602874756,0.6610001315881617,0.34378825979077265,0.014720073764349237,0.9999108910560608,0.7165640699557787,0.42514019586267565,0.0,0.918254554271698,0.6235132814843076,0.3618890773722073,0.0,0.9201555848121643,0.7146415282518455,0.4833345447247969,0.22499503594734233,0.952902615070343,0.6442604934696845,0.42760444145936344,0.0,0.9104459285736084,0.7123359222234287,0.49101975636604633,0.24308263668508306,0.6810474395751953,0.6578392335029211,0.43163090909555635,0.0,0.7558367848396301,0.7012902962300067,0.5095662662199341,0.07819606952634085,0.9336357712745667,0.6252173215915011,0.459184346221267,0.0,0.9084216952323914,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,medium,high,low,high,medium,high,low,high,high,high,high,high,high,medium,high,high,high
