frame,timestamp,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,NOSE_quality,LEFT_EYE_INNER_quality,LEFT_EYE_quality,LEFT_EYE_OUTER_quality,RIGHT_EYE_INNER_quality,RIGHT_EYE_quality,RIGHT_EYE_OUTER_quality,LEFT_EAR_quality,RIGHT_EAR_quality,MOUTH_LEFT_quality,MOUTH_RIGHT_quality,LEFT_SHOULDER_quality,RIGHT_SHOULDER_quality,LEFT_ELBOW_quality,RIGHT_ELBOW_quality,LEFT_WRIST_quality,RIGHT_WRIST_quality,LEFT_PINKY_quality,RIGHT_PINKY_quality,LEFT_INDEX_quality,RIGHT_INDEX_quality,LEFT_THUMB_quality,RIGHT_THUMB_quality,LEFT_HIP_quality,RIGHT_HIP_quality,LEFT_KNEE_quality,RIGHT_KNEE_quality,LEFT_ANKLE_quality,RIGHT_ANKLE_quality,LEFT_HEEL_quality,RIGHT_HEEL_quality,LEFT_FOOT_INDEX_quality,RIGHT_FOOT_INDEX_quality
0,0.0,0.47542956,0.28777283,0.010626151,0.95,0.4875717,0.2752656,0.02000732,0.95,0.49623784,0.28266776,0.015390855,0.95,0.50025874,0.2781553,0.019398868,0.95,0.4642766,0.27966958,0.015217213,0.95,0.4632515,0.2736987,0.021033427,0.95,0.4623472,0.27363446,0.022585718,0.95,0.50778365,0.2854617,0.012653945,0.95,0.44973382,0.2820865,0.020656545,0.95,0.48466957,0.2970046,0.01718239,0.95,0.46287107,0.29380754,0.015435582,0.95,0.54870236,0.3531368,0.02862666,0.95,0.41011292,0.35444462,0.02982947,0.95,0.5846767,0.4037184,0.0409265,0.95,0.35523614,0.39915603,0.04446391,0.95,0.58390343,0.43558815,0.042642694,0.95,0.36441776,0.41674426,0.04054342,0.95,0.59541076,0.44209084,0.04970803,0.95,0.37273866,0.42779094,0.03164241,0.95,0.56995654,0.4369728,0.04590953,0.95,0.37609485,0.4248942,0.02960205,0.95,0.58937097,0.4369594,0.05568642,0.95,0.3837176,0.42222777,0.03724301,0.95,0.5171862,0.52006537,0.026440762,0.95,0.43180618,0.52584285,0.025291553,0.95,0.5442755,0.63144845,0.024387347,0.95,0.4215679,0.63675755,0.027530571,0.95,0.53145105,0.73833877,0.24037798,0.95,0.43759432,0.73791146,0.19670312,0.95,0.522054,0.75039303,0.25437897,0.95,0.44989458,0.7483161,0.23205094,0.95,0.5331302,0.78272706,0.14604281,0.95,0.42618182,0.7860555,0.102751404,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1,0.03333333333333333,0.47695202,0.26403603,0.0037388478,0.95,0.48671988,0.2513952,0.015982173,0.95,0.5012228,0.26000956,0.010128063,0.95,0.5012868,0.25411156,0.0129300095,0.95,0.46448755,0.252802,0.0076695085,0.95,0.4623147,0.2474472,0.014537618,0.95,0.4593916,0.24590634,0.017493187,0.95,0.5118145,0.26364633,0.004307175,0.95,0.44280455,0.25496387,0.012501417,0.95,0.4827434,0.27336267,0.009529022,0.95,0.45980638,0.27026588,0.008346975,0.95,0.5646779,0.33520645,0.016678806,0.95,0.39596984,0.33729935,0.01612757,0.95,0.6051499,0.39354926,0.02885727,0.95,0.33077368,0.39092928,0.032320928,0.95,0.60369897,0.43211845,0.036013085,0.95,0.34660032,0.41016495,0.027517894,0.95,0.6145472,0.43655983,0.03750878,0.95,0.35804945,0.4258381,0.019333264,0.95,0.5878782,0.4337957,0.03420642,0.95,0.36437744,0.4204979,0.013660366,0.95,0.6125366,0.43376774,0.045591325,0.95,0.36833447,0.4182294,0.024948647,0.95,0.5239238,0.5130782,0.024081055,0.95,0.4211674,0.51825833,0.016877383,0.95,0.5585076,0.6331491,0.020732595,0.95,0.41003114,0.63801354,0.022568023,0.95,0.5373489,0.7441276,0.28743118,0.95,0.4246441,0.744578,0.21547675,0.95,0.52665406,0.7509208,0.3085372,0.95,0.44162604,0.75287664,0.2540794,0.95,0.54647917,0.79528993,0.17363721,0.95,0.41680732,0.80044454,0.10842933,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.06666666666666667,0.47641107,0.24736103,0.0016981672,0.95,0.48558202,0.23505199,0.013374658,0.95,0.5031109,0.24420454,0.008121812,0.95,0.5002085,0.23760714,0.009087708,0.95,0.4632128,0.23412248,0.004191788,0.95,0.4607851,0.230645,0.011233643,0.95,0.45567447,0.22818519,0.01490053,0.95,0.51433814,0.24856004,9.8898854e-05,0.95,0.4376033,0.23751839,0.0077879224,0.95,0.4814796,0.2580405,0.0062757945,0.95,0.4577383,0.2553115,0.0049049724,0.95,0.57315683,0.3235346,0.009086956,0.95,0.38532206,0.32588166,0.006426198,0.95,0.62036425,0.38746297,0.02145897,0.95,0.31396535,0.38727713,0.022220513,0.95,0.6173318,0.4280159,0.030249361,0.95,0.33481228,0.40966734,0.017297586,0.95,0.6266852,0.4331948,0.02809468,0.95,0.34576634,0.42485112,0.010278572,0.95,0.60170233,0.4317312,0.025022604,0.95,0.35415545,0.41971734,0.0019262563,0.95,0.6262112,0.43097246,0.034674264,0.95,0.35677832,0.4182433,0.015020046,0.95,0.5281808,0.50813264,0.02144552,0.95,0.41334566,0.51205367,0.011139882,0.95,0.56743085,0.63400275,0.017066643,0.95,0.40192074,0.6377665,0.018355358,0.95,0.54023314,0.74709624,0.31945497,0.95,0.41655162,0.7479797,0.23097265,0.95,0.529139,0.75110614,0.34782726,0.95,0.43577355,0.7549535,0.266947,0.95,0.55376905,0.8035945,0.18773407,0.95,0.40956342,0.80943656,0.110937014,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0.1,0.47577766,0.23672709,0.0013236731,0.95,0.48495582,0.22466649,0.011446543,0.95,0.5040184,0.23437706,0.007223054,0.95,0.49923924,0.22715473,0.007199345,0.95,0.46192345,0.22256468,0.0026627092,0.95,0.45978808,0.22092979,0.009420874,0.95,0.45282972,0.21780768,0.013559062,0.95,0.51615983,0.23903343,-0.0020118544,0.95,0.43448755,0.2275742,0.00502952,0.95,0.48098525,0.24881166,0.0050517144,0.95,0.45688444,0.24645461,0.0032164438,0.95,0.5776009,0.3169152,0.0043809237,0.95,0.37885505,0.31891382,-0.00031204775,0.95,0.63002425,0.3842248,0.01688925,0.95,0.3043478,0.38593856,0.015118932,0.95,0.6265316,0.42436513,0.025311574,0.95,0.32882565,0.4117774,0.0101181995,0.95,0.6341306,0.4306386,0.021656476,0.95,0.3379213,0.4242894,0.004419771,0.95,0.6118949,0.42959994,0.019028783,0.95,0.34800655,0.42084235,-0.005864637,0.95,0.6335691,0.42876613,0.026295103,0.95,0.34932256,0.42006993,0.00859962,0.95,0.5308364,0.50485337,0.019128997,0.95,0.4089011,0.50777227,0.007294656,0.95,0.57311875,0.63410795,0.014442112,0.95,0.3968652,0.6371668,0.014873529,0.95,0.5416052,0.74815625,0.3399184,0.95,0.4120938,0.7494095,0.24111082,0.95,0.5304747,0.750943,0.37363824,0.95,0.43293306,0.75597227,0.2739864,0.95,0.557642,0.80862474,0.19439676,0.95,0.40528536,0.81384355,0.110803485,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,0.13333333333333333,0.4755659,0.23020105,0.0013192176,0.95,0.48481822,0.21835576,0.0099019,0.95,0.5046231,0.22847462,0.0067236694,0.95,0.49887818,0.22080286,0.0063192993,0.95,0.460981,0.21577755,0.0018555413,0.95,0.45937538,0.21562518,0.008182252,0.95,0.45090318,0.21189675,0.012773814,0.95,0.5174723,0.23318216,-0.0031768756,0.95,0.432837,0.22222236,0.0032300653,0.95,0.48093492,0.24343276,0.0045172023,0.95,0.45675275,0.24129753,0.0022879227,0.95,0.580109,0.31346852,0.0015203852,0.95,0.37539554,0.31474194,-0.0049653635,0.95,0.6356417,0.3826099,0.013904096,0.95,0.29934835,0.3855692,0.010555474,0.95,0.6326829,0.42159402,0.021461524,0.95,0.32666948,0.414517,0.0054207277,0.95,0.63897914,0.42867193,0.017630558,0.95,0.33350667,0.42410558,0.000728824,0.95,0.6190607,0.4276683,0.015425827,0.95,0.34495324,0.422621,-0.010829749,0.95,0.6374281,0.42716315,0.020705165,0.95,0.34487295,0.4224823,0.004794453,0.95,0.5326315,0.50269693,0.017301075,0.95,0.40691757,0.5049689,0.0047401963,0.95,0.57668376,0.63381195,0.012813345,0.95,0.39392713,0.636629,0.012158774,0.95,0.5422561,0.74827236,0.35251367,0.95,0.4097701,0.7499247,0.24727128,0.95,0.53119063,0.75064343,0.3899607,0.95,0.43211758,0.7564796,0.27771255,0.95,0.5596202,0.8116161,0.19743785,0.95,0.40328404,0.8156273,0.10939994,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.16666666666666666,0.47565892,0.22618072,0.0013264894,0.95,0.48498446,0.21455543,0.008633081,0.95,0.5050873,0.22489418,0.0063623926,0.95,0.49899048,0.21693906,0.005864745,0.95,0.46033907,0.21178137,0.0013010895,0.95,0.4593633,0.21276149,0.0072120004,0.95,0.44965032,0.20845647,0.012228597,0.95,0.5184359,0.22954981,-0.0039161965,0.95,0.43201452,0.21933329,0.001961943,0.95,0.4810681,0.24027498,0.004187952,0.95,0.45692423,0.23823757,0.0016947335,0.95,0.58164656,0.3117227,-0.00021618868,0.95,0.37364218,0.3122028,-0.00816151,0.95,0.6388229,0.3817962,0.011853264,0.95,0.29685357,0.38554132,0.0076841847,0.95,0.63684404,0.41964263,0.018622495,0.95,0.32643476,0.41703084,0.0023993868,0.95,0.6423693,0.42722946,0.015157803,0.95,0.33116964,0.42417112,-0.0016470692,0.95,0.6239501,0.4261269,0.013307441,0.95,0.3436088,0.4243711,-0.014034798,0.95,0.6394863,0.4260388,0.01710455,0.95,0.34224957,0.42479867,0.0025575052,0.95,0.5339297,0.501249,0.015949138,0.95,0.40626523,0.50312954,0.0030559031,0.95,0.5789235,0.6333838,0.0118267555,0.95,0.39221415,0.6362135,0.010151468,0.95,0.5426305,0.7480215,0.36027172,0.95,0.40855086,0.7500573,0.25103533,0.95,0.5316515,0.7503504,0.40028653,0.95,0.4323028,0.7567102,0.27978572,0.95,0.56063485,0.81341106,0.19881967,0.95,0.40258875,0.8161595,0.10770729,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
6,0.2,0.47588503,0.22364181,0.0012840136,0.95,0.4852838,0.2122333,0.0076019913,0.95,0.5054436,0.22265345,0.00605674,0.95,0.49933955,0.21451917,0.0055813473,0.95,0.4598978,0.20934755,0.00086234533,0.95,0.45956776,0.2111795,0.0064235427,0.95,0.44885203,0.20636216,0.0117988065,0.95,0.51916385,0.22723562,-0.0044418536,0.95,0.43161175,0.2177091,0.0010450484,0.95,0.4812456,0.23836243,0.003930223,0.95,0.45718324,0.23636368,0.0012763499,0.95,0.5826402,0.31082624,-0.001280031,0.95,0.37276807,0.31061012,-0.010358485,0.95,0.64063215,0.3813566,0.010400762,0.95,0.29562852,0.38560215,0.0058489763,0.95,0.6397163,0.4183041,0.016567104,0.95,0.32696706,0.41906652,0.0004181545,0.95,0.6448225,0.42619857,0.013605951,0.95,0.3299732,0.42435423,-0.0032374666,0.95,0.62726057,0.42495817,0.012047108,0.95,0.3430926,0.42583823,-0.016192028,0.95,0.6406246,0.4252476,0.014761636,0.95,0.34065855,0.4267534,0.0011962656,0.95,0.53489584,0.50025016,0.014984269,0.95,0.40620136,0.5019001,0.0019426448,0.95,0.5803663,0.6329655,0.011212777,0.95,0.39115775,0.63590115,0.008716222,0.95,0.5428989,0.7476806,0.36518055,0.95,0.40788394,0.7500426,0.25339362,0.95,0.5320079,0.75011945,0.40695047,0.95,0.43286481,0.7567951,0.28105128,0.95,0.5611905,0.8145153,0.19945462,0.95,0.40252584,0.8161609,0.10616491,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
7,0.23333333333333334,0.4761441,0.22198862,0.0012027054,0.95,0.4856111,0.2107782,0.006780466,0.95,0.5057084,0.22119816,0.0057898434,0.95,0.49976182,0.21294099,0.0053753164,0.95,0.45958677,0.20779878,0.0005043766,0.95,0.4598604,0.21026817,0.0057840017,0.95,0.44834915,0.20502406,0.011442512,0.95,0.5197235,0.22571929,-0.004841149,0.95,0.4314108,0.21674418,0.00037954017,0.95,0.48140946,0.23715965,0.003714559,0.95,0.45743814,0.23517759,0.00096871535,0.95,0.5833035,0.31034872,-0.0019372095,0.95,0.37233606,0.30957803,-0.011880848,0.95,0.64167464,0.381096,0.0093557285,0.95,0.29503495,0.3856662,0.004642254,0.95,0.641739,0.4173873,0.015078482,0.95,0.32771686,0.4206275,-0.0009243656,0.95,0.6466144,0.425467,0.0126028275,0.95,0.3293794,0.42457163,-0.004342499,0.95,0.6295162,0.42408305,0.011275429,0.95,0.3429563,0.42698506,-0.017713455,0.95,0.6412808,0.42468157,0.0132000055,0.95,0.33965477,0.42831022,0.00032290476,0.95,0.5356213,0.49954352,0.014306623,0.95,0.40635294,0.5010609,0.0011979034,0.95,0.58132863,0.63261104,0.0108168535,0.95,0.39045852,0.6356672,0.007705169,0.95,0.54311043,0.7473613,0.36839706,0.95,0.4074991,0.74998266,0.25490427,0.95,0.53229874,0.74995667,0.41136694,0.95,0.433501,0.7568116,0.2818901,0.95,0.56152546,0.8152205,0.19974737,0.95,0.40272942,0.81596875,0.10489503,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
8,0.26666666666666666,0.47639155,0.22088027,0.0011030092,0.95,0.48591676,0.2098408,0.006136203,0.95,0.5059007,0.22021934,0.0055607716,0.95,0.5001739,0.21186954,0.0052136313,0.95,0.45936334,0.20677145,0.00021525308,0.95,0.46016788,0.2097175,0.005270012,0.95,0.44803408,0.20413125,0.011146344,0.95,0.5201567,0.22470033,-0.005154267,0.95,0.431305,0.2161386,-0.00010376224,0.95,0.4815428,0.23637626,0.0035350558,0.95,0.45765713,0.23440363,0.0007391648,0.95,0.5837575,0.3100824,-0.0023449648,0.95,0.37212646,0.308889,-0.012950162,0.95,0.64228314,0.38092795,0.008597904,0.95,0.29475546,0.38571247,0.003824497,0.95,0.6431888,0.41675353,0.013991882,0.95,0.32845938,0.42179716,-0.0018648151,0.95,0.64792573,0.42494747,0.011937837,0.95,0.32909983,0.42478186,-0.0051331064,0.95,0.6310727,0.42342755,0.010786254,0.95,0.34298712,0.42785436,-0.018829638,0.95,0.64167535,0.4242699,0.012131719,0.95,0.33899805,0.42951953,-0.00027000127,0.95,0.53616834,0.49903306,0.013832958,0.95,0.4065581,0.5004764,0.00069075736,0.95,0.5819932,0.6323302,0.010554068,0.95,0.38996655,0.635492,0.0069943853,0.95,0.543279,0.74709743,0.37057525,0.95,0.4072644,0.74991876,0.25588906,0.95,0.5325323,0.74985,0.41437116,0.95,0.4340865,0.7568012,0.28247687,0.95,0.5617459,0.81569093,0.19987816,0.95,0.40302172,0.81573045,0.103891484,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9,0.3,0.47661135,0.22011822,0.001000154,0.95,0.48618296,0.20922099,0.005635651,0.95,0.5060387,0.21954103,0.0053691296,0.95,0.5005418,0.21111678,0.0050836112,0.95,0.459201,0.20606528,-1.4165193e-05,0.95,0.46045417,0.20936918,0.004859878,0.95,0.44783702,0.20351422,0.010903463,0.95,0.5204925,0.22400048,-0.005403418,0.95,0.43124416,0.21574025,-0.00045586177,0.95,0.48164535,0.23585099,0.0033883185,0.95,0.45783457,0.23388505,0.00056668016,0.95,0.58407545,0.3099271,-0.0025982063,0.95,0.37202874,0.30841702,-0.013713985,0.95,0.64264137,0.38081262,0.008045879,0.95,0.29463267,0.3857409,0.003254565,0.95,0.6442441,0.41630968,0.013190591,0.95,0.3291163,0.42266706,-0.0025430303,0.95,0.6488868,0.42457741,0.011488236,0.95,0.3289826,0.42496789,-0.005711726,0.95,0.6321627,0.42293513,0.010465197,0.95,0.34308553,0.42850578,-0.019673282,0.95,0.6419228,0.4239669,0.011383029,0.95,0.3385554,0.43045047,-0.0006937083,0.95,0.5365827,0.49865824,0.013501497,0.95,0.4067547,0.5000615,0.0003382629,0.95,0.58246624,0.6321151,0.010376051,0.95,0.3896045,0.63536084,0.0064917896,0.95,0.54341143,0.7468917,0.37209198,0.95,0.40711316,0.7498655,0.25654083,0.95,0.5327141,0.74978393,0.4164632,0.95,0.43458116,0.7567841,0.28290054,0.95,0.56189984,0.8160192,0.19993031,0.95,0.40332225,0.81550485,0.10311072,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
